model,thinking,config,n_reps,solved_rate,mean_edge_coverage,mean_caller_seen_rate,edge_ftl_rate
deepseek-v4-flash,high,advisor,124,0.04,0.065,0.141,0.242
deepseek-v4-flash,high,advisor-observational-memory,30,0.167,0.114,0.18,0.033
deepseek-v4-flash,high,baseline,92,0.022,0.064,0.171,0.228
deepseek-v4-flash,high,baseline-wf,29,0.069,0.093,0.173,0.207
deepseek-v4-flash,high,observational-memory,92,0.087,0.08,0.19,0.25
deepseek-v4-flash,high,ponytail-full,18,0.0,0.108,0.16,0.389
gpt-5.5,low,baseline,150,0.213,0.03,0.105,0.287
gpt-5.5,low,observational-memory-gpt54-low,30,0.4,0.017,0.133,0.267
gpt-5.5,low,observational-memory-gpt54mini-low,150,0.233,0.024,0.106,0.28
gpt-5.5,low,observational-memory-gpt55-low,30,0.4,0.02,0.142,0.267
gpt-5.5,medium,baseline,87,0.379,0.037,0.122,0.322
gpt-5.5,xhigh,baseline,30,0.467,0.071,0.105,0.333
