model,thinking,config,n_reps,solved_rate,found_then_lost_rate,search_failure_rate,found_kept_failed_rate,median_turns,mean_gold_coverage,mean_first_gold_turn
deepseek-v4-flash,high,advisor,153,0.046,0.222,0.007,0.725,53,0.781,2.62
deepseek-v4-flash,high,advisor-observational-memory,36,0.139,0.278,0.0,0.583,108.0,0.788,2.42
deepseek-v4-flash,high,baseline,113,0.018,0.168,0.0,0.814,57,0.799,2.47
deepseek-v4-flash,high,baseline-wf,36,0.056,0.083,0.028,0.833,65.5,0.741,2.46
deepseek-v4-flash,high,observational-memory,113,0.088,0.195,0.0,0.717,79,0.803,2.48
deepseek-v4-flash,high,ponytail-full,23,0.0,0.261,0.0,0.739,81,0.815,2.61
gpt-5.5,low,baseline,185,0.222,0.114,0.0,0.665,39,0.703,3.48
gpt-5.5,low,observational-memory-gpt54-low,36,0.333,0.111,0.0,0.556,39.5,0.709,3.94
gpt-5.5,low,observational-memory-gpt54mini-low,185,0.238,0.135,0.0,0.627,40,0.7,3.68
gpt-5.5,low,observational-memory-gpt55-low,36,0.333,0.083,0.0,0.583,43.5,0.721,3.97
gpt-5.5,medium,baseline,108,0.361,0.037,0.0,0.602,55.0,0.722,3.73
gpt-5.5,xhigh,baseline,39,0.513,0.103,0.0,0.385,105,0.801,4.62
