model,thinking,config,n_reps,solved_rate,sym_found_then_lost_rate,sym_never_found_rate,sym_kept_failed_rate,median_turns,mean_sym_coverage
deepseek-v4-flash,high,advisor,153,0.046,0.131,0.137,0.686,53,0.272
deepseek-v4-flash,high,advisor-observational-memory,36,0.139,0.056,0.111,0.694,108.0,0.261
deepseek-v4-flash,high,baseline,113,0.018,0.124,0.062,0.796,57,0.323
deepseek-v4-flash,high,baseline-wf,36,0.056,0.056,0.111,0.778,65.5,0.287
deepseek-v4-flash,high,observational-memory,113,0.088,0.159,0.044,0.708,79,0.346
deepseek-v4-flash,high,ponytail-full,23,0.0,0.13,0.13,0.739,81,0.279
gpt-5.5,low,baseline,185,0.222,0.216,0.054,0.508,39,0.26
gpt-5.5,low,observational-memory-gpt54-low,36,0.333,0.278,0.139,0.25,39.5,0.213
gpt-5.5,low,observational-memory-gpt54mini-low,185,0.238,0.205,0.086,0.47,40,0.26
gpt-5.5,low,observational-memory-gpt55-low,36,0.333,0.194,0.139,0.333,43.5,0.225
gpt-5.5,medium,baseline,108,0.361,0.148,0.056,0.435,55.0,0.257
gpt-5.5,xhigh,baseline,39,0.513,0.077,0.0,0.41,105,0.269
