model,thinking,config,task,rep,label,reward_binary,reward_partial,n_turns,n_sym_turns,first_sym_turn,last_sym_turn,sym_coverage,n_gold_symbols
gpt-5.5,low,baseline,abs-module-cache-flags,0,solved,1,1.0,47,5,2,22,0.125,48
gpt-5.5,low,baseline,abs-stepped-slices,0,solved,1,1.0,43,3,15,19,0.167,18
gpt-5.5,low,baseline,actionlint-action-pinning-lint,0,found_kept_failed,0,0.995,37,8,18,32,0.235,34
gpt-5.5,low,baseline,actionlint-action-pinning-lint,1,solved,1,1.0,37,9,19,31,0.235,34
gpt-5.5,low,baseline,actionlint-action-pinning-lint,2,solved,1,1.0,25,8,12,21,0.265,34
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,0,found_kept_failed,0,0.9960460100647016,46,11,1,45,0.167,30
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,1,found_kept_failed,0,0.9982027318475917,68,13,1,63,0.167,30
gpt-5.5,low,baseline,adaptix-name-mapping-aliases,2,found_kept_failed,0,0.9974838245866283,74,13,1,68,0.233,30
gpt-5.5,low,baseline,aiomonitor-task-snapshots-diff,0,found_then_lost,0,0.7213114754098361,33,7,1,16,0.641,39
gpt-5.5,low,baseline,anko-default-function-arguments,0,search_failure,0,0.9834710743801653,52,0,,,0.0,14
gpt-5.5,low,baseline,anko-default-function-arguments,1,search_failure,0,0.9834710743801653,49,0,,,0.0,14
gpt-5.5,low,baseline,anko-default-function-arguments,2,search_failure,0,0.9917355371900827,48,0,,,0.0,14
gpt-5.5,low,baseline,anko-typed-variable-bindings,0,found_kept_failed,0,0.9611650485436893,61,9,13,50,0.138,29
gpt-5.5,low,baseline,anko-typed-variable-bindings,1,found_kept_failed,0,0.9611650485436893,53,8,19,46,0.103,29
gpt-5.5,low,baseline,anko-typed-variable-bindings,2,found_kept_failed,0,0.9611650485436893,48,6,20,42,0.069,29
gpt-5.5,low,baseline,arcane-drift-detection-baselines,0,found_kept_failed,0,0.9880952380952381,43,9,10,32,0.698,43
gpt-5.5,low,baseline,arktype-json-schema-refs-dependencies,0,found_then_lost,0,0.9988262910798122,33,1,12,12,0.067,15
gpt-5.5,low,baseline,awilix-async-container-initialization,0,solved,1,1.0,36,7,8,20,0.267,15
gpt-5.5,low,baseline,awilix-async-container-initialization,1,found_kept_failed,0,0.9946236559139785,38,10,11,33,0.267,15
gpt-5.5,low,baseline,awilix-async-container-initialization,2,found_then_lost,0,0.9946236559139785,40,9,5,24,0.267,15
gpt-5.5,low,baseline,bandit-incremental-cache-control,0,found_then_lost,0,0.9752066115702479,27,3,12,15,0.25,24
gpt-5.5,low,baseline,bandit-interprocedural-taint-checks,0,found_kept_failed,0,0.9220055710306406,33,4,8,29,0.129,31
gpt-5.5,low,baseline,bandit-structured-nosec-directives,0,found_kept_failed,0,0.9971509971509972,32,2,10,30,0.038,53
gpt-5.5,low,baseline,bandit-structured-nosec-directives,1,found_kept_failed,0,0.9971509971509972,43,4,9,40,0.057,53
gpt-5.5,low,baseline,bandit-structured-nosec-directives,2,found_kept_failed,0,0.9943019943019943,39,2,9,36,0.038,53
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,0,found_kept_failed,0,0.9583333333333334,63,22,17,59,0.462,39
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,1,found_kept_failed,0,0.9166666666666666,58,14,23,52,0.436,39
gpt-5.5,low,baseline,boa-hierarchical-evaluation-cancellation,2,found_kept_failed,0,0.9583333333333334,63,16,29,59,0.436,39
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,0,solved,1,1.0,45,17,1,36,0.2,20
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,1,solved,1,1.0,36,15,2,30,0.25,20
gpt-5.5,low,baseline,cattrs-partial-structuring-recovery,2,solved,1,1.0,38,14,1,31,0.25,20
gpt-5.5,low,baseline,clack-async-autocomplete-options,0,search_failure,0,0.9848275862068966,25,0,,,0.0,7
gpt-5.5,low,baseline,clack-async-autocomplete-options,1,found_kept_failed,0,0.9917241379310345,35,4,10,31,0.143,7
gpt-5.5,low,baseline,clack-async-autocomplete-options,2,search_failure,0,0.9848275862068966,32,0,,,0.0,7
gpt-5.5,low,baseline,claude-code-by-agents-recursive-delegation,0,solved,1,1.0,23,0,,,0.0,15
gpt-5.5,low,baseline,cliffy-config-file-parsing,0,solved,1,1.0,52,6,23,48,0.125,24
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,0,found_then_lost,0,0.9997022746218888,30,6,10,21,0.13,23
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,1,found_kept_failed,0,0.9991068238656663,31,6,14,26,0.087,23
gpt-5.5,low,baseline,csstree-shorthand-expansion-compression,2,found_kept_failed,0,0.9995831844706443,19,5,9,15,0.087,23
gpt-5.5,low,baseline,dasel-html-document-format,0,found_then_lost,0,0.8739205526770294,43,6,16,30,0.14,50
gpt-5.5,low,baseline,dateutil-rfc5545-timezone-interop,0,found_kept_failed,0,0.9995242626070409,47,41,1,46,0.618,34
gpt-5.5,low,baseline,drizzle-orm-window-function-builders,0,solved,1,1.0,47,1,16,16,0.476,21
gpt-5.5,low,baseline,dynamodb-toolbox-conditional-attribute-requirements,0,search_failure,0,0.9838212634822804,67,0,,,0.0,1
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,0,found_then_lost,0,0.9831288343558282,85,7,19,51,0.222,9
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,1,found_kept_failed,0,0.9831288343558282,72,6,18,58,0.222,9
gpt-5.5,low,baseline,dynamodb-toolbox-lazy-recursive-schemas,2,found_kept_failed,0,0.9831288343558282,70,3,12,67,0.222,9
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,0,found_kept_failed,0,0.9743589743589743,69,18,20,67,0.375,16
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,1,found_kept_failed,0,0.9743589743589743,77,13,0,75,0.375,16
gpt-5.5,low,baseline,effect-sse-httpapi-streaming,2,found_kept_failed,0,0.8974358974358975,65,17,0,64,0.375,16
gpt-5.5,low,baseline,eicrud-keyset-pagination-cursor,0,found_kept_failed,0,0.967032967032967,37,5,16,28,0.2,15
gpt-5.5,low,baseline,etree-xml-diff-patch,0,found_kept_failed,0,0.9402985074626866,17,2,9,14,0.415,65
gpt-5.5,low,baseline,etree-xml-diff-patch,1,found_then_lost,0,0.9253731343283582,19,1,10,10,0.431,65
gpt-5.5,low,baseline,etree-xml-diff-patch,2,found_then_lost,0,0.9850746268656716,22,4,6,15,0.415,65
gpt-5.5,low,baseline,expr-try-catch-errors,0,found_kept_failed,0,0.9991106957675148,38,4,10,34,0.154,26
gpt-5.5,low,baseline,fastapi-deprecation-response-headers,0,found_kept_failed,0,0.9920513604402323,50,11,4,47,0.8,10
gpt-5.5,low,baseline,fastapi-implicit-head-options,0,found_kept_failed,0,0.9949638023292414,49,13,1,45,0.258,31
gpt-5.5,low,baseline,fastapi-implicit-head-options,1,found_kept_failed,0,0.9896128423040604,51,11,2,47,0.258,31
gpt-5.5,low,baseline,fastapi-implicit-head-options,2,found_kept_failed,0,0.9987409505823104,63,16,2,57,0.258,31
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,0,found_then_lost,0,0.993421052631579,49,2,15,17,0.023,44
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,1,found_then_lost,0,0.993421052631579,32,3,16,20,0.045,44
gpt-5.5,low,baseline,fd-deterministic-multi-key-sorting,2,found_then_lost,0,0.993421052631579,35,5,15,21,0.068,44
gpt-5.5,low,baseline,geo-shapeindex-serialization,0,found_kept_failed,0,0.9839486356340289,29,9,3,27,0.692,13
gpt-5.5,low,baseline,go-critic-doc-link-checker,0,solved,1,1.0,45,9,21,39,0.176,68
gpt-5.5,low,baseline,go-genai-streamed-function-args,0,found_then_lost,0,0.9558823529411765,29,2,10,16,0.062,32
gpt-5.5,low,baseline,go-git-worktree-merge-conflicts,0,found_kept_failed,0,0.8421052631578947,36,9,0,31,0.154,26
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,0,solved,1,1.0,43,1,12,12,0.03,33
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,1,solved,1,1.0,39,1,15,15,0.03,33
gpt-5.5,low,baseline,goreleaser-retry-publish-auditing,2,solved,1,1.0,39,1,12,12,0.03,33
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,0,found_kept_failed,0,0.9951690821256038,46,11,1,45,0.261,23
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,1,found_kept_failed,0,0.9818840579710145,44,11,3,43,0.304,23
gpt-5.5,low,baseline,gql-incremental-graphql-delivery,2,found_kept_failed,0,0.9963768115942029,48,12,0,47,0.261,23
gpt-5.5,low,baseline,happy-dom-abort-pending-body-reads,0,solved,1,1.0,42,2,1,16,0.25,8
gpt-5.5,low,baseline,happy-dom-deterministic-intersectionobserver,0,solved,1,1.0,29,16,0,27,0.167,6
gpt-5.5,low,baseline,helm-array-merge-strategies,0,found_kept_failed,0,0.7966101694915254,43,14,0,39,0.132,38
gpt-5.5,low,baseline,helm-unified-manifest-stream,0,solved,1,1.0,40,4,3,32,0.054,37
gpt-5.5,low,baseline,httpx-deterministic-cookie-store,0,solved,1,1.0,43,15,13,42,0.5,4
gpt-5.5,low,baseline,httpx-multipart-response-parsing,0,solved,1,1.0,36,13,1,28,0.333,24
gpt-5.5,low,baseline,httpx-streaming-json-iteration,0,found_then_lost,0,0.9993386243386243,29,8,1,21,0.143,21
gpt-5.5,low,baseline,httpx-streaming-json-iteration,1,solved,1,1.0,39,8,3,32,0.143,21
gpt-5.5,low,baseline,httpx-streaming-json-iteration,2,found_kept_failed,0,0.9973544973544973,47,14,2,36,0.19,21
gpt-5.5,low,baseline,igel-persist-feature-schema,0,solved,1,1.0,41,12,7,34,0.231,26
gpt-5.5,low,baseline,ink-grid-box-layout,0,search_failure,0,0.8783783783783784,43,0,,,0.0,6
gpt-5.5,low,baseline,ipython-session-bundle-replay,0,found_kept_failed,0,0.9782608695652174,34,15,0,33,0.469,32
gpt-5.5,low,baseline,katex-multicolumn-array-spans,0,found_kept_failed,0,0.9942279942279942,45,1,37,37,0.048,21
gpt-5.5,low,baseline,kcp-go-multiplexed-kcp-streams,0,found_kept_failed,0,0.9285714285714286,16,6,2,12,0.323,62
gpt-5.5,low,baseline,kea-atomic-signal-selectors,0,found_then_lost,0,0.9337748344370861,34,1,12,12,0.043,23
gpt-5.5,low,baseline,kea-atomic-signal-selectors,1,found_then_lost,0,0.9271523178807947,29,1,13,13,0.043,23
gpt-5.5,low,baseline,kea-atomic-signal-selectors,2,found_then_lost,0,0.9933774834437086,43,2,14,19,0.043,23
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,0,found_then_lost,0,0.9907407407407407,38,6,19,25,0.106,47
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,1,found_then_lost,0,0.9907407407407407,42,5,22,29,0.128,47
gpt-5.5,low,baseline,kgateway-consistent-hash-policy,2,found_kept_failed,0,0.9907407407407407,28,6,12,22,0.128,47
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,0,solved,1,1.0,45,13,1,33,0.596,47
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,1,found_kept_failed,0,0.99867197875166,40,11,1,32,0.596,47
gpt-5.5,low,baseline,kombu-single-active-consumer-priority,2,found_then_lost,0,0.99867197875166,39,12,1,25,0.596,47
gpt-5.5,low,baseline,kombu-virtual-queue-dead-lettering,0,found_kept_failed,0,0.9952956989247311,35,15,1,29,0.611,36
gpt-5.5,low,baseline,koota-composite-trait-aspects,0,found_kept_failed,0,0.9237668161434978,38,10,16,28,0.087,23
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,0,found_kept_failed,0,0.964824120603015,30,12,1,28,0.138,29
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,1,found_kept_failed,0,0.9698492462311558,44,18,1,42,0.138,29
gpt-5.5,low,baseline,koota-deferred-mutation-buffer,2,found_kept_failed,0,0.9698492462311558,39,18,1,38,0.103,29
gpt-5.5,low,baseline,koota-entity-snapshot-rollback,0,found_then_lost,0,0.9923664122137404,32,3,1,23,1.0,1
gpt-5.5,low,baseline,koota-pair-relation-tracking,0,found_then_lost,0,0.819047619047619,76,5,24,49,0.25,24
gpt-5.5,low,baseline,koota-query-predicates,0,found_kept_failed,0,0.9906976744186047,65,11,1,56,0.3,20
gpt-5.5,low,baseline,kysely-window-grouping-helpers,0,solved,1,1.0,60,0,,,0.0,6
gpt-5.5,low,baseline,langchain-request-coalescing,0,found_kept_failed,0,0.9858156028368794,35,15,0,33,0.574,47
gpt-5.5,low,baseline,langchain-request-coalescing,1,found_kept_failed,0,0.9929078014184397,29,15,0,26,0.574,47
gpt-5.5,low,baseline,langchain-request-coalescing,2,solved,1,1.0,47,20,0,45,0.617,47
