config,bucket,cells,solves,solve_rate,mean_partial,median_tokens,total_cost_usd
baseline,hard,36,6,0.16666666666666666,0.9788008619865614,612555.0,36.52241
baseline,medium,42,11,0.2619047619047619,0.9393244143036086,591338.5,37.521926
baseline,easy,30,16,0.5333333333333333,0.9932738827274827,685930.5,27.985781
baseline-wf,hard,36,6,0.16666666666666666,0.9864683309202066,597761.0,35.170796
baseline-wf,medium,42,8,0.19047619047619047,0.9664606236259156,625828.5,43.26695
baseline-wf,easy,30,17,0.5666666666666667,0.9888470358269877,758943.5,31.717077
codebase-memory,hard,36,6,0.16666666666666666,0.9764768031028735,707637.0,38.379295
codebase-memory,medium,42,10,0.23809523809523808,0.9552707412173592,778382.0,50.235103
codebase-memory,easy,30,15,0.5,0.9811450069607041,801053.0,33.07502
codebase-memory-max,hard,36,4,0.1111111111111111,0.9772841545809103,744451.5,41.555332
codebase-memory-max,medium,42,10,0.23809523809523808,0.9458419174482483,821920.0,49.261944
codebase-memory-max,easy,30,20,0.6666666666666666,0.9954242215354633,851171.5,35.224668
codegraph-skill,hard,36,5,0.1388888888888889,0.9787319800619925,708416.0,41.407673
codegraph-skill,medium,42,7,0.16666666666666666,0.9423263777617614,710148.5,44.046177
codegraph-skill,easy,30,16,0.5333333333333333,0.9688274336091803,845422.5,33.282636
ponytail-full,hard,36,4,0.1111111111111111,0.988902381509276,823070.5,40.800192
ponytail-full,medium,42,9,0.21428571428571427,0.9463487561864307,936983.0,50.666258
ponytail-full,easy,30,17,0.5666666666666667,0.9909571815013533,949255.5,35.892491
ponytail-lite,hard,36,4,0.1111111111111111,0.9762598924371001,720972.0,43.021895
ponytail-lite,medium,42,7,0.16666666666666666,0.9459642953357288,838089.0,46.755494999999996
ponytail-lite,easy,30,17,0.5666666666666667,0.9903114319918848,913966.0,35.977777
ponytail-ultra,hard,36,4,0.1111111111111111,0.9809284683893311,691300.5,37.81231
ponytail-ultra,medium,42,11,0.2619047619047619,0.9572669522845226,870527.5,48.823303
ponytail-ultra,easy,30,15,0.5,0.9809390239446552,890547.0,35.646501
