config,task,bucket,delta_solves,delta_partial,baseline_partial,config_partial,baseline_solves,config_solves
baseline-wf,updo-policy-alerting,hard,0,0.016666666666666607,0.9738095238095239,0.9904761904761905,0,0
baseline-wf,superjson-error-stack-serialization,hard,0,-0.011904761904761862,0.9761904761904762,0.9642857142857143,0,0
baseline-wf,meriyah-explicit-resource-declarations,hard,1,-5.823207422661625e-05,0.9998835358515471,0.9998253037773205,0,1
baseline-wf,pest-character-class-coalescing,hard,0,-0.006591337099811745,0.9576271186440678,0.951035781544256,0,0
baseline-wf,katex-multicolumn-array-spans,hard,0,-0.00481000481000482,0.9947089947089948,0.98989898989899,0,0
baseline-wf,vulture-persistent-analysis-cache,hard,-1,0.006269592476489061,0.9749216300940439,0.9811912225705329,1,0
baseline-wf,obsidian-linter-link-format-conversion,hard,0,0.00027987685418406905,0.9994402462916318,0.9997201231458158,2,2
baseline-wf,happy-dom-deterministic-intersectionobserver,hard,0,0.0,1.0,1.0,3,3
baseline-wf,koota-query-predicates,hard,0,-0.007751937984496138,0.9798449612403101,0.9720930232558139,0,0
baseline-wf,participle-grammar-conflict-analysis,hard,0,0.0983606557377048,0.8920765027322405,0.9904371584699453,0,0
baseline-wf,dateutil-rfc5545-timezone-interop,hard,0,0.0014272121788772019,0.9979384712971773,0.9993656834760545,0,0
baseline-wf,mashumaro-flattened-dataclass-fields,hard,0,0.00012189716312049903,0.9991688829787234,0.9992907801418439,0,0
baseline-wf,langchain-request-coalescing,medium,-1,-0.005910165484633523,0.9929078014184397,0.9869976359338062,1,0
baseline-wf,textual-kitty-key-phases,medium,0,0.04583333333333339,0.8833333333333333,0.9291666666666667,0,0
baseline-wf,eicrud-keyset-pagination-cursor,medium,0,-0.0073260073260073,0.9597069597069597,0.9523809523809524,0,0
baseline-wf,claude-code-by-agents-recursive-delegation,medium,0,0.00877192982456143,0.9473684210526315,0.956140350877193,2,2
baseline-wf,fd-deterministic-multi-key-sorting,medium,0,-0.008771929824561542,0.9934210526315791,0.9846491228070176,0,0
baseline-wf,go-critic-doc-link-checker,medium,1,0.03508771929824561,0.9649122807017544,1.0,2,3
baseline-wf,mobly-grouped-test-barriers,medium,0,0.006764374295377795,0.9830890642615557,0.9898534385569335,0,0
baseline-wf,tengo-destructuring-bindings,medium,0,0.30642750373692074,0.6696562032884903,0.976083707025411,0,0
baseline-wf,fastapi-deprecation-response-headers,medium,-1,0.00030571690614478175,0.9973504534800774,0.9976561703862222,2,1
baseline-wf,go-git-worktree-merge-conflicts,medium,0,-0.01754385964912275,0.8421052631578947,0.8245614035087719,0,0
baseline-wf,scc-bounded-memory-spilling,medium,-1,0.001051524710830698,0.9915878023133544,0.9926393270241851,1,0
baseline-wf,tengo-callable-instance-isolation,medium,0,0.020689655172413723,0.935632183908046,0.9563218390804598,0,0
baseline-wf,httpx-multipart-response-parsing,medium,-1,-0.002391200382592107,1.0,0.9976087996174079,3,2
baseline-wf,dynamodb-toolbox-conditional-attribute-requirements,medium,0,-0.0030816640986132127,0.9894709809964047,0.9863893168977915,0,0
baseline-wf,etree-xml-diff-patch,easy,0,-0.03980099502487555,0.9502487562189055,0.9104477611940299,0,0
baseline-wf,adaptix-name-mapping-aliases,easy,0,-0.006470165348669954,0.9972441888329738,0.9907740234843039,0,0
baseline-wf,goreleaser-retry-publish-auditing,easy,0,0.0,1.0,1.0,3,3
baseline-wf,yjs-map-conflict-detection,easy,1,0.001388888888888995,0.9972222222222222,0.9986111111111112,1,2
baseline-wf,wazero-multi-module-snapshots,easy,0,0.0,0.9916666666666667,0.9916666666666667,2,2
baseline-wf,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
baseline-wf,sql-formatter-bigquery-pipe-formatting,easy,-1,0.0,0.9996512641673932,0.9996512641673932,1,0
baseline-wf,drizzle-orm-window-function-builders,easy,0,0.0,1.0,1.0,3,3
baseline-wf,psd-tools-blend-range-api,easy,1,0.0009765625,0.9983723958333334,0.9993489583333334,1,2
baseline-wf,true-myth-iterable-collection-combinators,easy,-1,-0.0020294266869610444,1.0,0.997970573313039,3,2
codebase-memory,updo-policy-alerting,hard,0,0.00952380952380949,0.9738095238095239,0.9833333333333334,0,0
codebase-memory,superjson-error-stack-serialization,hard,0,-0.020408163265306145,0.9761904761904762,0.95578231292517,0,0
codebase-memory,meriyah-explicit-resource-declarations,hard,0,-6.470230469612925e-05,0.9998835358515471,0.999818833546851,0,0
codebase-memory,pest-character-class-coalescing,hard,0,-0.01789077212806034,0.9576271186440678,0.9397363465160075,0,0
codebase-memory,katex-multicolumn-array-spans,hard,0,0.0009620009620008307,0.9947089947089948,0.9956709956709956,0,0
codebase-memory,vulture-persistent-analysis-cache,hard,0,0.01985370950888199,0.9749216300940439,0.9947753396029259,1,1
codebase-memory,obsidian-linter-link-format-conversion,hard,0,0.00027987685418406905,0.9994402462916318,0.9997201231458158,2,2
codebase-memory,happy-dom-deterministic-intersectionobserver,hard,0,0.0,1.0,1.0,3,3
codebase-memory,koota-query-predicates,hard,0,-0.02170542635658912,0.9798449612403101,0.958139534883721,0,0
codebase-memory,participle-grammar-conflict-analysis,hard,0,0.0,0.8920765027322405,0.8920765027322405,0,0
codebase-memory,dateutil-rfc5545-timezone-interop,hard,0,0.0009514747859181716,0.9979384712971773,0.9988899460830954,0,0
codebase-memory,mashumaro-flattened-dataclass-fields,hard,0,0.0006094858156028282,0.9991688829787234,0.9997783687943262,0,0
codebase-memory,langchain-request-coalescing,medium,-1,-0.004728132387706863,0.9929078014184397,0.9881796690307328,1,0
codebase-memory,textual-kitty-key-phases,medium,0,0.04166666666666663,0.8833333333333333,0.9249999999999999,0,0
codebase-memory,eicrud-keyset-pagination-cursor,medium,0,0.0,0.9597069597069597,0.9597069597069597,0,0
codebase-memory,claude-code-by-agents-recursive-delegation,medium,-1,-0.04385964912280704,0.9473684210526315,0.9035087719298245,2,1
codebase-memory,fd-deterministic-multi-key-sorting,medium,0,-0.006578947368421129,0.9934210526315791,0.986842105263158,0,0
codebase-memory,go-critic-doc-link-checker,medium,1,0.03508771929824561,0.9649122807017544,1.0,2,3
codebase-memory,mobly-grouped-test-barriers,medium,0,-0.00864336715520475,0.9830890642615557,0.974445697106351,0,0
codebase-memory,tengo-destructuring-bindings,medium,0,0.26307922272047835,0.6696562032884903,0.9327354260089686,0,0
codebase-memory,fastapi-deprecation-response-headers,medium,-1,0.0006114338122897855,0.9973504534800774,0.9979618872923672,2,1
codebase-memory,go-git-worktree-merge-conflicts,medium,0,-0.07017543859649111,0.8421052631578947,0.7719298245614036,0,0
codebase-memory,scc-bounded-memory-spilling,medium,1,0.00525762355415349,0.9915878023133544,0.9968454258675079,1,2
codebase-memory,tengo-callable-instance-isolation,medium,0,0.0045977011494252595,0.935632183908046,0.9402298850574713,0,0
codebase-memory,httpx-multipart-response-parsing,medium,0,0.0,1.0,1.0,3,3
codebase-memory,dynamodb-toolbox-conditional-attribute-requirements,medium,0,0.006933744221879867,0.9894709809964047,0.9964047252182846,0,0
codebase-memory,etree-xml-diff-patch,easy,0,-0.01492537313432829,0.9502487562189055,0.9353233830845772,0,0
codebase-memory,adaptix-name-mapping-aliases,easy,0,-0.008027797747423904,0.9972441888329738,0.9892163910855499,0,0
codebase-memory,goreleaser-retry-publish-auditing,easy,-1,-0.0977011494252874,1.0,0.9022988505747126,3,2
codebase-memory,yjs-map-conflict-detection,easy,1,0.001388888888888995,0.9972222222222222,0.9986111111111112,1,2
codebase-memory,wazero-multi-module-snapshots,easy,-1,-0.004166666666666763,0.9916666666666667,0.9874999999999999,2,1
codebase-memory,actionlint-action-pinning-lint,easy,1,0.0016666666666665941,0.9983333333333334,1.0,2,3
codebase-memory,sql-formatter-bigquery-pipe-formatting,easy,-1,-0.00017436791630343063,0.9996512641673932,0.9994768962510898,1,0
codebase-memory,drizzle-orm-window-function-builders,easy,0,0.0,1.0,1.0,3,3
codebase-memory,psd-tools-blend-range-api,easy,0,0.0006510416666666297,0.9983723958333334,0.9990234375,1,1
codebase-memory,true-myth-iterable-collection-combinators,easy,0,0.0,1.0,1.0,3,3
