config,category,overlap_cells,overlap_tasks,all_cells,solves_on_overlap,clean_solves_on_overlap,solve_delta,other_only,clean_only,invalid_reward_cells,cost_delta,cost_per_net_solve,median_tokens,median_token_delta,mean_partial_delta,prompt_files,has_extensions_dir
"pi-codex-goal","extension_or_skill_config","108","36","108","48","28","20","22","2","0","138.054973","6.9027486499999995","1732978.5","1100414.5","0.016046979198057417","configs/pi-codex-goal/orchestration.md","True"
"codebase-memory-max-pi-codex-goal","extension_or_skill_config","108","36","108","48","28","20","21","1","0","170.443696","8.5221848","2078323.5","1408313.0","0.02534234337060068","configs/codebase-memory-max-pi-codex-goal/orchestration.md","True"
"pi-recursive","extension_or_skill_config","108","36","108","40","28","12","19","7","0","123.977666","10.331472166666666","1266955.0","717155.5","0.018564928304353252","configs/pi-recursive/orchestration.md","True"
"baseline-omp","omp_harness_or_tool_context","108","36","108","36","28","8","13","5","1","124.73691","15.59211375","2133626.5","1419426.0","0.011962246469078295","configs/baseline-omp/orchestration.md","False"
"baseline-wf-only","prompt_or_orchestration_only","108","36","108","35","28","7","14","7","0","15.976534000000001","2.282362","729401.0","116827.5","0.0129382446409107","configs/baseline-wf-only/orchestration.md","False"
"projected-om-delta-no-orchestration-gpt54mini-low","prompted_or_placebo_memory_surface","108","36","108","35","28","7","13","6","0","37.661595000000005","5.380227857142858","793275.0","136343.5","0.007355798431674203","","True"
"baseline-omp-pi-prompt-grepglob-no-project","omp_pi_like_prompt_or_tool_surface","108","36","108","35","28","7","12","5","0","70.47365500000001","10.067665000000002","1550432.5","835757.0","0.01560537402469768","configs/baseline-omp-pi-prompt-grepglob-no-project/omp-system-prompt.md","True"
"baseline-omp-pi-prompt-ast-no-project","omp_pi_like_prompt_or_tool_surface","108","36","108","35","28","7","10","3","0","77.39170899999999","11.055958428571428","1565915.5","879462.0","0.01531637465982618","configs/baseline-omp-pi-prompt-ast-no-project/omp-system-prompt.md","True"
"baseline-preamble-only","prompt_or_orchestration_only","108","36","108","34","28","6","11","5","0","11.665350000000004","1.9442250000000005","685219.0","55666.5","0.012430869490001486","configs/baseline-preamble-only/system_preamble.md","False"
"codebase-memory-max","extension_or_skill_config","108","36","108","34","28","6","12","6","0","23.849378","3.9748963333333336","811834.5","206773.0","0.012647372592772196","configs/codebase-memory-max/orchestration.md","True"
"baseline-preamble-orchestration","prompt_or_orchestration_only","108","36","235","33","28","5","13","8","0","-0.16244899999999518","-0.032489799999999035","608190.5","31009.0","0.010021040836190273","configs/baseline-preamble-orchestration/system_preamble.md;configs/baseline-preamble-orchestration/orchestration.md","True"
"advisor-gpt55-xhigh","extension_or_skill_config","108","36","108","33","28","5","15","10","0","30.735321","6.1470642","918153.5","328639.5","0.013723685980661237","configs/advisor-gpt55-xhigh/orchestration.md","True"
"projected-om-delta-gpt54mini-low","extension_or_skill_config","108","36","108","33","28","5","14","9","0","54.89068399999999","10.978136799999998","824595.0","213834.0","0.006257382013652758","configs/projected-om-delta-gpt54mini-low/orchestration.md","True"
"baseline-omp-pi-prompt-bash-only-no-project","omp_pi_like_prompt_or_tool_surface","108","36","108","33","28","5","13","8","0","71.92648399999999","14.385296799999997","1473975.0","846699.0","0.011513746160269704","configs/baseline-omp-pi-prompt-bash-only-no-project/omp-system-prompt.md","True"
"projected-om-gpt54mini-low","extension_or_skill_config","108","36","108","32","28","4","10","6","0","65.69514799999999","16.423786999999997","724603.5","127378.0","-0.012370363680178097","configs/projected-om-gpt54mini-low/orchestration.md","True"
"baseline-omp-bash-only","omp_harness_or_tool_context","108","36","108","32","28","4","10","6","0","102.831944","25.707986","1919510.0","1192256.5","0.0097760399015357","configs/baseline-omp-bash-only/orchestration.md","False"
