config,rollup,count
baseline-neutral-orchestration-only,new_reach,2
baseline-neutral-orchestration-only,reliability_improvement,3
baseline-neutral-orchestration-only,robust_improvement,3
baseline-neutral-orchestration-only,unchanged,28
baseline-neutral-orchestration-only,variance_lottery_ticket_change,5
baseline-neutral-orchestration-only,regression,3
baseline-preamble-only,new_reach,4
baseline-preamble-only,reliability_improvement,3
baseline-preamble-only,robust_improvement,2
baseline-preamble-only,unchanged,26
baseline-preamble-only,variance_lottery_ticket_change,8
baseline-preamble-only,regression,3
baseline-preamble-orchestration,new_reach,3
baseline-preamble-orchestration,reliability_improvement,4
baseline-preamble-orchestration,robust_improvement,2
baseline-preamble-orchestration,unchanged,26
baseline-preamble-orchestration,variance_lottery_ticket_change,8
baseline-preamble-orchestration,regression,3
baseline-wf-only,new_reach,3
baseline-wf-only,reliability_improvement,5
baseline-wf-only,robust_improvement,3
baseline-wf-only,unchanged,24
baseline-wf-only,variance_lottery_ticket_change,10
baseline-wf-only,regression,4
baseline-preamble-orchestration-wf,new_reach,3
baseline-preamble-orchestration-wf,reliability_improvement,5
baseline-preamble-orchestration-wf,robust_improvement,1
baseline-preamble-orchestration-wf,unchanged,21
baseline-preamble-orchestration-wf,variance_lottery_ticket_change,11
baseline-preamble-orchestration-wf,regression,7
