effect_id,metric,point,mean,ci95_low,ci95_high,probability_positive,probability_negative
workflow_vs_clean,attempt_solves_per_108,7.0,7.0364,-1.0,16.0,0.9352,0.0422
workflow_vs_clean,any_success_tasks_per_36,2.0,1.999,-2.0,6.0,0.7856,0.0934
workflow_vs_clean,stable_3_of_3_tasks_per_36,0.0,0.0264,-5.0,5.0,0.4222,0.4052
workflow_vs_clean,flaky_1_or_2_tasks_per_36,2.0,1.9726,-4.0,8.0,0.681,0.2154
preamble_vs_clean,attempt_solves_per_108,6.0,5.927,-3.0,16.0,0.8736,0.0836
preamble_vs_clean,any_success_tasks_per_36,2.0,1.9654,-3.0,7.0,0.7268,0.1536
preamble_vs_clean,stable_3_of_3_tasks_per_36,2.0,2.0036,-2.0,6.0,0.769,0.093
preamble_vs_clean,flaky_1_or_2_tasks_per_36,0.0,-0.0382,-5.0,5.0,0.4224,0.43
neutral_vs_clean,attempt_solves_per_108,2.0,2.072,-9.0,12.0,0.6256,0.3076
neutral_vs_clean,any_success_tasks_per_36,0.0,0.0324,-4.0,4.0,0.4088,0.3962
neutral_vs_clean,stable_3_of_3_tasks_per_36,-1.0,-0.9974,-5.0,2.0,0.1874,0.608
neutral_vs_clean,flaky_1_or_2_tasks_per_36,1.0,1.0298,-3.0,6.0,0.5888,0.2462
preamble_plus_workflow_vs_workflow,attempt_solves_per_108,-4.0,-3.976,-13.0,4.0,0.151,0.7906
preamble_plus_workflow_vs_workflow,any_success_tasks_per_36,-2.0,-1.9746,-7.0,3.0,0.1454,0.7354
preamble_plus_workflow_vs_workflow,stable_3_of_3_tasks_per_36,-1.0,-1.0062,-6.0,3.0,0.2506,0.5882
preamble_plus_workflow_vs_workflow,flaky_1_or_2_tasks_per_36,-1.0,-0.9684,-7.0,6.0,0.3266,0.5636
workflow_given_preamble,attempt_solves_per_108,-3.0,-2.9998,-12.0,6.0,0.228,0.7042
workflow_given_preamble,any_success_tasks_per_36,-2.0,-2.0192,-6.0,2.0,0.0928,0.7838
workflow_given_preamble,stable_3_of_3_tasks_per_36,-3.0,-2.9768,-7.0,1.0,0.0444,0.8836
workflow_given_preamble,flaky_1_or_2_tasks_per_36,1.0,0.9576,-5.0,7.0,0.5634,0.3034
preamble_workflow_interaction,attempt_solves_per_108,-10.0,-10.0214,-21.0,0.024999999999636202,0.025,0.9576
preamble_workflow_interaction,any_success_tasks_per_36,-4.0,-4.0242,-9.0,1.0,0.0512,0.9004
preamble_workflow_interaction,stable_3_of_3_tasks_per_36,-3.0,-2.9688,-9.0,3.0,0.1162,0.8094
preamble_workflow_interaction,flaky_1_or_2_tasks_per_36,-1.0,-1.0554,-9.0,7.0,0.354,0.5526
preamble_neutral_interaction,attempt_solves_per_108,-3.0,-3.037,-15.0,10.0,0.285,0.6616
preamble_neutral_interaction,any_success_tasks_per_36,1.0,0.9784,-5.0,8.0,0.543,0.3338
preamble_neutral_interaction,stable_3_of_3_tasks_per_36,-2.0,-2.0324,-6.0,2.0,0.0934,0.7806
preamble_neutral_interaction,flaky_1_or_2_tasks_per_36,3.0,3.0108,-4.0,10.0,0.754,0.1648
