config,clean_k,prompt_k,count,tasks
baseline-neutral-orchestration-only,0,0,20,adaptix-name-mapping-aliases;dateutil-rfc5545-timezone-interop;dynamodb-toolbox-conditional-attribute-requirements;eicrud-keyset-pagination-cursor;etree-xml-diff-patch;fastapi-deprecation-response-headers;fd-deterministic-multi-key-sorting;go-critic-doc-link-checker;go-git-worktree-merge-conflicts;katex-multicolumn-array-spans;koota-query-predicates;langchain-request-coalescing;meriyah-explicit-resource-declarations;participle-grammar-conflict-analysis;pest-character-class-coalescing;superjson-error-stack-serialization;tengo-callable-instance-isolation;tengo-destructuring-bindings;textual-kitty-key-phases;updo-policy-alerting
baseline-neutral-orchestration-only,0,1,0,
baseline-neutral-orchestration-only,0,2,2,mashumaro-flattened-dataclass-fields;mobly-grouped-test-barriers
baseline-neutral-orchestration-only,0,3,0,
baseline-neutral-orchestration-only,1,0,1,vulture-persistent-analysis-cache
baseline-neutral-orchestration-only,1,1,2,scc-bounded-memory-spilling;sql-formatter-bigquery-pipe-formatting
baseline-neutral-orchestration-only,1,2,2,psd-tools-blend-range-api;wazero-multi-module-snapshots
baseline-neutral-orchestration-only,1,3,1,obsidian-linter-link-format-conversion
baseline-neutral-orchestration-only,2,0,0,
baseline-neutral-orchestration-only,2,1,0,
baseline-neutral-orchestration-only,2,2,2,drizzle-orm-window-function-builders;happy-dom-deterministic-intersectionobserver
baseline-neutral-orchestration-only,2,3,0,
baseline-neutral-orchestration-only,3,0,1,claude-code-by-agents-recursive-delegation
baseline-neutral-orchestration-only,3,1,1,yjs-map-conflict-detection
baseline-neutral-orchestration-only,3,2,0,
baseline-neutral-orchestration-only,3,3,4,actionlint-action-pinning-lint;goreleaser-retry-publish-auditing;httpx-multipart-response-parsing;true-myth-iterable-collection-combinators
baseline-preamble-only,0,0,18,adaptix-name-mapping-aliases;dateutil-rfc5545-timezone-interop;dynamodb-toolbox-conditional-attribute-requirements;eicrud-keyset-pagination-cursor;etree-xml-diff-patch;fd-deterministic-multi-key-sorting;katex-multicolumn-array-spans;koota-query-predicates;langchain-request-coalescing;mashumaro-flattened-dataclass-fields;meriyah-explicit-resource-declarations;mobly-grouped-test-barriers;participle-grammar-conflict-analysis;pest-character-class-coalescing;superjson-error-stack-serialization;tengo-callable-instance-isolation;tengo-destructuring-bindings;updo-policy-alerting
baseline-preamble-only,0,1,2,go-critic-doc-link-checker;go-git-worktree-merge-conflicts
baseline-preamble-only,0,2,1,textual-kitty-key-phases
baseline-preamble-only,0,3,1,fastapi-deprecation-response-headers
baseline-preamble-only,1,0,2,sql-formatter-bigquery-pipe-formatting;vulture-persistent-analysis-cache
baseline-preamble-only,1,1,3,psd-tools-blend-range-api;scc-bounded-memory-spilling;wazero-multi-module-snapshots
baseline-preamble-only,1,2,1,obsidian-linter-link-format-conversion
baseline-preamble-only,1,3,0,
baseline-preamble-only,2,0,0,
baseline-preamble-only,2,1,0,
baseline-preamble-only,2,2,0,
baseline-preamble-only,2,3,2,drizzle-orm-window-function-builders;happy-dom-deterministic-intersectionobserver
baseline-preamble-only,3,0,0,
baseline-preamble-only,3,1,1,claude-code-by-agents-recursive-delegation
baseline-preamble-only,3,2,0,
baseline-preamble-only,3,3,5,actionlint-action-pinning-lint;goreleaser-retry-publish-auditing;httpx-multipart-response-parsing;true-myth-iterable-collection-combinators;yjs-map-conflict-detection
baseline-preamble-orchestration,0,0,19,adaptix-name-mapping-aliases;dateutil-rfc5545-timezone-interop;dynamodb-toolbox-conditional-attribute-requirements;eicrud-keyset-pagination-cursor;etree-xml-diff-patch;fd-deterministic-multi-key-sorting;go-git-worktree-merge-conflicts;katex-multicolumn-array-spans;koota-query-predicates;mashumaro-flattened-dataclass-fields;meriyah-explicit-resource-declarations;mobly-grouped-test-barriers;participle-grammar-conflict-analysis;pest-character-class-coalescing;superjson-error-stack-serialization;tengo-callable-instance-isolation;tengo-destructuring-bindings;textual-kitty-key-phases;updo-policy-alerting
baseline-preamble-orchestration,0,1,1,langchain-request-coalescing
baseline-preamble-orchestration,0,2,2,fastapi-deprecation-response-headers;go-critic-doc-link-checker
baseline-preamble-orchestration,0,3,0,
baseline-preamble-orchestration,1,0,0,
baseline-preamble-orchestration,1,1,4,psd-tools-blend-range-api;scc-bounded-memory-spilling;sql-formatter-bigquery-pipe-formatting;vulture-persistent-analysis-cache
baseline-preamble-orchestration,1,2,2,obsidian-linter-link-format-conversion;wazero-multi-module-snapshots
baseline-preamble-orchestration,1,3,0,
baseline-preamble-orchestration,2,0,0,
baseline-preamble-orchestration,2,1,0,
baseline-preamble-orchestration,2,2,0,
baseline-preamble-orchestration,2,3,2,drizzle-orm-window-function-builders;happy-dom-deterministic-intersectionobserver
baseline-preamble-orchestration,3,0,0,
baseline-preamble-orchestration,3,1,1,yjs-map-conflict-detection
baseline-preamble-orchestration,3,2,2,actionlint-action-pinning-lint;claude-code-by-agents-recursive-delegation
baseline-preamble-orchestration,3,3,3,goreleaser-retry-publish-auditing;httpx-multipart-response-parsing;true-myth-iterable-collection-combinators
baseline-wf-only,0,0,19,adaptix-name-mapping-aliases;dateutil-rfc5545-timezone-interop;dynamodb-toolbox-conditional-attribute-requirements;eicrud-keyset-pagination-cursor;etree-xml-diff-patch;fd-deterministic-multi-key-sorting;go-git-worktree-merge-conflicts;katex-multicolumn-array-spans;koota-query-predicates;langchain-request-coalescing;mashumaro-flattened-dataclass-fields;meriyah-explicit-resource-declarations;participle-grammar-conflict-analysis;pest-character-class-coalescing;superjson-error-stack-serialization;tengo-callable-instance-isolation;tengo-destructuring-bindings;textual-kitty-key-phases;updo-policy-alerting
baseline-wf-only,0,1,1,fastapi-deprecation-response-headers
baseline-wf-only,0,2,2,go-critic-doc-link-checker;mobly-grouped-test-barriers
baseline-wf-only,0,3,0,
baseline-wf-only,1,0,1,obsidian-linter-link-format-conversion
baseline-wf-only,1,1,2,sql-formatter-bigquery-pipe-formatting;vulture-persistent-analysis-cache
baseline-wf-only,1,2,2,scc-bounded-memory-spilling;wazero-multi-module-snapshots
baseline-wf-only,1,3,1,psd-tools-blend-range-api
baseline-wf-only,2,0,0,
baseline-wf-only,2,1,0,
baseline-wf-only,2,2,0,
baseline-wf-only,2,3,2,drizzle-orm-window-function-builders;happy-dom-deterministic-intersectionobserver
baseline-wf-only,3,0,0,
baseline-wf-only,3,1,0,
baseline-wf-only,3,2,3,actionlint-action-pinning-lint;claude-code-by-agents-recursive-delegation;yjs-map-conflict-detection
baseline-wf-only,3,3,3,goreleaser-retry-publish-auditing;httpx-multipart-response-parsing;true-myth-iterable-collection-combinators
baseline-preamble-orchestration-wf,0,0,19,adaptix-name-mapping-aliases;dateutil-rfc5545-timezone-interop;dynamodb-toolbox-conditional-attribute-requirements;eicrud-keyset-pagination-cursor;etree-xml-diff-patch;fd-deterministic-multi-key-sorting;go-git-worktree-merge-conflicts;katex-multicolumn-array-spans;koota-query-predicates;langchain-request-coalescing;mashumaro-flattened-dataclass-fields;mobly-grouped-test-barriers;participle-grammar-conflict-analysis;pest-character-class-coalescing;superjson-error-stack-serialization;tengo-callable-instance-isolation;tengo-destructuring-bindings;textual-kitty-key-phases;updo-policy-alerting
baseline-preamble-orchestration-wf,0,1,2,fastapi-deprecation-response-headers;meriyah-explicit-resource-declarations
baseline-preamble-orchestration-wf,0,2,0,
baseline-preamble-orchestration-wf,0,3,1,go-critic-doc-link-checker
baseline-preamble-orchestration-wf,1,0,3,scc-bounded-memory-spilling;sql-formatter-bigquery-pipe-formatting;vulture-persistent-analysis-cache
baseline-preamble-orchestration-wf,1,1,0,
baseline-preamble-orchestration-wf,1,2,3,obsidian-linter-link-format-conversion;psd-tools-blend-range-api;wazero-multi-module-snapshots
baseline-preamble-orchestration-wf,1,3,0,
baseline-preamble-orchestration-wf,2,0,0,
