task,rep,baseline_reward_binary,goal_reward_binary,delta_binary,baseline_reward_partial,goal_reward_partial,delta_partial,baseline_f2p,goal_f2p,delta_f2p,baseline_p2p,goal_p2p,delta_p2p,baseline_total_tokens,goal_total_tokens,delta_total_tokens,baseline_combined_total_tokens,goal_combined_total_tokens,delta_combined_total_tokens,baseline_cost_usd,goal_cost_usd,delta_cost_usd,baseline_combined_cost_usd,goal_combined_cost_usd,delta_combined_cost_usd,baseline_agent_wall_s,goal_agent_wall_s,delta_agent_wall_s,baseline_turns,goal_turns,delta_turns,baseline_tool_calls,goal_tool_calls,delta_tool_calls,baseline_patch_bytes,goal_patch_bytes,delta_patch_bytes,baseline_agent_exit,goal_agent_exit,baseline_timed_out,goal_timed_out,baseline_verifier_exit,goal_verifier_exit
updo-policy-alerting,0,0,0,0,0.9928571428571429,0.9928571428571429,0.0,0.9411764705882353,0.9411764705882353,0.0,1.0,1.0,0.0,601498,2138408,1536910,601498,2138408,1536910,0.864358,2.564534,1.7001760000000001,0.864358,2.564534,1.7001760000000001,253.2,781.0,527.8,35,61,26,34,61,27,22779,46044,23265,0,0,False,False,0,0
updo-policy-alerting,1,0,1,1,0.9857142857142858,1.0,0.014285714285714235,0.8823529411764706,1.0,0.11764705882352944,1.0,1.0,0.0,623612,1124256,500644,623612,1124256,500644,0.900085,1.589919,0.6898340000000001,0.900085,1.589919,0.6898340000000001,236.1,367.6,131.50000000000003,37,44,7,36,45,9,24375,31071,6696,0,0,False,False,0,0
updo-policy-alerting,2,0,0,0,0.9428571428571428,0.9857142857142858,0.04285714285714293,0.5294117647058824,0.8823529411764706,0.3529411764705882,1.0,1.0,0.0,459268,935327,476059,459268,935327,476059,0.792947,1.531727,0.7387800000000001,0.792947,1.531727,0.7387800000000001,215.6,353.5,137.9,32,36,4,31,40,9,22454,32761,10307,0,0,False,False,0,0
superjson-error-stack-serialization,0,0,1,1,0.9897959183673469,1.0,0.010204081632653073,0.975,1.0,0.025000000000000022,1.0,1.0,0.0,395097,840134,445037,395097,840134,445037,0.578948,1.255282,0.676334,0.578948,1.255282,0.676334,182.6,280.8,98.20000000000002,37,48,11,36,46,10,17876,21116,3240,0,0,False,False,0,0
superjson-error-stack-serialization,1,0,0,0,0.9693877551020408,0.9948979591836735,0.025510204081632737,0.9625,0.9875,0.025000000000000022,0.9741379310344828,1.0,0.025862068965517238,207231,705677,498446,207231,705677,498446,0.499964,1.092691,0.592727,0.499964,1.092691,0.592727,154.4,264.3,109.9,23,41,18,22,43,21,14055,21623,7568,0,0,False,False,0,0
superjson-error-stack-serialization,2,0,0,0,0.9693877551020408,0.9744897959183674,0.005102040816326592,0.9625,0.975,0.012499999999999956,0.9741379310344828,0.9741379310344828,0.0,252465,660910,408445,252465,660910,408445,0.491954,1.082923,0.5909690000000001,0.491954,1.082923,0.5909690000000001,163.2,234.5,71.30000000000001,28,41,13,27,39,12,14289,20001,5712,0,0,False,False,0,0
meriyah-explicit-resource-declarations,0,0,0,0,0.9998641251601382,0.9998058930859117,-5.8232074226505226e-05,1.0,0.9591836734693877,-0.04081632653061229,0.9998639958032991,0.9998445666323418,-1.942917095731911e-05,2294878,4605353,2310475,2294878,4605353,2310475,1.995181,3.975214,1.9800329999999997,1.995181,3.975214,1.9800329999999997,269.0,461.9,192.89999999999998,63,84,21,62,83,21,11623,25990,14367,0,0,False,False,0,0
meriyah-explicit-resource-declarations,1,0,0,0,0.9998058930859117,0.9998058930859117,0.0,0.9591836734693877,0.9591836734693877,0.0,0.9998445666323418,0.9998445666323418,0.0,2847077,2818818,-28259,2847077,2818818,-28259,3.209409,2.712674,-0.49673500000000015,3.209409,2.712674,-0.49673500000000015,584.5,452.1,-132.39999999999998,74,81,7,73,80,7,16237,27382,11145,0,0,False,False,0,0
meriyah-explicit-resource-declarations,2,0,0,0,0.9999805893085911,0.9998641251601382,-0.00011646414845289943,0.9795918367346939,1.0,0.020408163265306145,1.0,0.9998639958032991,-0.0001360041967009007,1485871,5452626,3966755,1485871,5452626,3966755,1.643035,4.50971,2.866675,1.643035,4.50971,2.866675,526.2,548.5,22.299999999999955,58,99,41,57,98,41,12108,23030,10922,0,0,False,False,0,0
pest-character-class-coalescing,0,0,0,0,0.9887005649717514,0.9378531073446328,-0.05084745762711862,0.9711538461538461,0.7884615384615384,-0.1826923076923077,0.996,1.0,0.0040000000000000036,901090,2082762,1181672,901090,2082762,1181672,0.926809,2.050338,1.123529,0.926809,2.050338,1.123529,169.1,420.1,251.00000000000003,28,69,41,27,68,41,13232,18257,5025,0,0,False,False,0,0
pest-character-class-coalescing,1,0,0,0,0.9180790960451978,0.9209039548022598,0.0028248587570620654,0.7211538461538461,0.7307692307692307,0.009615384615384581,1.0,1.0,0.0,1004624,2619895,1615271,1004624,2619895,1615271,1.406704,2.884916,1.478212,1.406704,2.884916,1.478212,288.4,442.8,154.40000000000003,50,64,14,49,63,14,15467,20262,4795,0,0,False,False,0,0
pest-character-class-coalescing,2,0,1,1,0.9661016949152542,1.0,0.03389830508474578,0.8942307692307693,1.0,0.10576923076923073,0.996,1.0,0.0040000000000000036,545419,1861163,1315744,545419,1861163,1315744,0.91147,2.374687,1.4632170000000002,0.91147,2.374687,1.4632170000000002,193.7,529.9,336.2,35,66,31,34,65,31,13581,20759,7178,0,0,False,False,0,0
