task,baseline_solves,baseline_mean_partial,baseline_mean_cost,baseline_mean_tokens,goal_solves,goal_mean_partial,goal_mean_cost,goal_mean_tokens,delta_solves,delta_mean_partial,delta_mean_cost,delta_mean_tokens
updo-policy-alerting,0,0.9738095238095239,0.8524633333333332,561459.3333333334,1,0.9928571428571429,1.8953933333333335,1399330.3333333333,1,0.01904761904761898,1.0429300000000001,837870.9999999999
superjson-error-stack-serialization,0,0.9761904761904762,0.523622,284931.0,1,0.9897959183673469,1.143632,735573.6666666666,1,0.013605442176870763,0.62001,450642.6666666666
meriyah-explicit-resource-declarations,0,0.9998835358515471,2.2825416666666665,2209275.3333333335,0,0.9998253037773206,3.7325326666666663,4292265.666666667,0,-5.8232074226505226e-05,1.4499909999999998,2082990.3333333335
pest-character-class-coalescing,0,0.9576271186440678,1.081661,817044.3333333334,1,0.952919020715631,2.4366470000000002,2187940.0,1,-0.00470809792843685,1.3549860000000002,1370895.6666666665
katex-multicolumn-array-spans,0,0.9947089947089948,1.266171,1023068.3333333334,0,0.946127946127946,1.9474323333333334,1882728.3333333333,0,-0.048581048581048725,0.6812613333333335,859659.9999999999
vulture-persistent-analysis-cache,1,0.9749216300940439,0.8572863333333333,532347.3333333334,0,0.9885057471264368,1.6279723333333334,1288040.6666666667,-1,0.013584117032392928,0.7706860000000001,755693.3333333334
obsidian-linter-link-format-conversion,2,0.9994402462916318,1.003776,814033.6666666666,2,0.9997201231458158,1.9014453333333332,1512138.3333333333,0,0.00027987685418406905,0.8976693333333332,698104.6666666666
happy-dom-deterministic-intersectionobserver,3,1.0,0.670099,350671.3333333333,3,1.0,1.5993883333333334,1070904.0,0,0.0,0.9292893333333334,720232.6666666667
koota-query-predicates,0,0.9798449612403101,1.5313573333333332,1519792.6666666667,0,0.9767441860465116,3.8137643333333333,4138499.0,0,-0.0031007751937984773,2.282407,2618706.333333333
participle-grammar-conflict-analysis,0,0.8920765027322405,0.4687936666666666,254920.33333333334,0,0.8920765027322405,1.286759,903334.0,0,0.0,0.8179653333333334,648413.6666666666
dateutil-rfc5545-timezone-interop,0,0.9979384712971773,0.7710206666666667,567271.6666666666,1,0.9996828417380272,1.7980746666666665,1474156.6666666667,1,0.0017443704408499627,1.0270539999999997,906885.0000000001
mashumaro-flattened-dataclass-fields,0,0.9991688829787234,0.8653446666666667,682871.3333333334,1,0.9998781028368794,2.094589,1730796.3333333333,1,0.0007092198581559739,1.2292443333333334,1047924.9999999999
langchain-request-coalescing,1,0.9929078014184397,0.942395,788555.6666666666,1,0.9940898345153665,3.0363313333333335,2924007.0,0,0.0011820330969267712,2.0939363333333336,2135451.3333333335
textual-kitty-key-phases,0,0.8833333333333333,0.577186,347157.6666666667,0,0.9291666666666667,1.8706059999999998,1576070.3333333333,0,0.04583333333333339,1.2934199999999998,1228912.6666666665
eicrud-keyset-pagination-cursor,0,0.9597069597069597,0.8262106666666668,588666.6666666666,2,0.989010989010989,3.2632073333333333,3048123.3333333335,2,0.02930402930402931,2.4369966666666665,2459456.666666667
claude-code-by-agents-recursive-delegation,2,0.9473684210526315,0.6319053333333333,435707.3333333333,3,1.0,1.71362,1261743.6666666667,1,0.052631578947368474,1.0817146666666666,826036.3333333335
fd-deterministic-multi-key-sorting,0,0.9934210526315791,0.848738,654219.6666666666,0,0.986842105263158,1.668425,1360784.0,0,-0.006578947368421129,0.819687,706564.3333333334
go-critic-doc-link-checker,2,0.9649122807017544,0.8949833333333334,607499.0,1,0.9298245614035089,1.4180203333333334,1302585.6666666667,-1,-0.0350877192982455,0.5230370000000001,695086.6666666667
mobly-grouped-test-barriers,0,0.9830890642615557,0.8827389999999999,607123.6666666666,1,0.9891018414130026,1.952592,1752291.0,1,0.00601277715144688,1.0698530000000002,1145167.3333333335
tengo-destructuring-bindings,0,0.6696562032884903,1.000794,755738.0,1,0.9910313901345291,3.0497553333333336,3205816.0,1,0.32137518684603883,2.0489613333333336,2450078.0
fastapi-deprecation-response-headers,2,0.9973504534800774,0.894627,792346.0,0,0.986242739223479,2.262052666666667,2112491.0,-2,-0.0111077142565984,1.367425666666667,1320145.0
go-git-worktree-merge-conflicts,0,0.8421052631578947,0.8968250000000001,745517.6666666666,0,0.8771929824561404,2.4858533333333335,2196895.6666666665,0,0.03508771929824572,1.5890283333333333,1451378.0
scc-bounded-memory-spilling,1,0.9915878023133544,0.6545576666666667,440422.3333333333,3,1.0,1.5295276666666666,1139504.0,2,0.008412197686645584,0.8749699999999999,699081.6666666667
tengo-callable-instance-isolation,0,0.935632183908046,0.8479166666666668,566952.3333333334,0,0.9448275862068966,2.1014909999999998,1642064.6666666667,0,0.009195402298850519,1.253574333333333,1075112.3333333335
httpx-multipart-response-parsing,3,1.0,0.6636513333333333,432718.0,3,1.0,1.4322046666666666,1119416.6666666667,0,0.0,0.7685533333333333,686698.6666666667
dynamodb-toolbox-conditional-attribute-requirements,0,0.9894709809964047,1.9447796666666666,1875127.6666666667,1,0.9987159732922445,4.614422333333334,5279043.333333333,1,0.009244992295839749,2.6696426666666673,3403915.666666666
etree-xml-diff-patch,0,0.9502487562189055,0.4778466666666667,204010.0,0,0.7014925373134329,1.0036636666666665,520815.3333333333,0,-0.24875621890547261,0.5258169999999998,316805.3333333333
adaptix-name-mapping-aliases,0,0.9972441888329738,1.6889963333333335,1761497.0,1,0.9995207284926911,3.8374666666666664,4325628.333333333,1,0.0022765396597173027,2.148470333333333,2564131.333333333
goreleaser-retry-publish-auditing,3,1.0,0.8188110000000001,662060.3333333334,3,1.0,1.8596753333333333,1593480.6666666667,0,0.0,1.0408643333333334,931420.3333333334
yjs-map-conflict-detection,1,0.9972222222222222,1.1236646666666668,1021029.3333333334,3,1.0,3.480786,3427273.0,2,0.002777777777777768,2.3571213333333336,2406243.6666666665
wazero-multi-module-snapshots,2,0.9916666666666667,0.3290773333333333,146405.33333333334,2,0.9916666666666667,0.9382513333333334,579742.6666666666,0,0.0,0.6091740000000001,433337.33333333326
actionlint-action-pinning-lint,2,0.9983333333333334,0.8024783333333333,602076.6666666666,3,1.0,2.252542,2169235.3333333335,1,0.0016666666666665941,1.4500636666666669,1567158.666666667
