task,rep,baseline_solve,recursive_solve,baseline_partial,recursive_partial,delta_partial,baseline_combined_cost,recursive_combined_cost,delta_combined_cost,recursive_child_calls,recursive_child_tokens,recursive_child_cost
superjson-error-stack-serialization,0,0,1,0.9897959183673469,1.0,0.010204081632653073,0.578948,1.400035,0.8210869999999999,1,265207,0.528448
superjson-error-stack-serialization,1,0,0,0.9693877551020408,0.9948979591836735,0.025510204081632737,0.499964,1.350237,0.8502729999999998,2,251940,0.637512
superjson-error-stack-serialization,2,0,1,0.9693877551020408,1.0,0.030612244897959218,0.491954,1.070397,0.578443,1,107138,0.19823
obsidian-linter-link-format-conversion,0,1,1,1.0,1.0,0.0,1.16387,1.413004,0.24913399999999997,1,120962,0.269433
obsidian-linter-link-format-conversion,1,0,0,0.998320738874895,0.9991603694374476,0.0008396305625525402,1.018708,1.972289,0.953581,1,261945,0.640605
obsidian-linter-link-format-conversion,2,1,1,1.0,1.0,0.0,0.82875,1.584371,0.755621,1,4699,0.043445
participle-grammar-conflict-analysis,0,0,0,0.9959016393442623,0.9959016393442623,0.0,0.512652,1.870013,1.357361,3,397218,0.891321
participle-grammar-conflict-analysis,1,0,0,0.6844262295081968,0.9877049180327869,0.30327868852459017,0.515508,2.773658,2.25815,3,568731,0.997244
participle-grammar-conflict-analysis,2,0,0,0.9959016393442623,0.9959016393442623,0.0,0.378221,1.220426,0.8422050000000001,1,111414,0.218089
dateutil-rfc5545-timezone-interop,0,0,0,0.9995242626070409,0.994291151284491,-0.005233111322549888,1.051886,1.169364,0.11747799999999997,2,123591,0.320572
dateutil-rfc5545-timezone-interop,1,0,0,0.99476688867745,0.9976213130352045,0.0028544243577545148,0.608099,1.064155,0.456056,1,60556,0.134736
dateutil-rfc5545-timezone-interop,2,0,0,0.9995242626070409,0.9976213130352045,-0.0019029495718363432,0.653077,1.566669,0.9135920000000001,3,338889,0.744859
langchain-request-coalescing,0,0,0,0.9858156028368794,0.9893617021276596,0.0035460992907802025,0.970002,1.598172,0.6281699999999999,1,68019,0.206803
langchain-request-coalescing,1,0,0,0.9929078014184397,0.9929078014184397,0.0,0.822022,2.188355,1.366333,2,137623,0.362086
langchain-request-coalescing,2,1,0,1.0,0.9893617021276596,-0.010638297872340385,1.035161,1.343791,0.30862999999999996,1,74376,0.197112
claude-code-by-agents-recursive-delegation,0,1,0,1.0,0.868421052631579,-0.13157894736842102,0.723786,0.945805,0.22201899999999997,1,4628,0.041915
claude-code-by-agents-recursive-delegation,1,0,0,0.8421052631578947,0.8157894736842105,-0.02631578947368418,0.639624,2.169025,1.529401,2,103811,0.286593
claude-code-by-agents-recursive-delegation,2,1,0,1.0,0.868421052631579,-0.13157894736842102,0.532306,0.961039,0.42873300000000003,1,69271,0.180828
go-critic-doc-link-checker,0,1,0,1.0,0.8947368421052632,-0.10526315789473684,0.839945,1.514604,0.674659,3,224022,0.562626
go-critic-doc-link-checker,1,0,1,0.8947368421052632,1.0,0.10526315789473684,0.990327,1.743985,0.7536579999999999,3,169309,0.557521
go-critic-doc-link-checker,2,1,1,1.0,1.0,0.0,0.854678,1.472883,0.6182049999999999,3,143558,0.418372
mobly-grouped-test-barriers,0,0,1,0.9932356257046223,1.0,0.006764374295377684,0.882141,1.777981,0.8958400000000001,2,229073,0.65874
mobly-grouped-test-barriers,1,0,0,0.9785794813979707,0.9932356257046223,0.01465614430665163,1.044896,1.941628,0.8967319999999999,1,594982,0.92115
mobly-grouped-test-barriers,2,0,0,0.9774520856820744,0.9932356257046223,0.015783540022547893,0.72118,1.424698,0.703518,2,266179,0.63882
tengo-callable-instance-isolation,0,0,1,0.9448275862068966,1.0,0.05517241379310345,0.839386,1.300093,0.460707,1,85059,0.210493
tengo-callable-instance-isolation,1,0,0,0.993103448275862,0.9862068965517241,-0.006896551724137945,0.729474,1.366946,0.637472,1,4507,0.03776
tengo-callable-instance-isolation,2,0,0,0.8689655172413793,0.9862068965517241,0.11724137931034484,0.97489,1.164152,0.18926200000000004,1,4557,0.023707
adaptix-name-mapping-aliases,0,0,0,0.9960460100647016,0.9985621854780733,0.0025161754133716796,1.291236,3.07141,1.7801740000000001,1,162842,0.390994
adaptix-name-mapping-aliases,1,0,1,0.9982027318475917,1.0,0.0017972681524083267,1.856872,5.794105,3.937233,1,2166500,2.427474
adaptix-name-mapping-aliases,2,0,0,0.9974838245866283,0.9992810927390366,0.0017972681524083267,1.918881,3.190158,1.2712769999999998,1,75745,0.241037
goreleaser-retry-publish-auditing,0,1,1,1.0,1.0,0.0,1.002893,1.366251,0.36335800000000007,1,249456,0.366138
goreleaser-retry-publish-auditing,1,1,1,1.0,1.0,0.0,0.745407,2.073573,1.328166,3,450375,0.857072
goreleaser-retry-publish-auditing,2,1,1,1.0,1.0,0.0,0.708133,9.740717,9.032584,9,6691069,8.56883
sql-formatter-bigquery-pipe-formatting,0,1,0,1.0,0.9998256320836966,-0.00017436791630343063,1.420676,3.380034,1.9593580000000002,3,587546,0.986569
sql-formatter-bigquery-pipe-formatting,1,0,0,0.9994768962510898,0.9996512641673932,0.00017436791630343063,1.026825,4.349574,3.3227489999999995,1,1271195,1.844486
sql-formatter-bigquery-pipe-formatting,2,0,1,0.9994768962510898,1.0,0.0005231037489101809,1.124102,1.077814,-0.046287999999999885,1,5076,0.05363
