task,baseline_solves,recursive_solves,baseline_mean_partial,recursive_mean_partial,delta_mean_partial,delta_mean_combined_cost,child_calls
superjson-error-stack-serialization,0,2,0.9761904761904762,0.9982993197278912,0.022108843537415008,0.7499343333333334,4
obsidian-linter-link-format-conversion,2,2,0.9994402462916318,0.9997201231458158,0.00027987685418418007,0.6527786666666667,3
participle-grammar-conflict-analysis,0,0,0.8920765027322405,0.9931693989071039,0.10109289617486339,1.4859053333333334,7
dateutil-rfc5545-timezone-interop,0,0,0.9979384712971773,0.9965112591183001,-0.001427212178877239,0.49570866666666663,6
langchain-request-coalescing,1,0,0.9929078014184397,0.9905437352245863,-0.0023640661938533944,0.7677109999999999,4
claude-code-by-agents-recursive-delegation,2,0,0.9473684210526315,0.8508771929824562,-0.0964912280701754,0.7267176666666666,4
go-critic-doc-link-checker,2,2,0.9649122807017544,0.9649122807017544,0.0,0.682174,9
mobly-grouped-test-barriers,0,1,0.9830890642615557,0.9954904171364148,0.01240135287485907,0.8320299999999999,5
tengo-callable-instance-isolation,0,1,0.935632183908046,0.9908045977011494,0.05517241379310345,0.429147,3
adaptix-name-mapping-aliases,0,1,0.9972441888329738,0.9992810927390366,0.002036903906062778,2.3295613333333334,3
goreleaser-retry-publish-auditing,3,3,1.0,1.0,0.0,3.5747026666666666,13
sql-formatter-bigquery-pipe-formatting,1,1,0.9996512641673932,0.9998256320836966,0.00017436791630339363,1.7452729999999999,5
