task,language,category,baseline_k,workflow_k,no_repro_k,no_commit_k,tight_k,range,best_configs
updo-policy-alerting,go,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
superjson-error-stack-serialization,typescript,feature_request,0,0,0,1,0,1,baseline-wf-no-commit
meriyah-explicit-resource-declarations,typescript,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
pest-character-class-coalescing,rust,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
katex-multicolumn-array-spans,javascript,feature_request,0,0,0,1,0,1,baseline-wf-no-commit
vulture-persistent-analysis-cache,python,feature_request,1,1,0,0,0,1,baseline;baseline-wf-only
obsidian-linter-link-format-conversion,typescript,feature_request,1,0,1,1,0,1,baseline;baseline-wf-no-repro-script;baseline-wf-no-commit
happy-dom-deterministic-intersectionobserver,typescript,feature_request,2,3,2,1,2,2,baseline-wf-only
koota-query-predicates,typescript,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
participle-grammar-conflict-analysis,go,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
dateutil-rfc5545-timezone-interop,python,enhancement,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
mashumaro-flattened-dataclass-fields,python,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
langchain-request-coalescing,python,feature_request,0,0,1,0,0,1,baseline-wf-no-repro-script
textual-kitty-key-phases,python,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
eicrud-keyset-pagination-cursor,typescript,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
claude-code-by-agents-recursive-delegation,typescript,feature_request,3,2,3,2,1,2,baseline;baseline-wf-no-repro-script
fd-deterministic-multi-key-sorting,rust,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
go-critic-doc-link-checker,go,feature_request,0,2,1,2,1,2,baseline-wf-only;baseline-wf-no-commit
mobly-grouped-test-barriers,python,feature_request,0,2,0,1,1,2,baseline-wf-only
tengo-destructuring-bindings,go,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
fastapi-deprecation-response-headers,python,feature_request,0,1,0,0,1,1,baseline-wf-only;baseline-wf-tight-checklist
go-git-worktree-merge-conflicts,go,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
scc-bounded-memory-spilling,go,feature_request,1,2,2,2,2,1,baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
tengo-callable-instance-isolation,go,bugfix,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
httpx-multipart-response-parsing,python,feature_request,3,3,3,2,3,1,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-tight-checklist
dynamodb-toolbox-conditional-attribute-requirements,typescript,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
etree-xml-diff-patch,go,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
adaptix-name-mapping-aliases,python,feature_request,0,0,0,0,0,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
goreleaser-retry-publish-auditing,go,feature_request,3,3,3,3,1,2,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit
yjs-map-conflict-detection,javascript,feature_request,3,2,2,3,2,1,baseline;baseline-wf-no-commit
wazero-multi-module-snapshots,go,feature_request,1,2,2,1,1,1,baseline-wf-only;baseline-wf-no-repro-script
actionlint-action-pinning-lint,go,feature_request,3,2,3,3,2,1,baseline;baseline-wf-no-repro-script;baseline-wf-no-commit
sql-formatter-bigquery-pipe-formatting,typescript,feature_request,1,1,0,0,0,1,baseline;baseline-wf-only
drizzle-orm-window-function-builders,typescript,feature_request,2,3,3,3,3,1,baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
psd-tools-blend-range-api,python,feature_request,1,3,3,2,2,2,baseline-wf-only;baseline-wf-no-repro-script
true-myth-iterable-collection-combinators,typescript,feature_request,3,3,3,3,3,0,baseline;baseline-wf-only;baseline-wf-no-repro-script;baseline-wf-no-commit;baseline-wf-tight-checklist
