rank_by_semantic_f1,config,best_config,tasks_total,tasks_with_observations,no_observation_tasks,mean_centroid_distance,median_centroid_distance,mean_semantic_precision_vs_best,mean_semantic_recall_vs_best,mean_semantic_f1_vs_best,mean_obs_count_ratio,robust_partial,solve_rate,quality_tasks,quality_cells
1,observational-memory-gpt54mini-low,observational-memory-gpt54mini-low,12,12,0,-1.9868214925130207e-08,0.0,1.0000000099341075,1.0000000099341075,1.0000000099341075,1.0,0.996136224062402,0.4444444444444445,12.0,36.0
2,observational-memory-gpt54mini-off,observational-memory-gpt54mini-low,12,12,0,0.019188498457272846,0.012881606817245483,0.8382487793763479,0.8612593412399292,0.8490261253187142,1.3234375853833684,0.9917889294095209,0.3888888888888889,12.0,36.0
3,observational-memory-gpt54-xhigh,observational-memory-gpt54mini-low,12,11,1,0.03198907050219449,0.03478717803955078,0.8606703389774669,0.8283754858103666,0.8438407656091023,0.7679179009304221,0.9339937773411163,0.2222222222222222,12.0,36.0
4,observational-memory-gpt54-low,observational-memory-gpt54mini-low,12,12,0,0.02603990336259206,0.02224525809288025,0.8311949868996938,0.8421173791090647,0.8361503698098208,0.9931433725317925,0.9832028125235038,0.3333333333333333,12.0,36.0
5,observational-memory-gpt55-off,observational-memory-gpt54mini-low,12,12,0,0.025828838348388672,0.02388116717338562,0.8308841039737066,0.8407090604305267,0.8354623734548675,1.14517785406555,0.9859571419247469,0.38888888888888884,12.0,36.0
6,observational-memory-gpt54-off,observational-memory-gpt54mini-low,12,12,0,0.02790657679239909,0.02589362859725952,0.8291315585374832,0.8413479626178741,0.834787584093478,1.1120272214982216,0.9361634949615144,0.3055555555555555,12.0,36.0
7,observational-memory-glm52-max,observational-memory-gpt54mini-low,12,12,0,0.030120626091957092,0.028171032667160034,0.814908022681872,0.8529775540033976,0.8332099859216613,3.4232669118141756,0.9841835762494587,0.3062169312169312,12.0,82.0
8,observational-memory-gpt55-low,observational-memory-gpt54mini-low,12,12,0,0.02881436049938202,0.029653608798980713,0.8187122692664465,0.8394227971633276,0.8286632708125211,1.1838456758835891,0.991901120472821,0.3333333333333333,12.0,36.0
9,observational-memory-glm52-high,observational-memory-gpt54mini-low,12,12,0,0.03263393541177114,0.02886253595352173,0.8153826842705408,0.8332761774460474,0.8240929885610919,1.4187109031471987,0.9910123708116158,0.3333333333333333,12.0,36.0
10,observational-memory-glm52-off,observational-memory-gpt54mini-low,12,12,0,0.03540836771329244,0.03057730197906494,0.8122753749291102,0.8349646578232447,0.8231282056141501,1.5746125032116367,0.9931023918445469,0.4166666666666667,12.0,36.0
11,observational-memory-gpt54mini-xhigh,observational-memory-gpt54mini-low,12,10,2,0.038319343328475954,0.0295068621635437,0.8508590698242188,0.7855302631855011,0.8156970975107388,0.440799495911725,0.9336700497561488,0.2777777777777778,12.0,36.0
12,observational-memory-gpt55-xhigh,observational-memory-gpt54mini-low,12,7,5,0.03493519340242658,0.03957700729370117,0.803367521081652,0.8275542259216309,0.8140421624087874,0.8835365292602134,0.9904586163865575,0.3611111111111111,12.0,29.0
