task,config,obs_count,gold_obs_count,obs_count_ratio,precision_vs_dual_gold,recall_vs_dual_gold,f1_vs_dual_gold,centroid_distance_vs_dual_gold,has_observations
actionlint-action-pinning-lint,observational-memory-glm52-high,41,97,0.422680412371134,0.9111907482147217,0.8427823185920715,0.8756525011619675,0.011515617370605469,True
actionlint-action-pinning-lint,observational-memory-glm52-max,180,97,1.8556701030927836,0.8919562697410583,0.9012057185173035,0.8965571389774365,0.006903290748596191,True
actionlint-action-pinning-lint,observational-memory-glm52-off,59,97,0.6082474226804123,1.0,0.9416742920875549,0.9699611267707844,0.005398273468017578,True
actionlint-action-pinning-lint,observational-memory-gpt54-low,35,97,0.36082474226804123,0.8822168707847595,0.8301764130592346,0.8554058746181793,0.013633251190185547,True
actionlint-action-pinning-lint,observational-memory-gpt54-off,29,97,0.29896907216494845,0.8957614302635193,0.8336272239685059,0.8635781351072169,0.02258974313735962,True
actionlint-action-pinning-lint,observational-memory-gpt54-xhigh,27,97,0.27835051546391754,0.9224101901054382,0.8140246272087097,0.8648347794540351,0.03172290325164795,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-low,38,97,0.3917525773195876,1.0,0.8667319416999817,0.928608893798295,0.012247681617736816,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-off,60,97,0.6185567010309279,0.8633549809455872,0.8387910723686218,0.8508957840511006,0.009168148040771484,True
actionlint-action-pinning-lint,observational-memory-gpt54mini-xhigh,13,97,0.13402061855670103,0.8837988972663879,0.7746838331222534,0.8256519105063034,0.023818492889404297,True
actionlint-action-pinning-lint,observational-memory-gpt55-low,63,97,0.6494845360824743,0.8785229921340942,0.8601990342140198,0.8692644573621536,0.012305736541748047,True
actionlint-action-pinning-lint,observational-memory-gpt55-off,37,97,0.38144329896907214,0.8644403219223022,0.8043457269668579,0.8333109922855556,0.02300739288330078,True
actionlint-action-pinning-lint,observational-memory-gpt55-xhigh,36,97,0.3711340206185567,0.8773462772369385,0.8202462196350098,0.8478359424190262,0.024657607078552246,True
anko-default-function-arguments,observational-memory-glm52-high,24,52,0.46153846153846156,0.8572506904602051,0.8040475249290466,0.8297971905624953,0.03183823823928833,True
anko-default-function-arguments,observational-memory-glm52-max,116,52,2.230769230769231,0.8333112597465515,0.8551810383796692,0.8441045176153411,0.015500009059906006,True
anko-default-function-arguments,observational-memory-glm52-off,26,52,0.5,1.0,0.8805211782455444,0.9364650485532289,0.02071148157119751,True
anko-default-function-arguments,observational-memory-gpt54-low,32,52,0.6153846153846154,0.8049366474151611,0.8070531487464905,0.8059935086247957,0.054599106311798096,True
anko-default-function-arguments,observational-memory-gpt54-off,30,52,0.5769230769230769,0.8244732022285461,0.7980733513832092,0.8110585057341002,0.06375110149383545,True
anko-default-function-arguments,observational-memory-gpt54-xhigh,14,52,0.2692307692307692,0.8828720450401306,0.7793086767196655,0.8278640657131111,0.038134098052978516,True
anko-default-function-arguments,observational-memory-gpt54mini-low,26,52,0.5,1.0,0.8820208311080933,0.9373125063539052,0.0226442813873291,True
anko-default-function-arguments,observational-memory-gpt54mini-off,21,52,0.40384615384615385,0.872056245803833,0.7957229018211365,0.8321427060057136,0.0585179328918457,True
anko-default-function-arguments,observational-memory-gpt54mini-xhigh,9,52,0.17307692307692307,0.8897985816001892,0.7738987803459167,0.8278116595056789,0.05354183912277222,True
anko-default-function-arguments,observational-memory-gpt55-low,40,52,0.7692307692307693,0.8344627618789673,0.8223517537117004,0.8283629931786711,0.026335537433624268,True
anko-default-function-arguments,observational-memory-gpt55-off,32,52,0.6153846153846154,0.8398950099945068,0.8137789368629456,0.8266307510119344,0.02367568016052246,True
anko-default-function-arguments,observational-memory-gpt55-xhigh,49,52,0.9423076923076923,0.7975512146949768,0.7837159633636475,0.7905730634641018,0.040288329124450684,True
awilix-async-container-initialization,observational-memory-glm52-high,37,66,0.5606060606060606,0.9008291363716125,0.8688499927520752,0.8845506235866668,0.010313630104064941,True
awilix-async-container-initialization,observational-memory-glm52-max,76,66,1.1515151515151516,0.9009677767753601,0.8850705027580261,0.8929483900733416,0.006593823432922363,True
