rank_by_dual_gold_f1,config,tasks_total,tasks_with_observations,no_observation_tasks,mean_precision_vs_dual_gold,mean_recall_vs_dual_gold,mean_f1_vs_dual_gold,mean_centroid_distance_vs_dual_gold,mean_obs_count_ratio_vs_dual_gold,solve_rate,robust_partial,quality_cells
1,observational-memory-glm52-off,12,12,0,1.0000000099341075,0.9321375886599222,0.9647368413086785,0.006074145436286926,0.5943965428041499,0.4166666666666667,0.9931023918445469,36.0
2,observational-memory-gpt54mini-low,12,12,0,1.0000000099341075,0.887019082903862,0.9398985417153615,0.01287586490313212,0.40560345719585,0.4444444444444445,0.996136224062402,36.0
3,observational-memory-glm52-max,12,12,0,0.8895027587811152,0.8818092793226242,0.8854702541399174,0.009050741791725159,1.3545695939690272,0.3062169312169312,0.9841835762494587,82.0
4,observational-memory-glm52-high,12,12,0,0.8862285763025284,0.8546042541662852,0.8700304631939498,0.011893019080162048,0.5460022286552253,0.3333333333333333,0.9910123708116158,36.0
5,observational-memory-gpt54-xhigh,12,11,1,0.8974006988785483,0.817729418927973,0.8555187278732844,0.03044868599284779,0.29339574862893675,0.2222222222222222,0.9339937773411163,36.0
6,observational-memory-gpt55-off,12,12,0,0.8728940983613332,0.837822750210762,0.8548504404839745,0.016587759057680767,0.45358682465878436,0.38888888888888884,0.9859571419247469,36.0
7,observational-memory-gpt55-low,12,12,0,0.8660615285237631,0.8374164948860804,0.8513627421383045,0.01884801189104716,0.4671023860202143,0.3333333333333333,0.991901120472821,36.0
8,observational-memory-gpt54mini-off,12,12,0,0.8640158126751581,0.834363063176473,0.8486468592017955,0.02001465360323588,0.5184061164542462,0.3888888888888889,0.9917889294095209,36.0
9,observational-memory-gpt54-low,12,12,0,0.868703618645668,0.8283631006876627,0.8478267581142083,0.02412498990694682,0.3918321142598793,0.3333333333333333,0.9832028125235038,36.0
10,observational-memory-gpt54-off,12,12,0,0.8664717922608057,0.8276787400245667,0.84646442232507,0.025221327940622967,0.4308113667682775,0.3055555555555555,0.9361634949615144,36.0
11,observational-memory-gpt55-xhigh,12,7,5,0.8495969516890389,0.821033639567239,0.8343394689152641,0.029036896569388255,0.3328013593723383,0.3611111111111111,0.9904586163865575,29.0
12,observational-memory-gpt54mini-xhigh,12,10,2,0.8851002752780914,0.7759872913360596,0.8262870117002155,0.03810807466506958,0.16183017171019617,0.2777777777777778,0.9336700497561488,36.0
