config,observations,solve_rate,robust_partial,task_requirement_count,task_requirement_share,code_structure_count,code_structure_share,implementation_state_count,implementation_state_share,test_failure_count,test_failure_share,self_reported_completion_count,self_reported_completion_share,other_count,other_share
observational-memory-glm52-high,670,0.3333333333333333,0.9910123708116158,44,0.06567164179104477,86,0.12835820895522387,352,0.5253731343283582,145,0.21641791044776118,20,0.029850746268656716,23,0.034328358208955224
observational-memory-glm52-max,1533,0.3062169312169312,0.9841835762494587,155,0.10110893672537508,185,0.12067840834964122,732,0.4774951076320939,346,0.22570123939986952,34,0.02217873450750163,81,0.05283757338551859
observational-memory-glm52-off,738,0.4166666666666667,0.9931023918445466,59,0.07994579945799458,98,0.13279132791327913,340,0.46070460704607047,163,0.22086720867208673,37,0.05013550135501355,41,0.05555555555555555
observational-memory-gpt54-low,446,0.3333333333333333,0.9832028125235039,31,0.06950672645739911,37,0.08295964125560538,138,0.3094170403587444,132,0.29596412556053814,95,0.21300448430493274,13,0.02914798206278027
observational-memory-gpt54-off,503,0.3055555555555556,0.9361634949615145,26,0.05168986083499006,53,0.10536779324055666,102,0.20278330019880716,164,0.3260437375745527,139,0.27634194831013914,19,0.03777335984095427
observational-memory-gpt54-xhigh,331,0.2222222222222222,0.9339937773411164,59,0.1782477341389728,33,0.09969788519637462,139,0.4199395770392749,70,0.21148036253776434,16,0.04833836858006042,14,0.04229607250755287
observational-memory-gpt54mini-low,462,0.4444444444444444,0.996136224062402,51,0.11038961038961038,49,0.10606060606060606,115,0.24891774891774893,108,0.23376623376623376,121,0.2619047619047619,18,0.03896103896103896
observational-memory-gpt54mini-off,604,0.38888888888888884,0.9917889294095209,58,0.09602649006622517,37,0.061258278145695365,109,0.1804635761589404,144,0.23841059602649006,239,0.3956953642384106,17,0.028145695364238412
observational-memory-gpt54mini-xhigh,206,0.2777777777777778,0.9336700497561488,73,0.35436893203883496,27,0.13106796116504854,61,0.2961165048543689,23,0.11165048543689321,18,0.08737864077669903,4,0.019417475728155338
observational-memory-gpt55-low,554,0.3333333333333333,0.9919011204728209,50,0.09025270758122744,59,0.10649819494584838,178,0.3212996389891697,133,0.24007220216606498,116,0.20938628158844766,18,0.032490974729241874
observational-memory-gpt55-off,527,0.3888888888888889,0.985957141924747,43,0.08159392789373814,44,0.08349146110056926,159,0.301707779886148,136,0.25806451612903225,126,0.23908918406072105,19,0.036053130929791274
observational-memory-gpt55-xhigh,538,0.3055555555555555,0.9308597384435456,118,0.21933085501858737,78,0.1449814126394052,173,0.3215613382899628,78,0.1449814126394052,55,0.10223048327137546,36,0.06691449814126393
