config_a,config_b,topics_a,topics_b,topics_union,topics_overlap,unique_topics_a,unique_topics_b,union_topic_recall,jaccard_overlap,unique_add_a_over_b,unique_add_b_over_a,solve_a,solve_b,robust_partial_a,robust_partial_b,oracle_solve_rate,oracle_robust_partial
observational-memory-glm52-high,observational-memory-glm52-max,366,536,676,226,140,310,0.4464993394980185,0.3343195266272189,0.3825136612021858,0.5783582089552238,0.3333333333333333,0.3062169312169312,0.9910123708116158,0.9841835762494587,0.4166666666666667,0.9916340105965621
observational-memory-glm52-high,observational-memory-glm52-off,366,388,547,207,159,181,0.36129458388375163,0.37842778793418647,0.4344262295081967,0.46649484536082475,0.3333333333333333,0.4166666666666667,0.9910123708116158,0.9931023918445466,0.4166666666666667,0.9931023918445466
observational-memory-glm52-high,observational-memory-gpt54-low,366,256,497,125,241,131,0.3282694848084544,0.2515090543259557,0.6584699453551912,0.51171875,0.3333333333333333,0.3333333333333333,0.9910123708116158,0.9832028125235039,0.38888888888888884,0.9924504687009846
observational-memory-glm52-high,observational-memory-gpt54-off,366,272,517,121,245,151,0.3414795244385733,0.23404255319148937,0.6693989071038251,0.5551470588235294,0.3333333333333333,0.3055555555555556,0.9910123708116158,0.9361634949615145,0.4444444444444444,0.992883550213263
observational-memory-glm52-high,observational-memory-gpt54-xhigh,366,173,435,104,262,69,0.28731836195508587,0.23908045977011494,0.7158469945355191,0.3988439306358382,0.3333333333333333,0.2222222222222222,0.9910123708116158,0.9339937773411164,0.3888888888888889,0.9927302833692465
observational-memory-glm52-high,observational-memory-gpt54mini-low,366,293,531,128,238,165,0.35072655217965654,0.24105461393596986,0.6502732240437158,0.5631399317406144,0.3333333333333333,0.4444444444444444,0.9910123708116158,0.996136224062402,0.5,0.996246453339298
observational-memory-glm52-high,observational-memory-gpt54mini-off,366,369,603,132,234,237,0.39828269484808454,0.21890547263681592,0.639344262295082,0.6422764227642277,0.3333333333333333,0.38888888888888884,0.9910123708116158,0.9917889294095209,0.4444444444444444,0.9928992725879456
observational-memory-glm52-high,observational-memory-gpt54mini-xhigh,366,154,438,82,284,72,0.2892998678996037,0.1872146118721461,0.7759562841530054,0.4675324675324675,0.3333333333333333,0.2777777777777778,0.9910123708116158,0.9336700497561488,0.4166666666666667,0.9923894533220436
observational-memory-glm52-high,observational-memory-gpt55-low,366,318,525,159,207,159,0.3467635402906209,0.3028571428571429,0.5655737704918032,0.5,0.3333333333333333,0.3333333333333333,0.9910123708116158,0.9919011204728209,0.4444444444444444,0.9920664643881647
observational-memory-glm52-high,observational-memory-gpt55-off,366,284,511,139,227,145,0.33751651254953763,0.2720156555772994,0.6202185792349727,0.5105633802816901,0.3333333333333333,0.3888888888888889,0.9910123708116158,0.985957141924747,0.47222222222222227,0.9927827437616501
observational-memory-glm52-high,observational-memory-gpt55-xhigh,366,323,556,133,233,190,0.36723910171730517,0.2392086330935252,0.6366120218579235,0.5882352941176471,0.3333333333333333,0.3055555555555555,0.9910123708116158,0.9308597384435456,0.4166666666666667,0.9921464989198941
observational-memory-glm52-max,observational-memory-glm52-off,536,388,670,254,282,134,0.4425363276089828,0.37910447761194027,0.5261194029850746,0.34536082474226804,0.3062169312169312,0.4166666666666667,0.9841835762494587,0.9931023918445466,0.4305555555555556,0.9931023918445466
observational-memory-glm52-max,observational-memory-gpt54-low,536,256,647,145,391,111,0.4273447820343461,0.2241112828438949,0.7294776119402985,0.43359375,0.3062169312169312,0.3333333333333333,0.9841835762494587,0.9832028125235039,0.375,0.9884933826989425
observational-memory-glm52-max,observational-memory-gpt54-off,536,272,664,144,392,128,0.4385733157199472,0.21686746987951808,0.7313432835820896,0.47058823529411764,0.3062169312169312,0.3055555555555556,0.9841835762494587,0.9361634949615145,0.375,0.9890140639773096
observational-memory-glm52-max,observational-memory-gpt54-xhigh,536,173,577,132,404,41,0.38110964332893,0.22876949740034663,0.753731343283582,0.23699421965317918,0.3062169312169312,0.2222222222222222,0.9841835762494587,0.9339937773411164,0.3611111111111111,0.9886971983588778
observational-memory-glm52-max,observational-memory-gpt54mini-low,536,293,683,146,390,147,0.4511228533685601,0.21376281112737922,0.7276119402985075,0.5017064846416383,0.3062169312169312,0.4444444444444444,0.9841835762494587,0.996136224062402,0.4682539682539683,0.996136224062402
observational-memory-glm52-max,observational-memory-gpt54mini-off,536,369,748,157,379,212,0.4940554821664465,0.20989304812834225,0.707089552238806,0.5745257452574526,0.3062169312169312,0.38888888888888884,0.9841835762494587,0.9917889294095209,0.41666666666666674,0.9923482565838396
observational-memory-glm52-max,observational-memory-gpt54mini-xhigh,536,154,586,104,432,50,0.3870541611624835,0.17747440273037543,0.8059701492537313,0.3246753246753247,0.3062169312169312,0.2777777777777778,0.9841835762494587,0.9336700497561488,0.34722222222222227,0.9878559953894629
observational-memory-glm52-max,observational-memory-gpt55-low,536,318,666,188,348,130,0.43989431968295906,0.2822822822822823,0.6492537313432836,0.4088050314465409,0.3062169312169312,0.3333333333333333,0.9841835762494587,0.9919011204728209,0.4173280423280423,0.99212984622238
observational-memory-glm52-max,observational-memory-gpt55-off,536,284,639,181,355,103,0.42206076618229854,0.28325508607198746,0.6623134328358209,0.3626760563380282,0.3062169312169312,0.3888888888888889,0.9841835762494587,0.985957141924747,0.47685185185185186,0.989210304599228
observational-memory-glm52-max,observational-memory-gpt55-xhigh,536,323,688,171,365,152,0.45442536327608984,0.24854651162790697,0.6809701492537313,0.47058823529411764,0.3062169312169312,0.3055555555555555,0.9841835762494587,0.9308597384435456,0.38888888888888884,0.9884610600905049
observational-memory-glm52-off,observational-memory-gpt54-low,388,256,511,133,255,123,0.33751651254953763,0.2602739726027397,0.6572164948453608,0.48046875,0.4166666666666667,0.3333333333333333,0.9931023918445466,0.9832028125235039,0.4166666666666667,0.9934891665474375
observational-memory-glm52-off,observational-memory-gpt54-off,388,272,530,130,258,142,0.35006605019815057,0.24528301886792453,0.6649484536082474,0.5220588235294118,0.4166666666666667,0.3055555555555556,0.9931023918445466,0.9361634949615145,0.47222222222222227,0.9932335428255561
observational-memory-glm52-off,observational-memory-gpt54-xhigh,388,173,439,122,266,51,0.2899603698811096,0.27790432801822323,0.6855670103092784,0.2947976878612717,0.4166666666666667,0.2222222222222222,0.9931023918445466,0.9339937773411164,0.4166666666666667,0.9931810824331523
observational-memory-glm52-off,observational-memory-gpt54mini-low,388,293,541,140,248,153,0.357331571994716,0.2587800369685767,0.6391752577319587,0.5221843003412969,0.4166666666666667,0.4444444444444444,0.9931023918445466,0.996136224062402,0.5,0.9969351585734579
observational-memory-glm52-off,observational-memory-gpt54mini-off,388,369,610,147,241,222,0.40290620871862615,0.24098360655737705,0.6211340206185567,0.6016260162601627,0.4166666666666667,0.38888888888888884,0.9931023918445466,0.9917889294095209,0.4444444444444444,0.9935907482121763
observational-memory-glm52-off,observational-memory-gpt54mini-xhigh,388,154,447,95,293,59,0.2952443857331572,0.21252796420581654,0.7551546391752577,0.38311688311688313,0.4166666666666667,0.2777777777777778,0.9931023918445466,0.9336700497561488,0.4166666666666667,0.9934219214968985
observational-memory-glm52-off,observational-memory-gpt55-low,388,318,534,172,216,146,0.3527080581241744,0.32209737827715357,0.5567010309278351,0.4591194968553459,0.4166666666666667,0.3333333333333333,0.9931023918445466,0.9919011204728209,0.47222222222222227,0.9931023918445466
observational-memory-glm52-off,observational-memory-gpt55-off,388,284,506,166,222,118,0.3342140026420079,0.32806324110671936,0.5721649484536082,0.4154929577464789,0.4166666666666667,0.3888888888888889,0.9931023918445466,0.985957141924747,0.5,0.9932335428255561
observational-memory-glm52-off,observational-memory-gpt55-xhigh,388,323,559,152,236,171,0.36922060766182296,0.27191413237924866,0.6082474226804123,0.5294117647058824,0.4166666666666667,0.3055555555555555,0.9931023918445466,0.9308597384435456,0.4444444444444444,0.9932860032179599
observational-memory-gpt54-low,observational-memory-gpt54-off,256,272,388,140,116,132,0.2562747688243065,0.36082474226804123,0.453125,0.4852941176470588,0.3333333333333333,0.3055555555555556,0.9832028125235039,0.9361634949615145,0.4166666666666666,0.9860845002138041
observational-memory-gpt54-low,observational-memory-gpt54-xhigh,256,173,325,104,152,69,0.21466314398943198,0.32,0.59375,0.3988439306358382,0.3333333333333333,0.2222222222222222,0.9832028125235039,0.9339937773411164,0.3888888888888889,0.9843489692567818
observational-memory-gpt54-low,observational-memory-gpt54mini-low,256,293,421,128,128,165,0.27807133421400265,0.30403800475059384,0.5,0.5631399317406144,0.3333333333333333,0.4444444444444444,0.9832028125235039,0.996136224062402,0.47222222222222227,0.996162454258604
observational-memory-gpt54-low,observational-memory-gpt54mini-off,256,369,498,127,129,242,0.3289299867899604,0.25502008032128515,0.50390625,0.6558265582655827,0.3333333333333333,0.38888888888888884,0.9832028125235039,0.9917889294095209,0.4166666666666667,0.9918290115560774
observational-memory-gpt54-low,observational-memory-gpt54mini-xhigh,256,154,340,70,186,84,0.22457067371202113,0.20588235294117646,0.7265625,0.5454545454545454,0.3333333333333333,0.2777777777777778,0.9832028125235039,0.9336700497561488,0.3611111111111111,0.9836690553146444
observational-memory-gpt54-low,observational-memory-gpt55-low,256,318,446,128,128,190,0.29458388375165123,0.28699551569506726,0.5,0.5974842767295597,0.3333333333333333,0.3333333333333333,0.9832028125235039,0.9919011204728209,0.4166666666666666,0.9923430098141596
observational-memory-gpt54-low,observational-memory-gpt55-off,256,284,415,125,131,159,0.27410832232496696,0.30120481927710846,0.51171875,0.5598591549295775,0.3333333333333333,0.3888888888888889,0.9832028125235039,0.985957141924747,0.47222222222222227,0.987821191479004
observational-memory-gpt54-low,observational-memory-gpt55-xhigh,256,323,470,109,147,214,0.3104359313077939,0.23191489361702128,0.57421875,0.6625386996904025,0.3333333333333333,0.3055555555555555,0.9832028125235039,0.9308597384435456,0.38888888888888884,0.9836024951381298
observational-memory-gpt54-off,observational-memory-gpt54-xhigh,272,173,345,100,172,73,0.22787318361955086,0.2898550724637681,0.6323529411764706,0.42196531791907516,0.3055555555555556,0.2222222222222222,0.9361634949615145,0.9339937773411164,0.3888888888888889,0.9367511547939661
