config,task,observations,topics_total,topics_seen,topics_seen_early,topics_seen_early_or_mid,final_topic_recall,early_topic_recall,early_or_mid_topic_recall,mean_source_coverage_fraction
observational-memory-glm52-high,actionlint-action-pinning-lint,41,129,25,16,24,0.1937984496124031,0.12403100775193798,0.18604651162790697,0.43592795547183677
observational-memory-glm52-high,anko-default-function-arguments,24,103,17,10,17,0.1650485436893204,0.0970873786407767,0.1650485436893204,0.36244122257053296
observational-memory-glm52-high,awilix-async-container-initialization,37,109,20,20,20,0.1834862385321101,0.1834862385321101,0.1834862385321101,0.21789504698884665
observational-memory-glm52-high,boa-hierarchical-evaluation-cancellation,95,194,54,26,43,0.27835051546391754,0.13402061855670103,0.22164948453608246,0.42336387965290717
observational-memory-glm52-high,cattrs-partial-structuring-recovery,48,99,32,19,19,0.32323232323232326,0.1919191919191919,0.1919191919191919,0.44790835423316616
observational-memory-glm52-high,dynamodb-toolbox-lazy-recursive-schemas,113,251,61,24,38,0.24302788844621515,0.09561752988047809,0.15139442231075698,0.5400460083096641
observational-memory-glm52-high,fastapi-implicit-head-options,84,146,35,24,31,0.23972602739726026,0.1643835616438356,0.21232876712328766,0.3457923762955072
observational-memory-glm52-high,httpx-streaming-json-iteration,27,65,16,7,12,0.24615384615384617,0.1076923076923077,0.18461538461538463,0.5178820391586348
observational-memory-glm52-high,kgateway-consistent-hash-policy,48,108,19,11,17,0.17592592592592593,0.10185185185185185,0.1574074074074074,0.37113434436274506
observational-memory-glm52-high,mashumaro-flattened-dataclass-fields,53,118,34,15,15,0.288135593220339,0.1271186440677966,0.1271186440677966,0.4649696421442008
observational-memory-glm52-high,ts-pattern-match-each,39,52,21,0,17,0.40384615384615385,0.0,0.3269230769230769,0.6083638583638582
observational-memory-glm52-high,yjs-map-conflict-detection,61,140,32,17,22,0.22857142857142856,0.12142857142857143,0.15714285714285714,0.42523271699072307
observational-memory-glm52-max,actionlint-action-pinning-lint,180,129,56,29,33,0.43410852713178294,0.2248062015503876,0.2558139534883721,0.44405506404655715
observational-memory-glm52-max,anko-default-function-arguments,116,103,50,17,45,0.4854368932038835,0.1650485436893204,0.4368932038834951,0.3930588427664649
observational-memory-glm52-max,awilix-async-container-initialization,76,109,21,21,21,0.1926605504587156,0.1926605504587156,0.1926605504587156,0.20419251688476697
observational-memory-glm52-max,boa-hierarchical-evaluation-cancellation,192,194,59,42,56,0.30412371134020616,0.21649484536082475,0.28865979381443296,0.29087090440458363
observational-memory-glm52-max,cattrs-partial-structuring-recovery,81,99,30,13,25,0.30303030303030304,0.13131313131313133,0.25252525252525254,0.4076123209930798
observational-memory-glm52-max,dynamodb-toolbox-lazy-recursive-schemas,200,251,74,29,47,0.2948207171314741,0.11553784860557768,0.18725099601593626,0.46587652651523265
observational-memory-glm52-max,fastapi-implicit-head-options,159,146,54,40,49,0.3698630136986301,0.273972602739726,0.3356164383561644,0.33409152922352103
observational-memory-glm52-max,httpx-streaming-json-iteration,102,65,39,0,39,0.6,0.0,0.6,0.43028190971891683
observational-memory-glm52-max,kgateway-consistent-hash-policy,167,108,45,28,38,0.4166666666666667,0.25925925925925924,0.35185185185185186,0.336728339640797
observational-memory-glm52-max,mashumaro-flattened-dataclass-fields,86,118,37,20,26,0.3135593220338983,0.1694915254237288,0.22033898305084745,0.36970058476374623
observational-memory-glm52-max,ts-pattern-match-each,27,52,17,0,17,0.3269230769230769,0.0,0.3269230769230769,0.5518518518518519
observational-memory-glm52-max,yjs-map-conflict-detection,147,140,54,30,37,0.38571428571428573,0.21428571428571427,0.2642857142857143,0.41925250001051756
observational-memory-glm52-off,actionlint-action-pinning-lint,59,129,38,20,26,0.29457364341085274,0.15503875968992248,0.20155038759689922,0.46270200556923713
observational-memory-glm52-off,anko-default-function-arguments,26,103,17,0,17,0.1650485436893204,0.0,0.1650485436893204,0.4652733146162432
observational-memory-glm52-off,awilix-async-container-initialization,44,109,27,16,16,0.24770642201834864,0.14678899082568808,0.14678899082568808,0.3268831168831169
observational-memory-glm52-off,boa-hierarchical-evaluation-cancellation,125,194,57,33,40,0.29381443298969073,0.17010309278350516,0.20618556701030927,0.4011407947639085
observational-memory-glm52-off,cattrs-partial-structuring-recovery,57,99,31,13,15,0.31313131313131315,0.13131313131313133,0.15151515151515152,0.5009219534716122
observational-memory-glm52-off,dynamodb-toolbox-lazy-recursive-schemas,97,251,47,23,40,0.18725099601593626,0.09163346613545817,0.1593625498007968,0.41545832358242285
observational-memory-glm52-off,fastapi-implicit-head-options,95,146,39,35,39,0.2671232876712329,0.23972602739726026,0.2671232876712329,0.2794845054562029
observational-memory-glm52-off,httpx-streaming-json-iteration,19,65,14,11,14,0.2153846153846154,0.16923076923076924,0.2153846153846154,0.36411483253588517
observational-memory-glm52-off,kgateway-consistent-hash-policy,54,108,29,22,29,0.26851851851851855,0.2037037037037037,0.26851851851851855,0.288552115264854
observational-memory-glm52-off,mashumaro-flattened-dataclass-fields,50,118,28,19,28,0.23728813559322035,0.16101694915254236,0.23728813559322035,0.3698246753246752
observational-memory-glm52-off,ts-pattern-match-each,45,52,23,0,23,0.4423076923076923,0.0,0.4423076923076923,0.5481514228640666
observational-memory-glm52-off,yjs-map-conflict-detection,67,140,38,16,29,0.2714285714285714,0.11428571428571428,0.20714285714285716,0.5049558584600766
observational-memory-gpt54-low,actionlint-action-pinning-lint,35,129,22,15,19,0.17054263565891473,0.11627906976744186,0.14728682170542637,0.3925672418779523
observational-memory-gpt54-low,anko-default-function-arguments,32,103,21,8,8,0.20388349514563106,0.07766990291262135,0.07766990291262135,0.6102869854925776
observational-memory-gpt54-low,awilix-async-container-initialization,28,109,17,11,11,0.1559633027522936,0.10091743119266056,0.10091743119266056,0.444511563904459
observational-memory-gpt54-low,boa-hierarchical-evaluation-cancellation,56,194,28,16,20,0.14432989690721648,0.08247422680412371,0.10309278350515463,0.5088160494730679
observational-memory-gpt54-low,cattrs-partial-structuring-recovery,43,99,22,12,12,0.2222222222222222,0.12121212121212122,0.12121212121212122,0.48825239846546986
observational-memory-gpt54-low,dynamodb-toolbox-lazy-recursive-schemas,59,251,34,6,21,0.13545816733067728,0.02390438247011952,0.08366533864541832,0.5323514538938185
