config,observations,early_obs_share,mid_obs_share,late_obs_share,unknown_obs_share,mean_source_coverage_fraction,early_topics,early_or_mid_topics,final_topics,early_topic_recall,early_or_mid_topic_recall,final_topic_recall,solve_rate,robust_partial
observational-memory-glm52-high,670,0.4761194029850746,0.26865671641791045,0.25522388059701495,0.0,0.4366130167248065,189,275,366,0.12483487450462351,0.18163804491413474,0.24174372523117568,0.3333333333333333,0.9910123708116158
observational-memory-glm52-max,1533,0.5107632093933464,0.324853228962818,0.1643835616438356,0.0,0.38137625177482665,269,433,536,0.17767503302509907,0.285997357992074,0.35402906208718626,0.3062169312169312,0.9841835762494587
observational-memory-glm52-off,738,0.483739837398374,0.34959349593495936,0.16666666666666666,0.0,0.4048985150475543,208,316,388,0.13738441215323646,0.20871862615587847,0.2562747688243065,0.4166666666666667,0.9931023918445466
observational-memory-gpt54-low,446,0.4484304932735426,0.24887892376681614,0.30269058295964124,0.0,0.46197865200165494,129,196,256,0.08520475561426684,0.12945838837516513,0.1690885072655218,0.3333333333333333,0.9832028125235039
observational-memory-gpt54-off,503,0.30218687872763417,0.3499005964214712,0.34791252485089463,0.0,0.5181098173354829,101,185,272,0.0667107001321004,0.12219286657859973,0.17965653896961692,0.3055555555555556,0.9361634949615145
observational-memory-gpt54-xhigh,331,0.7371601208459214,0.18429003021148035,0.07854984894259819,0.0,0.2932633932934872,128,158,173,0.0845442536327609,0.10435931307793923,0.1142668428005284,0.2222222222222222,0.9339937773411164
observational-memory-gpt54mini-low,462,0.4199134199134199,0.2662337662337662,0.31385281385281383,0.0,0.4729396626487403,125,209,293,0.08256274768824307,0.1380449141347424,0.19352708058124174,0.4444444444444444,0.996136224062402
observational-memory-gpt54mini-off,604,0.347682119205298,0.326158940397351,0.326158940397351,0.0,0.48919389257741436,137,253,369,0.0904887714663144,0.16710700132100395,0.24372523117569353,0.38888888888888884,0.9917889294095209
observational-memory-gpt54mini-xhigh,206,0.9563106796116505,0.043689320388349516,0.0,0.0,0.19667143047241414,145,154,154,0.09577278731836196,0.10171730515191546,0.10171730515191546,0.2777777777777778,0.9336700497561488
observational-memory-gpt55-low,554,0.45306859205776173,0.3844765342960289,0.1624548736462094,0.0,0.40674436023033606,143,267,318,0.09445178335535007,0.1763540290620872,0.21003963011889035,0.3333333333333333,0.9919011204728209
observational-memory-gpt55-off,527,0.3908918406072106,0.3700189753320683,0.23908918406072105,0.0,0.43500114685806857,121,209,284,0.07992073976221929,0.1380449141347424,0.18758256274768825,0.3888888888888889,0.985957141924747
observational-memory-gpt55-xhigh,538,0.8327137546468402,0.11524163568773234,0.05204460966542751,0.0,0.24982628234863205,283,310,323,0.18692206076618229,0.2047556142668428,0.21334214002642007,0.3055555555555555,0.9308597384435456
