config,topics_total,topics_covered,topic_recall,gold_topics_total,gold_topics_covered,gold_topic_recall,mean_task_topic_recall,observations,observations_per_topic_covered,robust_partial,solve_rate,quality_cells
observational-memory-glm52-high,1514,366,0.24174372523117568,541,218,0.4029574861367837,0.24744191117427028,670,1.830601092896175,0.9910123708116158,0.3333333333333333,36.0
observational-memory-glm52-max,1514,536,0.35402906208718626,541,268,0.4953789279112754,0.3689089222777436,1533,2.860074626865672,0.9841835762494587,0.3062169312169312,82.0
observational-memory-glm52-off,1514,388,0.2562747688243065,541,388,0.7171903881700554,0.26696468101327603,738,1.902061855670103,0.9931023918445466,0.4166666666666667,36.0
observational-memory-gpt54-low,1514,256,0.1690885072655218,541,160,0.2957486136783734,0.18423160242035394,446,1.7421875,0.9832028125235039,0.3333333333333333,36.0
observational-memory-gpt54-off,1514,272,0.17965653896961692,541,155,0.28650646950092423,0.18026863412457336,503,1.849264705882353,0.9361634949615145,0.3055555555555556,36.0
observational-memory-gpt54-xhigh,1514,173,0.1142668428005284,541,136,0.2513863216266174,0.1153307041264473,331,1.9132947976878614,0.9339937773411164,0.2222222222222222,36.0
observational-memory-gpt54mini-low,1514,293,0.19352708058124174,541,293,0.5415896487985212,0.20725581093820744,462,1.57679180887372,0.996136224062402,0.4444444444444444,36.0
observational-memory-gpt54mini-off,1514,369,0.24372523117569353,541,187,0.3456561922365989,0.2507948249831516,604,1.6368563685636857,0.9917889294095209,0.38888888888888884,36.0
observational-memory-gpt54mini-xhigh,1514,154,0.10171730515191546,541,99,0.18299445471349354,0.09315739452627277,206,1.3376623376623376,0.9336700497561488,0.2777777777777778,36.0
observational-memory-gpt55-low,1514,318,0.21003963011889035,541,200,0.36968576709796674,0.2127286943772988,554,1.7421383647798743,0.9919011204728209,0.3333333333333333,36.0
observational-memory-gpt55-off,1514,284,0.18758256274768825,541,192,0.35489833641404805,0.19056461545196188,527,1.8556338028169015,0.985957141924747,0.3888888888888889,36.0
observational-memory-gpt55-xhigh,1514,323,0.21334214002642007,541,174,0.32162661737523107,0.19462996670772695,538,1.6656346749226005,0.9308597384435456,0.3055555555555555,36.0
