topic_id,task,primary_type,type_flags,present_cells,absent_cells,present_partial_mean,absent_partial_mean,partial_delta_present_minus_absent,present_solve_rate,absent_solve_rate,solve_delta_present_minus_absent,representative_text
actionlint-action-pinning-lint-topic-000,actionlint-action-pinning-lint,test_failure,code_structure;implementation_state;task_requirement;test_failure,39,3,0.9975641025641026,1.0,-0.0024358974358974494,0.9230769230769231,1.0,-0.07692307692307687,User requested a new lint rule with error kind `action-pinning` to enforce pinned versions for step-level action `uses:` references and job-level reusable workflow `uses:` references.
actionlint-action-pinning-lint-topic-001,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;task_requirement,25,17,0.9998,0.9947058823529412,0.0050941176470588045,0.96,0.8823529411764706,0.0776470588235294,"Spec: `action-pinning` config has a `level` field accepting `major-minor` (requires vMAJOR.MINOR), `semver` (requires vMAJOR.MINOR.PATCH including prerelease, this is the default), or `commit-sha` (requires full 40-character lowercase hex SHA). Levels are ordered by increasing strictness so a ref satisfying a stricter level satisfies any less strict requirement."
actionlint-action-pinning-lint-topic-002,actionlint-action-pinning-lint,test_failure,code_structure;implementation_state;task_requirement;test_failure,29,13,0.9968965517241379,0.9996153846153846,-0.0027188328912466364,0.9310344827586207,0.9230769230769231,0.007957559681697535,"action-pinning skip rules: skip local refs (`./`) and Docker refs (`docker://`). When the action name itself is an expression, skip it entirely. When only the version ref is a dynamic expression, flag it with an error indicating the ref is a dynamic expression that cannot be verified for pinning."
actionlint-action-pinning-lint-topic-003,actionlint-action-pinning-lint,task_requirement,implementation_state;other;task_requirement,30,12,0.997,0.9995833333333333,-0.002583333333333271,0.9333333333333333,0.9166666666666666,0.01666666666666672,"User specified action-pinning allow and deny config: `allowed-owners` is case-insensitive, `allowed-actions` uses `owner/repo` format, `denied-owners` and `denied-actions` are supported, global and per-path lists merge by union, and denials take precedence over allowances so denied entries remain subject to pinning checks rather than being unconditionally blocked."
actionlint-action-pinning-lint-topic-004,actionlint-action-pinning-lint,test_failure,implementation_state;task_requirement;test_failure,17,25,0.9997058823529412,0.9964,0.0033058823529412695,0.9411764705882353,0.92,0.02117647058823524,"For popular actions in known-actions data, error suggestions should reference the specific known version. Per-path overrides use the 'action-pinning' key to override pinning level; a per-path entry enables the rule even without a global section."
actionlint-action-pinning-lint-topic-005,actionlint-action-pinning-lint,task_requirement,code_structure;implementation_state;other;self_reported_completion;task_requirement;test_failure,26,16,0.9965384615384616,0.9996875000000001,-0.003149038461538467,0.9230769230769231,0.9375,-0.014423076923076872,User specified an `-action-pinning-level` CLI flag overrides only the pinning level (not allow/deny lists) and enables the rule even when it would otherwise be disabled.
actionlint-action-pinning-lint-topic-006,actionlint-action-pinning-lint,implementation_state,implementation_state;task_requirement,19,23,1.0,0.9958695652173913,0.004130434782608661,1.0,0.8695652173913043,0.13043478260869568,User instructed the work to be done on a new branch from `main` and to commit everything when finished.
actionlint-action-pinning-lint-topic-007,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state,4,38,0.99875,0.9976315789473683,0.0011184210526317129,0.75,0.9473684210526315,-0.19736842105263153,"Created new git branch 'action-pinning' from main. The working directory is the actionlint Go project root containing files like rule_action.go, config.go, linter.go, command.go, ast.go, pass.go."
actionlint-action-pinning-lint-topic-008,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,"Key codebase exploration findings: Config struct is in config.go with PathConfig for per-path overrides and PathConfigs() method for matching. RuleAction (rule_action.go:307) implements VisitStep and handles `uses:` parsing for actions (local `./`, docker://, and repo actions). RuleWorkflowCall (rule_workflow_call.go:18) handles job-level reusable workflow calls via VisitJobPre. WorkflowCall struct (ast.go:848) has a `Uses *String` field for reusable workflow references."
actionlint-action-pinning-lint-topic-009,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;task_requirement;test_failure,10,32,0.999,0.99734375,0.0016562500000000258,0.8,0.96875,-0.16874999999999996,"Codebase exploration: rules are registered in linter.go around line 558-572 as a []Rule slice (e.g. NewRuleMatrix, NewRuleAction, NewRuleWorkflowCall, NewRuleExpression). Each rule embeds RuleBase and implements Pass visitor callbacks (VisitStep, VisitJobPre, VisitJobPost, etc.). RuleBase provides Error/Errorf and SetConfig/Config methods."
actionlint-action-pinning-lint-topic-010,actionlint-action-pinning-lint,code_structure,code_structure;implementation_state;self_reported_completion;task_requirement;test_failure,9,33,1.0,0.9971212121212122,0.002878787878787814,1.0,0.9090909090909091,0.09090909090909094,"Codebase detail: popular_actions.go (generated, DO NOT EDIT) defines PopularActions map[string]*ActionMetadata keyed by spec owner/repo@ref (e.g. ""actions/checkout@v4""), used for known-version suggestions and action metadata."
actionlint-action-pinning-lint-topic-011,actionlint-action-pinning-lint,other,other,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,"Task details: When action name itself is an expression, skip entirely. When only the version ref is a dynamic expression, flag it as a dynamic expression that cannot be verified for pinning. Config supports `allowed-owners` (case-insensitive), `allowed-actions` (`owner/repo`), `denied-owners`, `denied-actions`. Global and per-path allowed/denied lists merge by union; denials take precedence over allowances but denied entries are still subject to pinning checks."
actionlint-action-pinning-lint-topic-012,actionlint-action-pinning-lint,implementation_state,implementation_state;self_reported_completion;task_requirement,33,9,0.9972727272727272,0.9994444444444446,-0.00217171717171738,0.9393939393939394,0.8888888888888888,0.05050505050505061,completed: assistant created and switched to branch `action-pinning` from `main` to begin the requested work.
actionlint-action-pinning-lint-topic-013,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;test_failure,8,34,0.989375,0.9997058823529412,-0.010330882352941217,0.875,0.9411764705882353,-0.06617647058823528,"Codebase exploration: The project is actionlint, a Go linter for GitHub Actions workflows. Config struct is in config.go with PathConfig for per-path overrides (currently only has `Ignore`). ParseConfig validates glob patterns in `paths`. Rules embed RuleBase (rule.go) which provides VisitStep/VisitJobPre/VisitJobPost callbacks, Error/Errorf, SetConfig/Config. RuleAction (rule_action.go) parses `uses:` specs into owner/repo/ref and checks against PopularActions. ExecAction struct (ast.go:454) has `Uses *String`. Job struct (ast.go:876) has `WorkflowCall *WorkflowCall`. Rules are registered in linter.go:558-585."
actionlint-action-pinning-lint-topic-014,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;self_reported_completion;task_requirement,12,30,0.9991666666666666,0.9971666666666666,0.0020000000000000018,0.8333333333333334,0.9666666666666667,-0.1333333333333333,"rule_action.go: RuleAction (name ""action"") has VisitStep that handles uses: refs. It skips if Uses.ContainsExpression(), routes ./ to checkLocalAction, docker:// to checkDockerAction, and everything else to checkRepoAction. checkRepoAction parses {owner}/{repo}@{ref} or {owner}/{repo}/{path}@{ref} and looks up PopularActions[spec]. This VisitStep is where step-level action pinning checks should hook in."
actionlint-action-pinning-lint-topic-015,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;self_reported_completion;test_failure,25,17,0.9964,0.9997058823529412,-0.0033058823529412695,0.92,0.9411764705882353,-0.02117647058823524,"Began implementation by creating rule_action_pinning.go with an initial RuleActionPinning that defines the three pinning levels and regexes, visits step actions and job reusable workflow uses, skips local and Docker refs plus expression-based action names, errors on dynamic ref expressions, applies allow and deny owner and action bypass logic, checks stricter-level satisfaction, and suggests a known pinned version from PopularActions when available."
actionlint-action-pinning-lint-topic-016,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;other;self_reported_completion;task_requirement,22,20,0.9997727272727274,0.9955,0.004272727272727317,0.9545454545454546,0.9,0.054545454545454564,"completed: Modified config.go to add ActionPinningConfig struct (Level, AllowedOwners, AllowedActions, DeniedOwners, DeniedActions fields with yaml tags), added ActionPinning field to both Config and PathConfig structs, added validateActionPinningConfig function (checks valid level, owners without slashes, owner/repo format for actions), and wired validation into ParseConfig for both global and per-path configs."
actionlint-action-pinning-lint-topic-017,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;other;self_reported_completion;task_requirement;test_failure,20,22,0.9955,0.9997727272727274,-0.004272727272727317,0.9,0.9545454545454546,-0.054545454545454564,"completed: Modified linter.go to add ActionPinningLevel string field to LinterOptions and actionPinningLevel to Linter struct, validate the level in NewLinter, and register NewRuleActionPinning(path, l.actionPinningLevel) in the rules list right after NewRuleAction."
actionlint-action-pinning-lint-topic-018,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;task_requirement;test_failure,16,26,0.994375,0.9998076923076924,-0.005432692307692388,0.875,0.9615384615384616,-0.08653846153846156,"completed: Modified command.go to add -action-pinning-level CLI flag (StringVar, default empty) with help text 'Override action-pinning level (major-minor, semver, commit-sha) and enable the rule'."
actionlint-action-pinning-lint-topic-019,actionlint-action-pinning-lint,test_failure,code_structure;implementation_state;task_requirement;test_failure,22,20,0.995909090909091,0.99975,-0.0038409090909090615,0.9090909090909091,0.95,-0.040909090909090895,"BLOCKER: go test ./... fails on TestLinterFormatErrorMessageInSARIF because the new action-pinning rule now appears in the SARIF rules list output (id ""action-pinning"", name ""ActionPinning""). The SARIF test fixture or expected output needs updating to account for the additional rule entry."
actionlint-action-pinning-lint-topic-020,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,Codebase detail: WorkflowCall struct (ast.go:848) has Uses *String field for reusable workflow references. Linter struct uses positional struct literal in NewLinter (linter.go:170-183). Rules are instantiated in lintRules at linter.go:558-585 and config is applied via r.SetConfig(cfg) at linter.go:610.
actionlint-action-pinning-lint-topic-021,actionlint-action-pinning-lint,task_requirement,implementation_state;other;task_requirement,18,24,0.9997222222222223,0.99625,0.003472222222222321,0.9444444444444444,0.9166666666666666,0.02777777777777779,"User specified `action-pinning: null` keeps the rule disabled, `action-pinning: {}` enables defaults, and per-path entries using `action-pinning` enable the rule even without a global section."
actionlint-action-pinning-lint-topic-022,actionlint-action-pinning-lint,test_failure,implementation_state;task_requirement;test_failure,23,19,0.9997826086956522,0.9952631578947368,0.0045194508009153145,0.9565217391304348,0.8947368421052632,0.06178489702517165,"User required config validation to reject invalid action-pinning levels, owner entries containing slashes, and malformed owner/repo entries in both allowed and denied lists; error messages should distinguish reusable workflows from step actions."
actionlint-action-pinning-lint-topic-023,actionlint-action-pinning-lint,other,other,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,"The existing RuleAction.VisitStep already handles the `./` (local action) and `docker://` (docker action) prefixes separately from repo actions, and skips specs that contain expressions entirely. This existing logic is relevant context for the action-pinning rule."
actionlint-action-pinning-lint-topic-024,actionlint-action-pinning-lint,test_failure,code_structure;implementation_state;task_requirement;test_failure,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,The golden SARIF file at testdata/format/test.sarif needs to be updated to include the new action-pinning rule entry (after 'action' and before 'credentials' in the rules array). Assistant was reading the file to prepare the update.
actionlint-action-pinning-lint-topic-025,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;task_requirement,1,41,1.0,0.9976829268292683,0.0023170731707317094,1.0,0.926829268292683,0.07317073170731703,Codebase exploration: Config struct is in config.go with PathConfig for per-path overrides via a `paths` map (glob patterns). ParseConfig validates glob patterns. There is no existing `action-pinning` config section; it will need to be added to Config and PathConfig.
actionlint-action-pinning-lint-topic-026,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;self_reported_completion;task_requirement,5,37,1.0,0.9974324324324325,0.002567567567567486,1.0,0.918918918918919,0.08108108108108103,"Codebase exploration: CLI flags are defined in command.go via flag.NewFlagSet (around line 134-148); LinterOptions struct holds options. Known flag names include -ignore, -shellcheck, -pyflakes, -oneline, -format, -config-file, -init-config, -no-color, -color, -verbose, -debug, -version, -stdin-filename. A new -action-pinning-level flag is needed."
actionlint-action-pinning-lint-topic-027,actionlint-action-pinning-lint,implementation_state,code_structure;implementation_state;self_reported_completion,8,34,0.999375,0.9973529411764704,0.002022058823529571,0.875,0.9411764705882353,-0.06617647058823528,Codebase exploration: ExecAction.Uses (*String) in ast.go (~line 456) holds the step action `uses:` ref; WorkflowCall.Uses (*String) in ast.go (~line 849) holds the job-level reusable workflow `uses:` ref. rule_action.go parses the spec into owner/repo/ref (around line 320-380) and already handles ContainsExpression checks on Uses.
