direction,source_config,target_config,task,rep,observation_id,doc_id,nearest_similarity,is_unique_lt_threshold,is_environment_tooling_note,primary_type,type_flags,relevance,token_count,content,nearest_doc_id,nearest_rep,nearest_primary_type,nearest_content
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,5e0d0c3c535e,a7d670107929a57cf3bfba7c88b682a6,0.930757462978363,False,False,test_failure,task_requirement;implementation_state;test_failure,critical,56,User requested a new lint rule with error kind `action-pinning` in the actionlint Go project. The rule checks both step-level action `uses:` references and job-level reusable workflow `uses:` references for version pinning.,6f1058b12f231abaee8511488541a742,1,implementation_state,User requested a new lint rule named action-pinning to enforce pinned versions for step-level actions and job-level reusable workflow uses references.
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,35b380580291,250241666d9438b483cf4ef86ba28af9,0.889851450920105,False,False,implementation_state,task_requirement;code_structure;implementation_state,critical,93,"User specified the `action-pinning` config section has a `level` field accepting `major-minor` (requires vMAJOR.MINOR), `semver` (requires vMAJOR.MINOR.PATCH including prerelease, this is the default), or `commit-sha` (requires full 40-char lowercase hex SHA). Levels are ordered by increasing strictness so a ref satisfying a stricter level satisfies any less strict one.",e9ff062953d340ee7074d8cc0857a2d7,1,implementation_state,"User specified action-pinning config support with level values major-minor, semver, and commit-sha, defaulting to semver, with null disabling the rule and an empty object enabling defaults."
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,925724270df3,6d2264962d463c60b2cc9d254eed6850,0.904935359954834,False,False,task_requirement,task_requirement,high,59,User specified: `action-pinning: null` keeps the rule disabled; empty object `action-pinning: {}` enables it with defaults. A per-path `action-pinning` key overrides the pinning level and enables the rule even without a global section.,5a6b161c562f2192148984a4647e7c29,0,task_requirement,"User requested that action-pinning null disable the rule, an empty action-pinning object enable it with defaults, and a per-path action-pinning entry enable the rule even without a global section."
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,7a1b562d2287,73125cf08fe5787a6d7d2b2c79be6fd2,0.9379317760467529,False,False,test_failure,task_requirement;test_failure,high,72,"User specified the rule skips local refs (`./`) and Docker refs (`docker://`). When the action name is a dynamic expression, skip entirely. When only the version ref is a dynamic expression, flag it with an error that the ref is a dynamic expression that cannot be verified for pinning.",91f65405154bf58b8b24125f68a460de,1,test_failure,"User requested that local refs starting with ./ and Docker refs starting with docker:// be skipped, and that dynamic expressions in the action name be skipped while dynamic version refs should raise an unverifiable pinning error."
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,f94da2b70a59,81b829bd3952b145350aa1f3267f415d,0.8233179450035095,False,False,task_requirement,task_requirement,high,84,"User specified config supports `allowed-owners` (case-insensitive), `allowed-actions` (`owner/repo` format), `denied-owners`, and `denied-actions`. Global and per-path allowed/denied lists merge by union; denials take precedence over allowances so denied entries are still subject to pinning checks rather than unconditionally blocked.",4c2b9975b8e5fcf8bb45a8f48f8d63fb,2,task_requirement,"User specified action-pinning allow/deny configuration with allowed-owners, allowed-actions, denied-owners, and denied-actions, with case-insensitive owner matching and owner/repo validation."
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,8873facf6957,d68bcc08a207bf3121598f26e8d1a633,0.8706116080284119,False,False,test_failure,task_requirement;test_failure,medium,38,"User specified that for popular actions in the known-actions data (PopularActions map), error suggestions should reference the specific known version.",a3e372d126fb75033cc38d882017dba8,1,test_failure,User requested error suggestions for popular actions to reference the specific known version from known-actions data.
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,6bbc2aac1f09,1c60d642beba6449b19adc2489a4b4ed,0.9500249624252319,False,False,task_requirement,task_requirement,high,41,User specified an `-action-pinning-level` CLI flag that overrides only the pinning level (not allow/deny lists) and enables the rule even when otherwise disabled.,a226d16a15ff87bf95163c19037e7473,1,task_requirement,User requested the -action-pinning-level CLI flag to override only the pinning level and enable the rule even when otherwise disabled.
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,a411d876d3d5,42fa5c04e5210ef33946db688a3c6ac0,0.9676538705825806,False,False,test_failure,task_requirement;test_failure,high,55,"User specified config validation must reject invalid levels, owners with slashes, and malformed `owner/repo` entries in both allowed and denied lists. Error messages must distinguish reusable workflows from step actions.",56b6068949330eb896d18e6e143a8591,0,test_failure,"User requested config validation for invalid levels, owners containing slashes, and malformed owner/repo entries in both allowed and denied lists, plus distinct error messages for reusable workflows versus step actions."
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,14a3831dc785,fce814a57e80e2fe3d0dc74472adc52a,0.9552419185638428,False,False,implementation_state,implementation_state,critical,21,User instructed to work on a new branch from main and commit everything when done.,e4d7a1cd30a2c85059f16b2747fd3095,0,implementation_state,User asked to work on the task in a new branch from main and to commit everything when finished.
observational-memory-glm52-off -> observational-memory-gpt54mini-low,observational-memory-glm52-off,observational-memory-gpt54mini-low,actionlint-action-pinning-lint,0,ba9977ed7b2c,b21f481b4b0daba235bf76bd7d4d8549,0.9208728075027466,False,False,self_reported_completion,implementation_state;self_reported_completion,medium,21,Assistant created and switched to a new git branch named `action-pinning` from main.,748135b8b31c486bbbe1f90bf34ca392,1,implementation_state,User requested working in a new branch from main and committing everything when finished; a new branch named action-pinning was created from main.
