config,task,rep_a,rep_b,obs_a,obs_b,semantic_precision_a_to_b,semantic_recall_b_to_a,semantic_f1,centroid_distance,close_counterpart_rate_a_to_b_085,close_counterpart_rate_b_to_a_085,close_counterpart_f1_085
observational-memory-glm52-high,actionlint-action-pinning-lint,0,1,11,13,0.819460928440094,0.7834520936012268,0.8010520485923742,0.028740525245666504,0.2727272727272727,0.23076923076923078,0.24999999999999994
observational-memory-glm52-high,actionlint-action-pinning-lint,0,2,11,17,0.8442593216896057,0.8050063848495483,0.8241657384061379,0.02537447214126587,0.5454545454545454,0.35294117647058826,0.42857142857142855
observational-memory-glm52-high,actionlint-action-pinning-lint,1,2,13,17,0.9016258716583252,0.8628493547439575,0.8818115323354224,0.016159772872924805,0.7692307692307693,0.5882352941176471,0.6666666666666667
observational-memory-glm52-high,anko-default-function-arguments,0,1,10,6,0.7317153215408325,0.8060725331306458,0.767096216780731,0.07143515348434448,0.3,0.5,0.37499999999999994
observational-memory-glm52-high,anko-default-function-arguments,0,2,10,8,0.7648788094520569,0.7495062947273254,0.7571145289341841,0.049442410469055176,0.2,0.25,0.22222222222222224
observational-memory-glm52-high,anko-default-function-arguments,1,2,6,8,0.8444953560829163,0.7876110672950745,0.8150619092026656,0.04420483112335205,0.5,0.375,0.42857142857142855
observational-memory-glm52-high,awilix-async-container-initialization,0,1,12,12,0.8594748377799988,0.8784767985343933,0.86887193882449,0.02611720561981201,0.5833333333333334,0.5833333333333334,0.5833333333333334
observational-memory-glm52-high,awilix-async-container-initialization,0,2,12,13,0.8411390781402588,0.8238785266876221,0.8324193359015188,0.03387033939361572,0.5833333333333334,0.5384615384615384,0.5599999999999999
observational-memory-glm52-high,awilix-async-container-initialization,1,2,12,13,0.8660820126533508,0.848422646522522,0.8571613840164346,0.027273476123809814,0.6666666666666666,0.6153846153846154,0.64
observational-memory-glm52-high,boa-hierarchical-evaluation-cancellation,0,1,34,27,0.7907650470733643,0.8004410862922668,0.7955736469448562,0.022231698036193848,0.35294117647058826,0.4074074074074074,0.3782234957020057
observational-memory-glm52-high,boa-hierarchical-evaluation-cancellation,0,2,34,34,0.823484480381012,0.842516303062439,0.832891685207846,0.018741369247436523,0.5294117647058824,0.5588235294117647,0.5437201907790143
observational-memory-glm52-high,boa-hierarchical-evaluation-cancellation,1,2,27,34,0.8305568099021912,0.825248658657074,0.8278942258919698,0.020450711250305176,0.5555555555555556,0.5294117647058824,0.5421686746987951
