rank_by_self_consistency,config,rep_pairs,tasks_with_pairs,mean_rep_pair_semantic_f1,median_rep_pair_semantic_f1,mean_task_rep_pair_f1,mean_centroid_distance,mean_close_counterpart_f1_085,mean_obs_count_per_side,solve_rate,robust_partial,quality_cells
1,observational-memory-gpt54-xhigh,29,11,0.839686777994011,0.8382042481562347,0.8363424534557878,0.04240900689157946,0.6029146368706502,10.879310344827585,0.2222222222222222,0.9339937773411163,36.0
2,observational-memory-glm52-max,235,12,0.832408822503227,0.8343270034564804,0.8397338163566231,0.028643473412128206,0.5065946120929522,19.251063829787235,0.3062169312169312,0.9841835762494587,82.0
3,observational-memory-glm52-off,34,12,0.8319602714411102,0.8407687213058239,0.8310043595353512,0.03078121823423049,0.4943407437533429,21.426470588235293,0.4166666666666667,0.9931023918445469,36.0
4,observational-memory-gpt55-low,31,11,0.8310422346083787,0.8225071329474395,0.8319875373643761,0.03655477685313071,0.5033986616544149,17.016129032258064,0.3333333333333333,0.991901120472821,36.0
5,observational-memory-glm52-high,36,12,0.8302933142273354,0.8314672448199619,0.8302933142273353,0.03192956580056085,0.5006624634660386,18.61111111111111,0.3333333333333333,0.9910123708116158,36.0
6,observational-memory-gpt54-off,36,12,0.8263149445149427,0.8267991704152531,0.8263149445149428,0.044984196623166404,0.5225706929468914,13.972222222222221,0.3055555555555555,0.9361634949615144,36.0
7,observational-memory-gpt54-low,36,12,0.822771582155385,0.8297370584253831,0.822771582155385,0.051186357935269676,0.48750003009128196,12.38888888888889,0.3333333333333333,0.9832028125235038,36.0
8,observational-memory-gpt55-xhigh,14,6,0.8224289777730436,0.8125385521416593,0.8180427032611681,0.04464782135827201,0.407555204100793,18.464285714285715,0.3611111111111111,0.9904586163865575,29.0
9,observational-memory-gpt55-off,34,12,0.8195616465732753,0.8223005202591251,0.816650354789011,0.05294530006016002,0.4731295094365876,15.323529411764707,0.38888888888888884,0.9859571419247469,36.0
10,observational-memory-gpt54mini-xhigh,12,4,0.8194922268967179,0.8318166530998106,0.8194922268967179,0.04152696828047434,0.4653681701792422,11.666666666666666,0.2777777777777778,0.9336700497561488,36.0
11,observational-memory-gpt54mini-low,36,12,0.799905445054987,0.7996655508869056,0.7999054450549871,0.05131434897581736,0.3835890338555354,12.833333333333334,0.4444444444444445,0.996136224062402,36.0
12,observational-memory-gpt54mini-off,36,12,0.7942285552788806,0.7902799664022849,0.7942285552788805,0.04767118559943305,0.37018006407892906,16.77777777777778,0.3888888888888889,0.9917889294095209,36.0
