task,config,best_config,obs_count,best_obs_count,obs_count_ratio,obs_tokens,best_obs_tokens,centroid_similarity,centroid_distance,semantic_precision_vs_best,semantic_recall_vs_best,semantic_f1_vs_best,has_observations
actionlint-action-pinning-lint,observational-memory-glm52-high,observational-memory-gpt54mini-low,41,38,1.0789473684210527,3226,1589,0.9704483151435852,0.029551684856414795,0.8299720287322998,0.8386849164962769,0.834305725454243,True
anko-default-function-arguments,observational-memory-glm52-high,observational-memory-gpt54mini-low,24,26,0.9230769230769231,1543,1079,0.9191991686820984,0.08080083131790161,0.7367884516716003,0.7651501893997192,0.7507015372371407,True
awilix-async-container-initialization,observational-memory-glm52-high,observational-memory-gpt54mini-low,37,22,1.6818181818181819,2207,1041,0.958629846572876,0.04137015342712402,0.8294278383255005,0.8530956506729126,0.841095278668276,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-high,observational-memory-gpt54mini-low,95,48,1.9791666666666667,7076,1998,0.9755248427391052,0.024475157260894775,0.7788134217262268,0.8317226767539978,0.804398963079847,True
cattrs-partial-structuring-recovery,observational-memory-glm52-high,observational-memory-gpt54mini-low,48,40,1.2,2959,1753,0.9714756608009338,0.028524339199066162,0.8285720944404602,0.8331636190414429,0.8308615133441074,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-high,observational-memory-gpt54mini-low,113,55,2.0545454545454547,6819,2130,0.9654078483581543,0.0345921516418457,0.7973074913024902,0.8163167834281921,0.8067001679333058,True
fastapi-implicit-head-options,observational-memory-glm52-high,observational-memory-gpt54mini-low,84,52,1.6153846153846154,5005,2302,0.9856162071228027,0.014383792877197266,0.860389232635498,0.8845668435096741,0.872310539051959,True
httpx-streaming-json-iteration,observational-memory-glm52-high,observational-memory-gpt54mini-low,27,31,0.8709677419354839,2160,1309,0.9807204008102417,0.0192795991897583,0.846646785736084,0.8467307090759277,0.8466887453263966,True
kgateway-consistent-hash-policy,observational-memory-glm52-high,observational-memory-gpt54mini-low,48,25,1.92,4938,1188,0.9707992672920227,0.029200732707977295,0.8088572025299072,0.8633033037185669,0.8351938615596808,True
mashumaro-flattened-dataclass-fields,observational-memory-glm52-high,observational-memory-gpt54mini-low,53,44,1.2045454545454546,2963,1746,0.9735968112945557,0.026403188705444336,0.8089080452919006,0.8347259759902954,0.8216142387536474,True
ts-pattern-match-each,observational-memory-glm52-high,observational-memory-gpt54mini-low,39,30,1.3,2935,1118,0.9529510736465454,0.04704892635345459,0.8217500448226929,0.8019840717315674,0.8117467511134585,True
yjs-map-conflict-detection,observational-memory-glm52-high,observational-memory-gpt54mini-low,61,51,1.196078431372549,3670,2042,0.9840233325958252,0.015976667404174805,0.8371595740318298,0.8298693895339966,0.8334985412110413,True
actionlint-action-pinning-lint,observational-memory-glm52-max,observational-memory-gpt54mini-low,180,38,4.7368421052631575,12326,1589,0.9755493402481079,0.02445065975189209,0.7999801635742188,0.876836895942688,0.8366471696634945,True
anko-default-function-arguments,observational-memory-glm52-max,observational-memory-gpt54mini-low,116,26,4.461538461538462,7591,1079,0.9422810077667236,0.05771899223327637,0.7636309862136841,0.8191630244255066,0.7904228396204486,True
awilix-async-container-initialization,observational-memory-glm52-max,observational-memory-gpt54mini-low,76,22,3.4545454545454546,5300,1041,0.9574704170227051,0.04252958297729492,0.8238524198532104,0.8726887106895447,0.8475676694618642,True
boa-hierarchical-evaluation-cancellation,observational-memory-glm52-max,observational-memory-gpt54mini-low,192,48,4.0,13539,1998,0.9726232290267944,0.027376770973205566,0.792954683303833,0.8377484679222107,0.8147363553815135,True
cattrs-partial-structuring-recovery,observational-memory-glm52-max,observational-memory-gpt54mini-low,81,40,2.025,6031,1753,0.9779222011566162,0.02207779884338379,0.8431687355041504,0.8568770289421082,0.8499676139142075,True
dynamodb-toolbox-lazy-recursive-schemas,observational-memory-glm52-max,observational-memory-gpt54mini-low,200,55,3.6363636363636362,12781,2130,0.9656423330307007,0.034357666969299316,0.7921862602233887,0.8252127766609192,0.8083623255901972,True
fastapi-implicit-head-options,observational-memory-glm52-max,observational-memory-gpt54mini-low,159,52,3.0576923076923075,10368,2302,0.9907522201538086,0.009247779846191406,0.8527281284332275,0.8974097967147827,0.874498592818646,True
httpx-streaming-json-iteration,observational-memory-glm52-max,observational-memory-gpt54mini-low,102,31,3.2903225806451615,7326,1309,0.9710347056388855,0.028965294361114502,0.8336038589477539,0.8783994317054749,0.8554155940761151,True
kgateway-consistent-hash-policy,observational-memory-glm52-max,observational-memory-gpt54mini-low,167,25,6.68,14706,1188,0.9773681163787842,0.02263188362121582,0.794170618057251,0.8926771283149719,0.8405476407033569,True
