case_id,task,candidate,model,thinking,error,silver_count,observation_count,tool_calls,invalid_source_ids,malformed,duplicates,silver_recall_f1_mean,silver_recall_ge_035,candidate_precision_f1_mean,prompt_tokens,completion_tokens,estimated_cost_usd,wall_s
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,10,6,1,0,0,0,0.3215,0.4,0.3943,40247,928,0.003789,14.19
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,16,10,2,0,0,0,0.3964,0.375,0.486,104949,2235,0.009848,29.81
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,7,4,1,0,0,0,0.459,0.5714,0.6119,80979,1773,0.007607,21.62
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,9,8,1,0,0,0,0.3753,0.4444,0.4093,34070,1818,0.003394,22.75
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,6,6,1,0,0,0,0.5204,0.8333,0.5538,27089,1419,0.002693,16.52
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,5,7,2,0,0,0,0.5782,1.0,0.4555,53792,1719,0.005151,33.13
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,3,8,1,0,0,0,0.5029,1.0,0.3727,37815,1559,0.003684,25.73
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,8,10,1,0,0,0,0.5464,0.75,0.4943,32054,2502,0.003335,33.1
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,11,9,1,0,0,0,0.5894,0.6364,0.6373,31259,1748,0.003128,21.04
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,10,10,2,0,0,0,0.5947,1.0,0.5897,52019,1694,0.004987,27.7
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,9,7,1,0,0,0,0.3678,0.4444,0.3624,76270,1825,0.007193,18.85
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,deepseek-v4-flash-off,deepseek/deepseek-v4-flash,off,,7,8,1,0,0,0,0.4157,0.5714,0.4436,29562,1392,0.002911,27.58
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,10,8,1,0,0,0,0.5019,0.6,0.5736,40519,1908,0.00399,26.91
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,16,13,1,0,0,0,0.5203,0.75,0.5807,69640,1463,0.006531,21.03
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,7,8,1,0,0,0,0.5283,0.8571,0.5186,81259,1557,0.007594,21.08
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,9,6,1,0,0,0,0.4532,0.5556,0.5808,33851,1049,0.003235,23.03
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,6,12,1,0,0,0,0.4857,0.8333,0.3599,27618,1452,0.002747,41.84
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,5,3,2,0,0,0,0.3809,0.4,0.4707,53089,744,0.004912,17.66
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,3,9,1,0,0,0,0.4287,1.0,0.2967,38053,1553,0.003704,24.35
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,8,12,1,0,0,0,0.5653,0.875,0.5065,32161,1132,0.003098,15.59
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,11,12,1,0,0,0,0.5771,0.8182,0.5133,31352,1656,0.00312,23.95
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,10,9,1,0,0,0,0.4221,0.7,0.4138,34394,2838,0.003606,30.71
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,9,5,1,0,0,0,0.3543,0.4444,0.4456,75887,1276,0.00706,19.65
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,deepseek-v4-flash-low,deepseek/deepseek-v4-flash,low,,7,3,1,0,0,0,0.3975,0.4286,0.7219,29261,1054,0.002823,20.77
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,10,5,1,0,0,0,0.2589,0.2,0.3684,35986,438,0.028961,17.03
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,16,7,1,0,0,0,0.3154,0.375,0.533,64644,502,0.050742,4.03
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,7,5,1,0,0,0,0.332,0.4286,0.4421,77167,367,0.059527,3.86
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,9,6,1,0,0,0,0.3263,0.2222,0.4122,31889,440,0.025897,3.77
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,6,8,1,0,0,0,0.3118,0.3333,0.3376,24947,675,0.021748,5.98
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,5,4,1,0,0,0,0.316,0.4,0.4559,31331,362,0.025127,4.08
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,3,3,1,0,0,0,0.3672,0.6667,0.4445,34542,339,0.027432,4.76
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,8,10,1,0,0,0,0.4309,0.625,0.3913,30147,780,0.02612,5.8
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,11,10,1,0,0,0,0.4285,0.7273,0.4125,29700,957,0.026582,6.77
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,10,7,1,0,0,0,0.3261,0.4,0.4107,30144,582,0.025227,8.23
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,9,6,1,0,0,0,0.2823,0.3333,0.3429,69078,512,0.054113,6.68
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,gpt-5.4-mini-low,openai/gpt-5.4-mini,low,,7,8,1,0,0,0,0.2812,0.2857,0.3226,27863,573,0.023476,4.64
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,gpt-5.5-low,openai/gpt-5.5,low,,10,10,1,0,0,0,0.3478,0.6,0.3823,36342,768,0.20475,7.71
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,gpt-5.5-low,openai/gpt-5.5,low,,16,16,2,3,0,1,0.498,0.6875,0.5088,99244,1952,0.55478,24.41
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,gpt-5.5-low,openai/gpt-5.5,low,,7,11,1,0,0,0,0.4057,0.5714,0.3864,77633,799,0.412135,9.05
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,gpt-5.5-low,openai/gpt-5.5,low,,9,5,1,0,0,0,0.308,0.5556,0.4181,31893,419,0.172035,7.36
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,gpt-5.5-low,openai/gpt-5.5,low,,6,11,1,0,0,0,0.5456,0.6667,0.4213,25190,842,0.15121,8.74
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,gpt-5.5-low,openai/gpt-5.5,low,,5,6,1,0,0,0,0.4989,0.6,0.5057,31540,520,0.1733,6.0
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,gpt-5.5-low,openai/gpt-5.5,low,,3,10,1,0,0,0,0.4493,1.0,0.2965,34959,715,0.196245,8.14
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,gpt-5.5-low,openai/gpt-5.5,low,,8,13,2,0,0,0,0.5253,0.75,0.3854,45937,1160,0.264485,16.48
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,gpt-5.5-low,openai/gpt-5.5,low,,11,18,1,0,0,0,0.5818,0.7273,0.4359,30313,1543,0.197855,16.68
dynamodb-toolbox-lazy-recursive-schemas__rep0__obs0,dynamodb-toolbox-lazy-recursive-schemas,gpt-5.5-low,openai/gpt-5.5,low,,10,9,2,1,0,0,0.4305,0.7,0.4318,46481,1124,0.266125,18.19
boa-hierarchical-evaluation-cancellation__rep0__obs0,boa-hierarchical-evaluation-cancellation,gpt-5.5-low,openai/gpt-5.5,low,,9,10,1,0,0,0,0.255,0.3333,0.2409,69586,982,0.37739,9.59
yjs-map-conflict-detection__rep0__obs0,yjs-map-conflict-detection,gpt-5.5-low,openai/gpt-5.5,low,,7,12,1,0,0,0,0.4165,0.5714,0.3598,28239,911,0.168525,9.75
kgateway-consistent-hash-policy__rep0__obs0,kgateway-consistent-hash-policy,glm52-xhigh,z-ai/glm-5.2,xhigh,,10,15,1,0,0,0,0.4578,0.6,0.3791,37837,1709,0.041072,44.18
actionlint-action-pinning-lint__rep0__obs0,actionlint-action-pinning-lint,glm52-xhigh,z-ai/glm-5.2,xhigh,,16,14,1,0,0,0,0.4835,0.6875,0.5147,66426,2556,0.070773,48.09
anko-default-function-arguments__rep0__obs0,anko-default-function-arguments,glm52-xhigh,z-ai/glm-5.2,xhigh,,7,10,1,0,0,0,0.4197,0.7143,0.3867,79773,1654,0.080746,39.12
httpx-streaming-json-iteration__rep0__obs0,httpx-streaming-json-iteration,glm52-xhigh,z-ai/glm-5.2,xhigh,,9,9,1,0,0,0,0.4286,0.4444,0.4211,32864,1365,0.035316,29.58
fastapi-implicit-head-options__rep0__obs0,fastapi-implicit-head-options,glm52-xhigh,z-ai/glm-5.2,xhigh,,6,16,1,0,0,0,0.5198,0.8333,0.3337,25827,2356,0.031604,49.81
mashumaro-flattened-dataclass-fields__rep0__obs0,mashumaro-flattened-dataclass-fields,glm52-xhigh,z-ai/glm-5.2,xhigh,,5,8,1,0,0,0,0.3831,0.4,0.26,32239,2256,0.037395,46.28
cattrs-partial-structuring-recovery__rep0__obs0,cattrs-partial-structuring-recovery,glm52-xhigh,z-ai/glm-5.2,xhigh,,3,8,1,0,0,0,0.5081,0.6667,0.3648,35514,1130,0.037128,34.54
awilix-async-container-initialization__rep0__obs0,awilix-async-container-initialization,glm52-xhigh,z-ai/glm-5.2,xhigh,,8,13,1,0,0,0,0.4476,0.75,0.3211,31089,2307,0.036456,68.24
ts-pattern-match-each__rep0__obs0,ts-pattern-match-each,glm52-xhigh,z-ai/glm-5.2,xhigh,,11,14,1,0,0,0,0.6508,0.8182,0.5379,30573,2670,0.037054,294.4
