task,delta_partial,delta_binary,delta_tokens,refl_entries,refl_records,refl_tokens,obs_entries,obs_records,obs_tokens
abs-module-cache-flags,0.26086956521739135,0,6711163,7,6,552,44,8,2235
abs-stepped-slices,-0.24999999999999994,0,-5525069,10,5,515,43,6,1847
actionlint-action-pinning-lint,0.0,0,-3564681,9,4,595,43,5,2041
adaptix-name-mapping-aliases,-0.9985621854780733,0,-19855300,5,3,361,42,6,2156
aiomonitor-task-snapshots-diff,-0.032786885245901565,0,368095,3,2,308,34,4,1933
anko-default-function-arguments,0.9917355371900827,1,4958124,9,5,616,52,8,2460
anko-typed-variable-bindings,0.009708737864077666,0,489525,2,2,128,34,5,1419
arcane-drift-detection-baselines,0.1428571428571429,0,3069593,5,3,320,46,7,2467
arktype-json-schema-refs-dependencies,0.0011737089201877549,0,2397861,15,6,733,62,10,2667
awilix-async-container-initialization,-0.010752688172043001,0,770900,8,4,454,42,7,2023
bandit-incremental-cache-control,-0.02203856749311295,0,805809,12,4,633,45,6,2369
bandit-interprocedural-taint-checks,-0.11142061281337057,0,726809,8,4,341,42,5,2145
bandit-structured-nosec-directives,0.002849002849002913,0,2819914,9,4,387,47,7,2001
boa-hierarchical-evaluation-cancellation,0.0,-1,16719458,9,6,558,67,10,3247
cattrs-partial-structuring-recovery,-0.8157894736842105,0,-2461302,6,3,376,42,6,1918
clack-async-autocomplete-options,0.015172413793103412,0,5036293,5,3,248,51,9,2834
claude-code-by-agents-recursive-delegation,0.0,0,2831076,10,4,651,51,5,2458
cliffy-config-file-parsing,0.002049180327868938,0,2308128,8,4,443,38,5,1658
csstree-shorthand-expansion-compression,0.00023818030248901056,0,-1609407,9,3,413,38,4,1530
dasel-html-document-format,-0.29447322970639034,0,133749,8,3,422,45,6,1993
dateutil-rfc5545-timezone-interop,0.0019029495718363432,0,6697491,7,4,354,45,7,1860
drizzle-orm-window-function-builders,-0.04310344827586199,0,-6097284,5,2,449,17,3,978
dynamodb-toolbox-conditional-attribute-requirements,0.0030816640986132127,0,1789002,10,4,672,42,5,1883
dynamodb-toolbox-lazy-recursive-schemas,-0.0015337423312883347,0,-887590,13,6,837,96,9,4640
effect-sse-httpapi-streaming,0.0,0,15893401,8,5,476,74,9,3058
eicrud-keyset-pagination-cursor,0.05494505494505497,1,3353622,9,4,447,58,7,2485
etree-xml-diff-patch,-0.5373134328358209,0,1932206,10,4,384,28,4,1163
expr-try-catch-errors,-6.029181237188208e-05,0,3301849,9,3,450,49,5,1968
fastapi-deprecation-response-headers,0.013757260776520952,0,1102590,5,5,289,37,6,1624
fastapi-implicit-head-options,0.9968523764557758,0,20581688,25,8,1424,100,13,4923
fd-deterministic-multi-key-sorting,0.03289473684210531,1,-1209876,7,4,373,45,7,2289
geo-shapeindex-serialization,0.0,0,240843,8,2,400,30,4,1634
go-critic-doc-link-checker,0.8947368421052632,0,2269028,11,4,607,51,7,2335
go-genai-streamed-function-args,0.0,0,7484876,13,5,753,59,8,2802
go-git-worktree-merge-conflicts,-0.21052631578947367,0,1896650,11,3,532,37,5,1646
goreleaser-retry-publish-auditing,0.15517241379310348,0,2979756,10,4,572,47,6,2003
gql-incremental-graphql-delivery,0.0012077294685990392,0,4481985,17,5,829,53,8,2424
happy-dom-abort-pending-body-reads,0.06703910614525133,0,4916424,14,4,853,47,9,2741
happy-dom-deterministic-intersectionobserver,-0.08695652173913049,0,570555,7,2,375,30,4,1361
helm-array-merge-strategies,0.7627118644067796,0,5434670,9,5,541,59,8,2394
helm-unified-manifest-stream,0.2857142857142857,1,11361653,10,6,592,60,11,3221
httpx-deterministic-cookie-store,0.008595988538681931,0,195148,9,3,626,42,6,1705
httpx-multipart-response-parsing,0.04088952654232425,0,1276258,8,3,420,36,5,1530
httpx-streaming-json-iteration,0.014550264550264536,0,64355,6,3,318,34,6,1491
igel-persist-feature-schema,-0.49999999999999994,0,5859599,5,3,343,52,7,2413
ink-grid-box-layout,-0.1351351351351352,0,1813329,6,4,370,43,6,2082
ipython-session-bundle-replay,0.06521739130434778,0,-310492,6,3,314,30,6,1727
katex-multicolumn-array-spans,0.0028860028860029363,0,7694330,17,7,713,76,10,3285
kcp-go-multiplexed-kcp-streams,-0.19047619047619052,0,1389870,5,3,198,35,6,1485
kea-atomic-signal-selectors,0.04635761589403975,0,8105582,13,6,855,77,10,3896
kgateway-consistent-hash-policy,0.9907407407407407,1,7598262,7,4,568,64,8,2865
kombu-single-active-consumer-priority,0.9926958831341302,1,10508933,9,4,595,63,8,3041
kombu-virtual-queue-dead-lettering,-0.009408602150537626,0,-1257924,4,3,203,42,5,1712
koota-composite-trait-aspects,0.34977578475336313,0,3484135,4,4,262,47,8,2346
koota-deferred-mutation-buffer,-0.04020100502512558,0,5725495,13,6,666,59,8,2313
koota-entity-snapshot-rollback,-0.01526717557251911,0,1820748,16,6,672,42,7,2055
koota-pair-relation-tracking,0.14761904761904765,0,35505775,18,10,1202,132,17,6279
koota-query-predicates,0.16279069767441856,0,17581161,16,9,882,101,15,4496
kysely-window-grouping-helpers,0.07971014492753623,0,8815157,7,5,481,62,9,2830
langchain-request-coalescing,0.014184397163120588,0,1802601,10,4,616,38,6,1965
mashumaro-flattened-dataclass-fields,0.9996675531914894,0,7792399,10,5,437,71,10,3393
meriyah-explicit-resource-declarations,0.0034745137621802202,0,9596715,13,6,790,41,7,1909
mnamer-daemon-watch-lifecycle,0.008108108108108136,0,1653625,6,5,429,43,7,2344
mobly-grouped-test-barriers,0.024802705749718212,0,4636,9,5,585,32,7,1665
narwhals-rolling-window-suite,0.0007846214201647772,1,1760838,9,5,657,68,7,3018
numba-stencil-boundary-modes,0.016355140186915862,0,3067116,8,4,401,52,9,1816
obsidian-linter-auto-table-of-contents,0.33105802047781563,0,1819298,4,4,200,37,5,1725
obsidian-linter-link-format-conversion,0.0008396305625525402,0,-134513,4,3,279,36,5,1707
obsidian-linter-scoped-ignore-markers,0.0,0,-688976,5,3,371,37,7,2151
ofetch-per-origin-circuit-breaker,-0.01666666666666672,0,4340247,6,3,413,40,7,1968
onedump-dump-encryption-pipeline,-0.17045454545454553,0,1330224,10,3,494,34,5,1798
opa-rego-rule-profiling,-0.5806451612903226,-1,-3264593,2,1,120,23,2,798
opa-template-string-reconstruction,0.4444444444444444,0,10202136,10,6,668,71,10,3433
optique-conditional-option-dependencies,-0.1497584541062802,0,4469588,5,3,289,30,4,1696
oxvg-structural-selector-preservation,0.9117647058823529,1,11449771,19,8,1174,74,10,3485
participle-grammar-conflict-analysis,-0.004098360655737765,0,737244,8,4,435,38,6,2197
pebble-durability-wait-apis,0.35922330097087385,0,-4121581,8,3,409,51,7,2607
pest-character-class-coalescing,0.08757062146892658,0,-4131900,7,4,445,32,5,1391
prometheus-transactional-reload-status,0.010309278350515427,0,2720280,11,4,581,44,5,1718
prometheus-typed-label-sorting,0.1333333333333333,0,-3948466,7,3,492,32,5,1372
psd-tools-blend-range-api,0.005859375,0,727585,4,3,248,21,5,1030
pwntools-tube-multiplexing,0.5675675675675675,0,1020966,4,3,185,31,5,1243
python-statemachine-state-data-scoping,0.004418262150220897,0,10464516,10,6,467,66,10,3310
query-persist-restored-query-state,0.0,0,2537606,6,3,347,48,6,2451
quill-shared-toolbar-focus,-0.05714285714285716,0,1927497,10,6,616,81,9,3745
returns-validated-error-accumulation,0.027272727272727226,1,-455526,3,2,340,37,4,2085
scc-bounded-memory-spilling,0.012618296529968376,0,8146355,9,4,502,52,6,2061
scriggo-method-declarations,0.18049225159525983,0,5869115,13,5,706,62,8,2880
skrub-duration-encoding,-0.0041180507892930596,0,1670585,8,3,493,34,5,1660
sql-formatter-bigquery-pipe-formatting,0.0008718395815170421,1,6149839,9,6,539,61,9,3147
sqlfmt-create-table-ddl-formatting,0.01072796934865905,0,11599323,11,8,652,62,12,3331
sqlite-utils-safe-import-checkpoints,0.970856102003643,0,3325338,7,3,481,27,4,1269
superjson-error-stack-serialization,0.025510204081632626,0,1830763,9,4,662,39,7,2293
task-task-graph-export,-0.29729729729729726,0,3211156,9,3,420,41,5,1477
tengo-callable-instance-isolation,0.020689655172413723,0,7942013,10,4,667,63,9,2870
tengo-destructuring-bindings,0.4618834080717489,0,4309889,8,4,403,43,6,1903
termenv-preserve-ansi-resets,-0.06557377049180335,0,538360,6,3,295,51,6,2332
testem-bail-on-test-failure,0.005181347150258975,0,1540980,5,3,484,41,5,2081
testem-per-launcher-reports,0.022471910112359494,0,1330316,4,2,190,50,5,2347
textual-kitty-key-phases,-0.04999999999999993,0,-172684,7,3,454,55,7,3016
textual-richlog-follow-state,0.07692307692307687,1,-1030166,4,2,208,48,5,1982
tomlkit-toml-table-converters,-0.00390625,0,3245647,17,6,995,73,8,3129
true-myth-iterable-collection-combinators,0.0015220700152207556,1,-7577797,8,3,356,33,4,1497
ts-pattern-match-each,0.9230769230769231,0,-894160,9,2,438,31,5,1447
updo-policy-alerting,-0.014285714285714235,0,-1168679,6,2,370,27,3,1513
valibot-recursive-schema-composition,0.0091324200913242,0,984969,4,3,315,41,6,1870
vitest-duration-sharding,0.0625,0,740151,14,4,878,54,6,2582
vulture-persistent-analysis-cache,0.009404388714733591,0,-129429,7,3,314,35,5,1763
wasmi-trap-coredumps,0.0,1,3970481,8,4,460,38,6,1661
wazero-multi-module-snapshots,0.0,0,2639144,5,3,318,46,6,1965
yaegi-go-embed-directives,0.71875,0,17607097,11,6,464,78,10,3276
yjs-map-conflict-detection,0.0,0,-2419058,6,5,446,37,6,1845
ytt-jsonpath-query-api,-0.0576923076923076,0,100932,3,2,213,23,4,1200
