config,root,session_files,debug_files,observer_start,observer_records,observer_appended,observer_error,reflector_agent_start,reflector_result,reflector_error,dropper_waiting_for_reflection,dropper_not_ready,dropper_stage_start,dropper_result,dropper_append,obs_recorded,obs_tokens,ref_recorded,ref_tokens,obs_dropped,not_ready_max_observation_tokens,not_ready_max_fullness,not_ready_max_active_observations,not_ready_max_droppable_count,not_ready_max_drops_allowed,waiting_same_run_reflections
deepseek-v4-flash/high/observational-memory,results/deepseek-v4-flash/high/observational-memory,113,0,0,0,0,0,0,0,0,0,0,0,0,0,764,256801,462,56162,0,,,,,,
gpt55-low,results/gpt-5.5/low/observational-memory-gpt55-low,36,36,74,74,58,16,38,38,4,50,25,0,0,0,58,29721,25,5477,0,1846,0.1846,32,32,0,0
gpt55-off,results/gpt-5.5/low/observational-memory-gpt55-off,108,103,211,211,188,23,169,169,5,215,85,0,0,0,188,79094,85,18483,0,1707,0.1707,31,31,0,0
gpt54-off,results/gpt-5.5/low/observational-memory-gpt54-off,108,106,227,227,217,10,200,200,3,260,97,0,0,0,217,85808,97,14266,0,2261,0.2261,41,41,0,0
gpt54-low,results/gpt-5.5/low/observational-memory-gpt54-low,36,36,79,79,73,6,40,40,1,54,36,0,0,0,73,28590,36,6389,0,2117,0.2117,31,31,0,0
gpt54-xhigh,results/gpt-5.5/low/observational-memory-gpt54-xhigh,36,36,63,63,44,19,32,32,8,30,17,0,0,0,44,20365,17,5826,0,1351,0.1351,14,14,0,0
gpt54mini-low,results/gpt-5.5/low/observational-memory-gpt54mini-low,185,180,381,381,367,14,198,198,7,311,166,0,0,0,367,98118,166,21652,0,1469,0.1469,36,36,0,0
gpt54mini-off,results/gpt-5.5/low/observational-memory-gpt54mini-off,185,181,379,378,370,8,190,190,13,289,168,0,0,0,370,120083,168,32246,0,1309,0.1309,36,36,0,0
gpt54mini-xhigh,results/gpt-5.5/low/observational-memory-gpt54mini-xhigh,36,36,46,46,18,28,17,17,8,4,8,0,0,0,18,10434,8,2360,0,669,0.0669,13,13,0,0
glm52-off,results/gpt-5.5/low/observational-memory-glm52-off,185,183,358,358,319,39,180,180,24,258,142,0,0,0,319,247819,142,64381,0,2702,0.2702,40,40,0,0
glm52-high,results/gpt-5.5/low/observational-memory-glm52-high,36,36,75,75,66,9,36,36,4,50,32,0,0,0,66,45501,32,13577,0,2598,0.2598,43,43,0,0
glm52-max,results/gpt-5.5/low/observational-memory-glm52-max,82,82,148,148,125,23,74,74,28,91,44,0,0,0,125,107175,44,22851,0,2741,0.2741,45,45,0,0
baseline,results/gpt-5.5/low/baseline,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
