task,config,short,delta_partial,delta_solve_rate,catastrophic,mean_tokens,mean_om_tokens,accepted_nonempty_rate,no_tool_call_rate,all_filtered_rate,reflector_error_rate,observer_append_rate,dropper_not_ready_rate,mean_reflection_entries,mean_observation_entries,mean_reflection_tokens,mean_observation_tokens
obsidian-linter-auto-table-of-contents,observational-memory-gpt54mini-low,gpt54mini-low,0.0,0,0,504826.3333333333,31964.666666666668,1.0,0.0,0.0,0.0,1.0,0.25,1.3333333333333333,6.333333333333333,91.33333333333333,303.6666666666667
obsidian-linter-auto-table-of-contents,observational-memory-glm52-off,glm52-off,0.0,0,0,633888.6666666666,71608,1.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,2.6666666666666665,15.0,267.0,1126.3333333333333
obsidian-linter-auto-table-of-contents,observational-memory-gpt54mini-off,gpt54mini-off,0.0,0,0,732262.3333333334,67616,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,5.666666666666667,16.0,294.0,634.3333333333334
obsidian-linter-auto-table-of-contents,observational-memory-gpt55-off,gpt55-off,0.0,0,0,747876.3333333334,71378.66666666667,1.0,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,2.3333333333333335,11.333333333333334,131.33333333333334,542.0
obsidian-linter-auto-table-of-contents,observational-memory-gpt54-off,gpt54-off,0.0,0,0,781519.3333333334,67128.66666666667,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,2.6666666666666665,12.0,141.0,764.3333333333334
gql-incremental-graphql-delivery,observational-memory-gpt54mini-low,gpt54mini-low,0.0016103059581320522,0,0,911860.6666666666,73251,0.75,0.25,0.0,0.0,1.0,0.3333333333333333,3.3333333333333335,10.333333333333334,156.0,515.0
gql-incremental-graphql-delivery,observational-memory-glm52-off,glm52-off,0.004830917874396157,0,0,888031.6666666666,93095.33333333333,1.0,0.0,0.0,0.0,1.0,0.36363636363636365,6.333333333333333,24.0,443.6666666666667,1608.3333333333333
gql-incremental-graphql-delivery,observational-memory-gpt54mini-off,gpt54mini-off,-0.0008051529790660261,0,0,950022.6666666666,70546.33333333333,1.0,0.0,0.0,0.0,0.8571428571428571,0.375,5.0,19.333333333333332,272.0,889.3333333333334
gql-incremental-graphql-delivery,observational-memory-gpt55-off,gpt55-off,0.00523349436392917,0,0,1012452,80012,1.0,0.0,0.0,0.0,1.0,0.5,5.333333333333333,19.666666666666668,253.66666666666666,1009.0
gql-incremental-graphql-delivery,observational-memory-gpt54-off,gpt54-off,0.0036231884057971175,0,0,1040966.6666666666,59521,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,2.6666666666666665,15.0,131.0,942.6666666666666
httpx-streaming-json-iteration,observational-memory-gpt54mini-low,gpt54mini-low,-0.00022045855379182466,-0.3333333333333333,0,620270,56791.333333333336,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,3.0,10.333333333333334,142.33333333333334,436.3333333333333
httpx-streaming-json-iteration,observational-memory-glm52-off,glm52-off,0.000661375661375696,0.3333333333333333,0,395217,28215.666666666668,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,6.333333333333333,0.0,414.0
httpx-streaming-json-iteration,observational-memory-gpt54mini-off,gpt54mini-off,0.0011022927689594564,0.6666666666666667,0,526962.3333333334,38914.333333333336,1.0,0.0,0.0,0.0,1.0,0.25,1.6666666666666667,10.666666666666666,65.0,397.3333333333333
httpx-streaming-json-iteration,observational-memory-gpt55-off,gpt55-off,0.0011022927689594564,0.6666666666666667,0,523093.6666666667,27009.666666666668,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,592.6666666666666
httpx-streaming-json-iteration,observational-memory-gpt54-off,gpt54-off,-0.00022045855379182466,0.0,0,477216,37785,1.0,0.0,0.0,0.0,0.75,0.25,0.3333333333333333,6.666666666666667,23.333333333333332,378.6666666666667
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-low,gpt54mini-low,0.0007424645390070594,0,0,880595,60434,1.0,0.0,0.0,0.0,1.0,0.375,2.3333333333333335,14.666666666666666,123.33333333333333,582.0
mashumaro-flattened-dataclass-fields,observational-memory-glm52-off,glm52-off,0.0006870567375886205,0,0,764227.6666666666,53699.666666666664,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.3333333333333335,16.666666666666668,229.66666666666666,1023.0
mashumaro-flattened-dataclass-fields,observational-memory-gpt54mini-off,gpt54mini-off,8.865248226952449e-05,0,0,978528.6666666666,76523,1.0,0.0,0.0,0.0,1.0,0.4444444444444444,3.6666666666666665,19.0,166.0,727.3333333333334
mashumaro-flattened-dataclass-fields,observational-memory-gpt55-off,gpt55-off,0.0006648936170212671,0,0,813976,70991,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,4.333333333333333,15.333333333333334,233.66666666666666,795.6666666666666
mashumaro-flattened-dataclass-fields,observational-memory-gpt54-off,gpt54-off,-0.0003767730496453403,0.3333333333333333,0,734688.3333333334,60566.333333333336,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,2.3333333333333335,11.333333333333334,136.33333333333334,746.0
koota-deferred-mutation-buffer,observational-memory-gpt54mini-low,gpt54mini-low,-0.03015075376884413,0,0,708377,71258.66666666667,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,3.6666666666666665,11.666666666666666,206.66666666666666,507.0
koota-deferred-mutation-buffer,observational-memory-glm52-off,glm52-off,-0.025125628140703515,0,0,669200.6666666666,76661.66666666667,1.0,0.0,0.0,0.0,0.8333333333333334,0.42857142857142855,3.6666666666666665,20.0,314.0,1095.0
koota-deferred-mutation-buffer,observational-memory-gpt54mini-off,gpt54mini-off,-0.07537688442211044,0,0,750255.6666666666,63772,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,5.333333333333333,14.0,252.0,640.3333333333334
koota-deferred-mutation-buffer,observational-memory-gpt55-off,gpt55-off,-0.008375209380234394,0,0,777918.6666666666,62861.666666666664,1.0,0.0,0.0,0.0,0.8333333333333334,0.375,4.666666666666667,13.333333333333334,181.33333333333334,625.0
koota-deferred-mutation-buffer,observational-memory-gpt54-off,gpt54-off,-0.0368509212730318,0,0,656518.6666666666,60662.666666666664,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,2.6666666666666665,11.666666666666666,161.33333333333334,657.6666666666666
updo-policy-alerting,observational-memory-gpt54mini-low,gpt54mini-low,0.01904761904761909,0,0,580847.3333333334,54695.666666666664,1.0,0.0,0.0,0.3333333333333333,0.8,0.3333333333333333,2.3333333333333335,8.0,140.0,394.6666666666667
updo-policy-alerting,observational-memory-glm52-off,glm52-off,0.01666666666666672,0,0,561176,47088,1.0,0.0,0.0,1.0,0.75,0.0,0.0,20.666666666666668,0.0,1347.6666666666667
updo-policy-alerting,observational-memory-gpt54mini-off,gpt54mini-off,0.011904761904761973,0.3333333333333333,0,661811.3333333334,65470,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,3.3333333333333335,14.333333333333334,154.0,669.6666666666666
updo-policy-alerting,observational-memory-gpt55-off,gpt55-off,0.014285714285714346,0,0,476872.3333333333,30111,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.333333333333333,0.0,284.6666666666667
updo-policy-alerting,observational-memory-gpt54-off,gpt54-off,0.014285714285714346,0,0,605315.6666666666,65603,1.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.3333333333333333,2.0,11.0,109.33333333333333,667.3333333333334
bandit-structured-nosec-directives,observational-memory-gpt54mini-low,gpt54mini-low,-0.005698005698005715,0,0,891992.6666666666,61527.333333333336,1.0,0.0,0.0,0.0,1.0,0.42857142857142855,3.0,13.666666666666666,177.33333333333334,600.6666666666666
bandit-structured-nosec-directives,observational-memory-glm52-off,glm52-off,-0.019943019943019946,0,0,821902.3333333334,84446.66666666667,1.0,0.0,0.0,0.3333333333333333,0.7142857142857143,0.4,5.0,21.0,514.3333333333334,1396.6666666666667
bandit-structured-nosec-directives,observational-memory-gpt54mini-off,gpt54mini-off,-0.010446343779677125,0,0,657721,51076.666666666664,1.0,0.0,0.0,0.3333333333333333,1.0,0.4,3.3333333333333335,13.666666666666666,154.0,651.0
