config,tasks,session_files,obs_entries,refl_entries,observer_start,observer_records,observer_appended,observer_error,reflector_start,reflector_result,reflector_error,dropper_waiting,dropper_not_ready,maxDropsAllowed_seen
DeepSeek V4 flash OM,113,113,5462,969,0,0,0,0,0,0,0,0,0,
GPT-5.5 low gpt55-low,12,36,554,94,74,74,58,16,38,38,4,50,25,0
GPT-5.5 low gpt55-off,36,108,1468,332,211,211,188,23,169,169,5,215,85,0
GPT-5.5 low gpt54mini-off,113,185,2788,673,379,378,370,8,190,190,13,289,168,0
GPT-5.5 low gpt54mini-low,113,185,2314,426,381,381,367,14,198,198,7,311,166,0
GPT-5.5 low glm52-off,113,185,3789,737,358,358,319,39,180,180,24,258,142,0
GPT-5.5 low gpt54-off,36,108,1408,268,227,227,217,10,200,200,3,260,97,0
GPT-5.5 low gpt54mini-xhigh,12,36,206,33,46,46,18,28,17,17,8,4,8,0
GPT-5.5 low baseline,113,185,0,0,0,0,0,0,0,0,0,0,0,
GPT-5.5 low grid 36v1,0,0,0,0,0,0,0,0,0,0,0,0,0,
