config,cells,sessions,debug_files,obs_count,obs_events,obs_tokens,refl_count,refl_events,refl_tokens,support_avg,obs_per_refl,obs_tok_per_refl_tok,obs_lat_n,obs_mean,obs_p50,obs_p90,obs_p95,obs_err,refl_lat_n,refl_mean,refl_p50,refl_p90,refl_p95,refl_err,refl_results,drop_wait,drop_not_ready,drop_actual,max_fullness,max_obs_tokens,reasons
deepseek-high-om,113,113,0,5462,764,256801,969,462,56162,1.891640866873065,5.636738906088751,4.5725045404365945,0,,,,,0,0,,,,,0,0,0,0,0,,,{}
glm52-high,36,36,36,670,66,45501,138,32,13577,2.6159420289855073,4.855072463768116,3.3513294542240555,84,26.21390476113274,22.216999888420105,45.75709991455078,49.208100008964536,9,40,32.86022498011589,30.212999939918518,44.39729998111726,54.02395008802414,4,36,50,32,0,0.2598,2598,{'accepted_nonempty': 36}
glm52-max,82,82,82,1533,125,107175,183,44,22851,3.1311475409836067,8.37704918032787,4.690166732309308,171,46.48248538496899,42.45800018310547,70.16200017929077,75.80600011348724,23,102,65.57950980055566,62.44249999523163,83.21799993515015,95.36725018024445,28,74,91,44,0,0.2741,2741,"{'accepted_nonempty': 72, 'no_tool_call': 2}"
glm52-off,185,185,183,3789,319,247819,737,142,64381,2.3867028493894167,5.141112618724559,3.8492567683012067,397,26.514886656095758,25.79699993133545,34.770999908447266,42.260399913787836,39,204,20.919499996830435,19.6525000333786,28.568599987030026,30.05424997806549,24,180,258,142,0,0.2702,2702,"{'accepted_nonempty': 166, 'no_tool_call': 14}"
gpt54-low,36,36,36,446,73,28590,90,36,6389,1.711111111111111,4.955555555555556,4.4748786977617785,85,16.68691763036391,15.755000114440918,21.032000112533566,25.230400037765495,6,41,9.144268280122338,8.57099986076355,13.26200008392334,15.180000066757202,1,40,54,36,0,0.2117,2117,"{'accepted_nonempty': 37, 'no_tool_call': 3}"
gpt54-off,108,108,106,1408,217,85808,268,97,14266,1.6343283582089552,5.253731343283582,6.014860507500351,237,15.273455703308814,14.51799988746643,20.654399967193605,22.552400112152093,10,203,4.5525714235352766,3.927999973297119,9.018600034713746,10.699499988555909,3,200,260,97,0,0.2261,2261,"{'accepted_nonempty': 100, 'no_tool_call': 100}"
gpt54-xhigh,36,36,36,331,44,20365,55,17,5826,1.9272727272727272,6.0181818181818185,3.4955372468245796,82,123.50881706796041,121.64699983596802,201.58200001716614,219.72734991312026,19,40,89.07329998612404,92.2004998922348,150.01429994106294,164.1598998785018,8,32,30,17,0,0.1351,1351,"{'accepted_nonempty': 25, 'no_tool_call': 7}"
gpt54mini-low,185,185,180,2314,367,98118,426,166,21652,2.0375586854460095,5.431924882629108,4.531590615185664,395,12.653481015072593,11.75,17.409400081634523,19.896800065040587,14,205,7.792409758451508,7.129000186920166,10.96820001602173,14.511000061035162,7,198,311,166,0,0.1469,1469,"{'accepted_nonempty': 173, 'all_filtered': 2, 'no_tool_call': 23}"
gpt54mini-off,185,185,181,2788,370,120083,673,168,32246,1.7310549777117386,4.142644873699852,3.723965763195435,386,11.891629533446515,11.316499948501587,16.708500027656555,19.16650003194809,8,203,7.5153596142829935,6.83899998664856,10.954999923706058,13.22370014190674,13,190,289,168,0,0.1309,1309,"{'accepted_nonempty': 181, 'all_filtered': 5, 'no_tool_call': 4}"
gpt54mini-xhigh,36,36,36,206,18,10434,33,8,2360,1.696969696969697,6.242424242424242,4.421186440677966,74,311.3489999996649,296.60599994659424,481.51399993896484,582.1868499755855,28,25,181.48371998786925,172.1139998435974,312.00000009536745,333.50119991302495,8,17,4,8,0,0.0669,669,"{'accepted_nonempty': 16, 'no_tool_call': 1}"
gpt55-low,36,36,36,554,58,29721,94,25,5477,1.797872340425532,5.8936170212765955,5.426510863611466,90,41.18494446277619,38.769999980926514,61.85560002326963,68.05169993638991,16,42,16.57188093662262,16.02999997138977,24.33899998664856,26.57424993515015,4,38,50,25,0,0.1846,1846,"{'accepted_nonempty': 29, 'no_tool_call': 9}"
gpt55-off,108,108,103,1468,188,79094,332,85,18483,1.644578313253012,4.421686746987952,4.279283666071525,234,31.923940166448936,29.838000059127808,45.65400004386902,52.146649968624104,23,174,8.726770106403308,7.317999958992004,19.495499992370604,24.00280003547668,5,169,215,85,0,0.1707,1707,"{'accepted_nonempty': 90, 'no_tool_call': 79}"
gpt55-xhigh,36,36,36,538,30,24729,77,15,5905,2.5974025974025974,6.987012987012987,4.187806943268416,86,238.44456977067992,164.41799998283386,478.71200013160706,741.1497501134872,28,22,84.80104551532052,80.26500010490417,135.09300007820127,135.84100008010864,3,19,18,15,0,0.2162,2162,"{'accepted_nonempty': 18, 'no_tool_call': 1}"
