config,tasks,cells,session_files,sessions_with_debug,session_reflections,session_reflections_per_cell,session_reflection_tokens,session_reflection_tokens_per_cell,session_tokens_per_reflection,reflector_start,reflector_result,reflector_error,reflector_result_per_cell,accepted_total,rejected_total,duplicate_total,raw_total,accepted_rate,rejected_rate,duplicate_rate,support_total_ids,support_reflections,support_min_mean,support_max_mean,support_avg_mean,support_ids_per_session_mean,drop_waiting,drop_not_ready,drop_actual,drop_wait_rate,drop_not_ready_rate,fullness_mean,fullness_median,fullness_p90,fullness_min,fullness_max
deepseek-v4-flash-high,113,113,113,0,969,8.575221,56162,497.008850,57.958720,0,0,0,0.000000,0,0,0,0,,,,0,0,,,,16.221239,0,0,0,,,,,,,
gpt55-low,12,36,36,36,94,2.611111,5477,152.138889,58.265957,38,38,4,1.055556,120,1,0,121,0.991736,0.008264,0.000000,213,120,0.842105,2.342105,1.467951,4.694444,50,25,0,1.315789,0.657895,0.081400,0.071700,0.123340,0.033800,0.184600
gpt55-off,36,108,108,103,332,3.074074,18483,171.138889,55.671687,169,169,5,1.564815,356,1,0,357,0.997199,0.002801,0.000000,581,356,0.668639,1.485207,0.980705,5.055556,215,85,0,1.272189,0.502959,0.071846,0.070300,0.118260,0.014100,0.170700
gpt55-xhigh,12,36,36,36,77,2.138889,5905,164.027778,76.688312,19,19,3,0.527778,97,0,0,97,1.000000,0.000000,0.000000,253,97,1.210526,3.947368,2.357811,5.555556,18,15,0,0.947368,0.789474,0.089547,0.069100,0.150400,0.035900,0.216200
gpt54-low,12,36,36,36,90,2.500000,6389,177.472222,70.988889,40,40,1,1.111111,95,0,0,95,1.000000,0.000000,0.000000,159,95,1.350000,2.175000,1.704167,4.277778,54,36,0,1.350000,0.900000,0.071483,0.066500,0.122900,0.021400,0.211700
gpt54-off,36,108,108,106,268,2.481481,14266,132.092593,53.231343,200,200,3,1.851852,278,0,0,278,1.000000,0.000000,0.000000,457,278,0.730000,1.265000,0.945792,4.055556,260,97,0,1.300000,0.485000,0.071225,0.052300,0.138580,0.019900,0.226100
gpt54-xhigh,12,36,36,36,55,1.527778,5826,161.833333,105.927273,32,32,8,0.888889,85,0,0,85,1.000000,0.000000,0.000000,174,85,1.250000,2.187500,1.734226,2.944444,30,17,0,0.937500,0.531250,0.062788,0.051500,0.099020,0.028200,0.135100
gpt54mini-low,113,185,185,180,426,2.302703,21652,117.037838,50.826291,198,198,7,1.070270,439,23,0,462,0.950216,0.049784,0.000000,906,439,1.424242,2.606061,1.963636,4.691892,311,166,0,1.570707,0.838384,0.048167,0.044800,0.081700,0.013900,0.146900
gpt54mini-off,113,185,185,181,673,3.637838,32246,174.302703,47.913819,190,190,13,1.027027,734,41,45,820,0.895122,0.050000,0.054878,1276,734,1.157895,2.647368,1.756109,6.297297,289,168,0,1.521053,0.884211,0.057429,0.054250,0.093660,0.010100,0.130900
gpt54mini-xhigh,12,36,36,36,33,0.916667,2360,65.555556,71.515152,17,17,8,0.472222,63,5,1,69,0.913043,0.072464,0.014493,125,63,1.117647,3.000000,1.930392,1.555556,4,8,0,0.235294,0.470588,0.045887,0.045750,0.056890,0.030200,0.066900
glm52-off,113,185,185,183,737,3.983784,64381,348.005405,87.355495,180,180,24,0.972973,863,3,0,866,0.996536,0.003464,0.000000,2102,863,1.227778,4.233333,2.397220,9.508108,258,142,0,1.433333,0.788889,0.120425,0.111250,0.187680,0.042800,0.270200
glm52-max,12,82,82,82,183,2.231707,22851,278.670732,124.868852,74,74,28,0.902439,300,1,0,301,0.996678,0.003322,0.000000,965,300,1.608108,5.432432,3.227124,6.987805,91,44,0,1.229730,0.594595,0.131748,0.131750,0.220060,0.046500,0.274100
glm52-high,12,36,36,36,138,3.833333,13577,377.138889,98.384058,36,36,4,1.000000,157,1,0,158,0.993671,0.006329,0.000000,420,157,1.500000,4.805556,2.787269,10.027778,50,32,0,1.388889,0.888889,0.112200,0.084150,0.196560,0.037000,0.259800
baseline,113,185,185,0,0,0.000000,0,0.000000,,0,0,0,0.000000,0,0,0,0,,,,0,0,,,,0.000000,0,0,0,,,,,,,
