task	rep	reward	partial	timeout	agent_wall_s	turns	tool_calls	baseline_reward	baseline_partial	baseline_timeout	baseline_wall_s	baseline_turns	baseline_tool_calls	create_calls	create_turn	turns_before_create	turns_after_create	get_calls	update_calls	complete_sets	continuations	budget_limits	treatment_initial_literal_slash_command	treatment_initial_expanded_adapter_prompt	treatment_create_goal_activation	treatment_goal_event_activation	baseline_initial_expanded_adapter_prompt	baseline_create_goal_calls	baseline_goal_event_activation	cross_side_goal_leakage	treatment_delivery_classification	precomplete_test_signal	precomplete_build_signal	precomplete_lint_signal	session
adaptix-name-mapping-aliases	0	0	0.9978432782171099	False	1183.7	153	162	0	0.9985621854780733	False	1818.1	161	169	1	15	14	138	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/adaptix-name-mapping-aliases/rep0/session/2026-07-12T12-03-47-427Z_019f5636-4e63-768f-8b1c-06261314fb07.jsonl
adaptix-name-mapping-aliases	1	0	0.9974838245866283	False	2415.8	188	200	0	0.9971243709561467	False	1786.7	156	166	1	12	11	176	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/adaptix-name-mapping-aliases/rep1/session/2026-07-12T12-23-48-390Z_019f5648-a1a6-7eed-9eb2-1d72f50d9082.jsonl
adaptix-name-mapping-aliases	2	0	0.9978432782171099	False	1899.2	174	189	0	0.9974838245866283	False	1507.2	125	136	1	20	19	154	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/adaptix-name-mapping-aliases/rep2/session/2026-07-12T12-37-35-685Z_019f5655-4145-7760-89c3-e9903b0c8710.jsonl
claude-code-by-agents-recursive-delegation	0	0	0.8157894736842105	False	529.7	44	53	0	0.8157894736842105	False	729.5	62	72	1	1	0	43	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/claude-code-by-agents-recursive-delegation/rep0/session/2026-07-12T07-12-09-203Z_019f552b-4df3-7415-97fb-48c5131a106d.jsonl
claude-code-by-agents-recursive-delegation	1	0	0.8157894736842105	False	755.9	65	73	0	0.8157894736842105	False	1089.7	76	83	1	1	0	64	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/claude-code-by-agents-recursive-delegation/rep1/session/2026-07-12T07-21-02-627Z_019f5533-71a3-75d2-9542-fcbd99d3858d.jsonl
claude-code-by-agents-recursive-delegation	2	0	0.8157894736842105	False	615.9	50	61	0	0.8157894736842105	False	1276.1	67	76	1	1	0	49	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/claude-code-by-agents-recursive-delegation/rep2/session/2026-07-12T07-33-41-551Z_019f553f-062f-7bf4-b874-d923f01d92b3.jsonl
dateutil-rfc5545-timezone-interop	0	0	0.9957183634633682	False	1393.7	109	112	0	0.9966698382492863	False	1365.5	88	91	1	7	6	102	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-12T05-36-05-946Z_019f54d3-5d3a-7528-b27b-a417f0f10d7b.jsonl
dateutil-rfc5545-timezone-interop	1	0	0.9919124643196955	False	1751.0	100	102	0	0.994291151284491	False	1541.6	102	103	1	1	0	99	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/dateutil-rfc5545-timezone-interop/rep1/session/2026-07-12T05-46-53-545Z_019f54dd-3ee9-7c07-a9d6-bcecd8576f06.jsonl
dateutil-rfc5545-timezone-interop	2	0	0.9961941008563273	False	1282.6	92	92	0	0.9914367269267365	False	1179.7	64	66	1	2	1	90	1	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/dateutil-rfc5545-timezone-interop/rep2/session/2026-07-12T05-59-26-069Z_019f54e8-ba75-7f16-9752-05467f4bffce.jsonl
go-critic-doc-link-checker	0	0	0.8947368421052632	False	977.4	88	113	0	0.8947368421052632	False	1866.9	157	183	1	18	17	70	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/go-critic-doc-link-checker/rep0/session/2026-07-12T07-44-00-551Z_019f5548-7827-7b95-b761-2af280d9cc96.jsonl
go-critic-doc-link-checker	1	1	1.0	False	1620.4	136	160	0	0.8947368421052632	False	1360.9	106	125	1	11	10	125	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/go-critic-doc-link-checker/rep1/session/2026-07-12T08-00-25-577Z_019f5557-7fe9-7c3f-ad63-a1246876a3a5.jsonl
go-critic-doc-link-checker	2	0	0.8947368421052632	False	1570.4	114	140	0	0.8947368421052632	False	1580.7	120	147	1	23	22	91	0	1	1	0	0	False	True	True	True	False	0	False	False	delivered	True	True	True	results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/go-critic-doc-link-checker/rep2/session/2026-07-12T08-21-13-179Z_019f556a-895b-7e90-bad9-93210ec37aa9.jsonl
