task,rep,reward_binary,reward_partial,scored,f2p_passed,f2p_total,p2p_passed,p2p_total,patch_bytes,patch_files,patch_added,patch_deleted,turns,tool_calls,total_tokens,agent_wall_s,agent_timed_out,verifier_timed_out
adaptix-name-mapping-aliases,0,0,0.9985621854780733,True,40,44,2738,2738,45162,6,823,31,161,169,13364365,1818.1,False,False
adaptix-name-mapping-aliases,1,0,0.9971243709561467,True,36,44,2738,2738,29242,6,359,36,156,166,13758969,1786.7,False,False
adaptix-name-mapping-aliases,2,0,0.9974838245866283,True,37,44,2738,2738,39949,8,775,32,125,136,9075908,1507.2,False,False
claude-code-by-agents-recursive-delegation,0,0,0.8157894736842105,True,0,7,31,31,58779,5,1224,100,62,72,4013169,729.5,False,False
claude-code-by-agents-recursive-delegation,1,0,0.8157894736842105,True,0,7,31,31,33121,6,939,45,76,83,5653877,1089.7,False,False
claude-code-by-agents-recursive-delegation,2,0,0.8157894736842105,True,0,7,31,31,39530,3,1168,1,67,76,4439877,1276.1,False,False
dateutil-rfc5545-timezone-interop,0,0,0.9966698382492863,True,60,67,2035,2035,56877,3,1350,14,88,91,5717740,1365.5,False,False
dateutil-rfc5545-timezone-interop,1,0,0.994291151284491,True,55,67,2035,2035,46938,2,960,28,102,103,6953692,1541.6,False,False
dateutil-rfc5545-timezone-interop,2,0,0.9914367269267365,True,49,67,2035,2035,56958,3,1309,22,64,66,4056431,1179.7,False,False
go-critic-doc-link-checker,0,0,0.8947368421052632,True,2,3,15,16,19593,6,666,0,157,183,9927789,1866.9,False,False
go-critic-doc-link-checker,1,0,0.8947368421052632,True,2,3,15,16,24517,8,802,0,106,125,5161844,1360.9,False,False
go-critic-doc-link-checker,2,0,0.8947368421052632,True,2,3,15,16,20372,6,699,0,120,147,6466497,1580.7,False,False
goreleaser-retry-publish-auditing,0,0,0.6206896551724138,True,7,29,29,29,45590,6,1289,47,88,98,7512219,1707.3,False,False
goreleaser-retry-publish-auditing,1,0,0.5344827586206896,True,2,29,29,29,37220,9,946,46,158,163,11967332,1585.7,False,False
goreleaser-retry-publish-auditing,2,0,0.9655172413793104,True,27,29,29,29,45806,6,1420,42,68,77,6786423,1762.6,False,False
langchain-request-coalescing,0,-1,0.0,False,,,,,42134,3,1160,0,44,53,2066616,5400.1,True,True
langchain-request-coalescing,1,0,0.9858156028368794,True,46,50,232,232,79435,5,2347,0,72,79,4054506,867.7,False,False
langchain-request-coalescing,2,-1,0.0,False,,,,,41902,3,1090,0,35,43,884063,5400.2,True,True
mobly-grouped-test-barriers,0,-1,0.0,False,,,,,62418,3,1698,16,25,33,1372182,5400.1,True,True
mobly-grouped-test-barriers,1,-1,0.0,False,,,,,58669,2,1638,15,66,75,4563293,775.6,False,True
mobly-grouped-test-barriers,2,0,0.9729425028184893,True,58,79,805,808,42317,2,1197,22,58,66,4206918,784.2,False,False
obsidian-linter-link-format-conversion,0,0,0.9907640638119227,True,49,60,1131,1131,35113,3,1135,0,82,91,6868469,1531.5,False,False
obsidian-linter-link-format-conversion,1,0,0.9991603694374476,True,59,60,1131,1131,35550,5,1032,1,80,89,5661374,1145.1,False,False
obsidian-linter-link-format-conversion,2,0,0.9991603694374476,True,59,60,1131,1131,34469,5,1039,1,48,57,3186231,826.3,False,False
participle-grammar-conflict-analysis,0,0,0.9877049180327869,True,88,91,153,153,35163,5,1145,0,65,74,3585606,1086.8,False,False
participle-grammar-conflict-analysis,1,0,0.6844262295081968,True,14,91,153,153,43514,8,1585,0,101,111,6037814,1366.3,False,False
participle-grammar-conflict-analysis,2,0,0.6844262295081968,True,14,91,153,153,39010,11,1339,0,74,84,3533743,786.9,False,False
sql-formatter-bigquery-pipe-formatting,0,0,0.9980819529206626,True,15,26,5709,5709,19544,9,469,4,156,169,13557239,1648.4,False,False
sql-formatter-bigquery-pipe-formatting,1,0,0.999128160418483,True,21,26,5709,5709,16628,9,357,3,111,125,8455644,1382.9,False,False
sql-formatter-bigquery-pipe-formatting,2,0,0.9986050566695728,True,18,26,5709,5709,17514,8,411,2,136,151,11829328,1385.5,False,False
superjson-error-stack-serialization,0,0,0.8826530612244898,True,60,80,113,116,59365,7,1583,42,76,83,4160654,997.2,False,False
superjson-error-stack-serialization,1,0,0.9081632653061225,True,65,80,113,116,49961,8,1272,35,94,104,5602143,1451.8,False,False
superjson-error-stack-serialization,2,0,0.6938775510204082,True,20,80,116,116,62264,8,1598,46,63,72,3014950,1040.1,False,False
tengo-callable-instance-isolation,0,0,0.9793103448275862,True,20,23,122,122,37191,5,740,303,171,180,17432273,1792.1,False,False
tengo-callable-instance-isolation,1,0,0.9241379310344827,True,12,23,122,122,33883,6,1044,6,191,199,19195731,1981.2,False,False
tengo-callable-instance-isolation,2,0,0.9586206896551724,True,17,23,122,122,42653,3,1504,5,179,189,20873621,3201.8,False,False
