model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,abs-module-cache-flags,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-26T05-34-18-554Z_019f026b-f9ba-70bc-9c4b-dbd059e4da12.jsonl,14,12,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,10,8,/app/src/main.rs,,,57,56,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,10,8,/app/src/main.rs,,,58,57,2822,1,822,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,62,61,/app/src/main.rs,57,40,58,1,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,62,61,/app/src/main.rs,57,40,59,2,2822,1,822,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep0/session/2026-07-13T01-55-53-270Z_019f5930-1d36-783e-822b-865ee59ffb33.jsonl,17,16,/app/src/main.rs,,,57,56,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep0/session/2026-07-13T01-55-53-270Z_019f5930-1d36-783e-822b-865ee59ffb33.jsonl,17,16,/app/src/main.rs,,,58,57,2822,1,822,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,1,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep1/session/2026-07-13T02-28-51-520Z_019f594e-4cc0-7680-8a11-6a5fd55adfe7.jsonl,15,13,/app/src/main.rs,,,57,56,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,1,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep1/session/2026-07-13T02-28-51-520Z_019f594e-4cc0-7680-8a11-6a5fd55adfe7.jsonl,15,13,/app/src/main.rs,,,58,57,2822,1,822,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,2,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep2/session/2026-07-13T02-35-12-473Z_019f5954-1cd9-7a42-a873-c794f4daa99e.jsonl,18,16,/app/src/main.rs,,,57,56,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,fd-deterministic-multi-key-sorting,2,results/Qwen3.6-27B-AWQ-BF16-INT4/high/qwen36-27b-pi-codex-goal/fd-deterministic-multi-key-sorting/rep2/session/2026-07-13T02-35-12-473Z_019f5954-1cd9-7a42-a873-c794f4daa99e.jsonl,18,16,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,advisor,abs-module-cache-flags,0,results/deepseek-v4-flash/high/advisor/abs-module-cache-flags/rep0/session/2026-06-26T05-44-16-907Z_019f0275-1b0b-775f-b397-4b449ff76a4b.jsonl,29,27,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,advisor,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/advisor/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T07-20-25-914Z_019f02cd-223a-7152-88ff-e2b4a31f149f.jsonl,12,11,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,advisor,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/advisor/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T07-20-25-914Z_019f02cd-223a-7152-88ff-e2b4a31f149f.jsonl,12,11,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,advisor,goreleaser-retry-publish-auditing,0,results/deepseek-v4-flash/high/advisor/goreleaser-retry-publish-auditing/rep0/session/2026-06-26T07-42-49-823Z_019f02e1-a3df-7c6b-b741-290b09a2d0a4.jsonl,105,104,/app/internal/pipe/blob/upload.go,,,215,214,2867,1,867,107
deepseek-v4-flash,high,advisor,tengo-callable-instance-isolation,0,results/deepseek-v4-flash/high/advisor/tengo-callable-instance-isolation/rep0/session/2026-06-26T09-43-36-256Z_019f0350-3640-79b2-876a-ffca324167eb.jsonl,73,72,/app/stdlib/source_modules.go,,30,7,6,4092,1,2092,103
deepseek-v4-flash,high,baseline-preamble-orchestration,abs-module-cache-flags,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-24T22-09-01-667Z_019efbad-f2e3-70e7-a920-298ce24a6aa3.jsonl,19,17,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,baseline-preamble-orchestration,koota-deferred-mutation-buffer,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/koota-deferred-mutation-buffer/rep0/session/2026-06-25T05-46-09-314Z_019efd50-7622-7905-992c-f6a9284f4953.jsonl,94,93,/app/packages/core/src/deferred/deferred.ts,,80,43,42,2241,1,241,105
deepseek-v4-flash,high,baseline-preamble-orchestration-wf,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration-wf/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T23-09-51-579Z_019f0632-5c5b-747a-92fa-53cfc758d79c.jsonl,13,12,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,baseline-preamble-orchestration-wf,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration-wf/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T23-09-51-579Z_019f0632-5c5b-747a-92fa-53cfc758d79c.jsonl,13,12,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,ponytail-extension,abs-module-cache-flags,0,results/deepseek-v4-flash/high/ponytail-extension/abs-module-cache-flags/rep0/session/2026-06-25T03-30-19-944Z_019efcd4-1ca8-7286-895d-3a59d977ba89.jsonl,35,33,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,ponytail-extension,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/ponytail-extension/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-33-256Z_019efd09-6a68-7e83-ad2f-aafc1c5c4e2c.jsonl,18,15,/app/src/main.rs,,,57,56,2950,1,950,105
