model_leaf,thinking,config,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
Laguna-S-2.1-INT4,high,baseline-laguna-s21,15,0,0.0,416,0,0,0,0,0,0,1463
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,113,2,0.017699115044247787,3403,3,5,4159,533,3626,0,2950
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-qwen36-27b,36,0,0.0,951,0,0,0,0,0,0,1463
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-contract-checkpoints,36,0,0.0,919,0,0,0,0,0,0,1463
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-contract-checkpoints-workflow,36,0,0.0,0,0,0,0,0,0,0,0
Qwen3.6-27B-AWQ-BF16-INT4,high,qwen36-27b-pi-codex-goal,108,3,0.027777777777777776,3219,3,6,5316,639,4677,0,2950
ThinkingCap-Qwen3.6-27B,high,baseline-thinkingcap-qwen36,35,0,0.0,709,0,0,0,0,0,0,1463
ThinkingCap-Qwen3.6-27B,high,baseline-thinkingcap-qwen36-temp06,36,0,0.0,443,0,0,0,0,0,0,1463
_contaminated,provider-outage,pi-fabric-pr10@0.28.11,51,0,0.0,0,0,0,0,0,0,0,0
composer-2-5,off,baseline-cursor,36,0,0.0,560,0,0,0,0,0,0,1659
deepseek-v4-flash,high,advisor,153,4,0.026143790849673203,4410,4,5,5346,534,4812,0,4092
deepseek-v4-flash,high,baseline-preamble-orchestration,123,3,0.024390243902439025,3634,3,4,2628,427,2201,0,2950
deepseek-v4-flash,high,baseline-preamble-orchestration-wf,36,1,0.027777777777777776,1092,1,2,1772,213,1559,0,2950
deepseek-v4-flash,high,ponytail-extension,113,3,0.02654867256637168,3314,4,5,3267,538,2729,0,2950
deepseek-v4-flash,high,ponytail-full,23,2,0.08695652173913043,759,2,2,2930,216,2714,0,4315
deepseek-v4-flash,high,projected-om,17,0,0.0,376,0,0,0,0,0,0,1463
deepseek-v4-flash,high,recall-placebo,17,1,0.058823529411764705,404,1,1,262,105,157,0,2262
deepseek-v4-flash-0731,max,baseline-deepseek-v4-flash-0731@1.0.0,14,1,0.07142857142857142,164,1,1,170,109,61,0,2170
deepseek-v4-flash-0731,max,baseline-openrouter-deepseek-v4-flash-0731@1.0.0,36,0,0.0,558,0,0,0,0,0,0,1463
gemma-4-31b,high,baseline-gemma4-31b@1.0.0,36,0,0.0,248,0,0,0,0,0,0,1463
gemma-4-31b,high,pi-check@1.1.0,36,0,0.0,333,0,0,0,0,0,0,1463
glm-5.2,max,prime-agent@1.0.0,1,0,0.0,0,0,0,0,0,0,0,0
glm-5.2,max,prime-agent@1.1.0,1,0,0.0,0,0,0,0,0,0,0,0
glm-5.2,max,prime-agent@1.1.1,18,0,0.0,0,0,0,0,0,0,0,0
gpt-5.3-codex-spark,high,baseline-preamble-orchestration,81,1,0.012345679012345678,3574,1,2,1772,213,1559,0,2950
gpt-5.5,low,advisor-gpt55-xhigh,108,0,0.0,1344,0,0,0,0,0,0,373
gpt-5.5,low,baseline,108,0,0.0,1147,0,0,0,0,0,0,424
gpt-5.5,low,baseline-neutral-orchestration-only,108,0,0.0,1137,0,0,0,0,0,0,424
gpt-5.5,low,baseline-omp,108,0,0.0,2218,0,0,0,0,0,0,1036
gpt-5.5,low,baseline-omp-ast,108,2,0.018518518518518517,2852,2,4,3556,426,3130,0,2953
gpt-5.5,low,baseline-omp-bash-only,108,2,0.018518518518518517,2783,2,4,3556,426,3130,0,2953
gpt-5.5,low,baseline-omp-pi-prompt-ast,36,0,0.0,771,0,0,0,0,0,0,772
gpt-5.5,low,baseline-omp-pi-prompt-ast-no-project,108,0,0.0,2401,0,0,0,0,0,0,917
gpt-5.5,low,baseline-omp-pi-prompt-bash-only,36,0,0.0,762,0,0,0,0,0,0,773
gpt-5.5,low,baseline-omp-pi-prompt-bash-only-no-project,108,4,0.037037037037037035,2337,4,7,10523,744,9779,0,7189
gpt-5.5,low,baseline-omp-pi-prompt-grepglob,36,0,0.0,663,0,0,0,0,0,0,354
gpt-5.5,low,baseline-omp-pi-prompt-grepglob-no-project,108,1,0.009259259259259259,2004,1,2,1778,213,1565,0,2953
gpt-5.5,low,baseline-preamble-only,108,1,0.009259259259259259,1145,1,2,1772,213,1559,0,2950
gpt-5.5,low,baseline-preamble-orchestration,235,1,0.00425531914893617,2592,1,2,1772,213,1559,0,2950
gpt-5.5,low,baseline-preamble-orchestration-wf,108,0,0.0,1146,0,0,0,0,0,0,698
gpt-5.5,low,baseline-wf-no-commit,108,0,0.0,1180,0,0,0,0,0,0,396
gpt-5.5,low,baseline-wf-no-repro-script,108,0,0.0,1184,0,0,0,0,0,0,396
gpt-5.5,low,baseline-wf-only,108,3,0.027777777777777776,1174,3,5,29094,536,28558,0,27550
gpt-5.5,low,baseline-wf-tight-checklist,108,1,0.009259259259259259,1166,1,2,1772,213,1559,0,2950
gpt-5.5,low,codebase-memory,135,3,0.022222222222222223,1489,3,6,5316,639,4677,0,2950
gpt-5.5,low,codebase-memory-bash-hook,36,0,0.0,457,0,0,0,0,0,0,500
gpt-5.5,low,codebase-memory-max,108,2,0.018518518518518517,1159,2,4,3544,426,3118,0,2950
gpt-5.5,low,codebase-memory-max-pi-codex-goal,108,1,0.009259259259259259,1544,1,2,1772,213,1559,0,2950
gpt-5.5,low,codebase-memory-reindex,36,0,0.0,446,0,0,0,0,0,0,325
gpt-5.5,low,codegraph-auto,36,0,0.0,420,0,0,0,0,0,0,1981
gpt-5.5,low,codegraph-cli-skill,108,2,0.018518518518518517,1383,2,4,3544,426,3118,0,2950
gpt-5.5,low,codegraph-cli-skill-seam-checkpoint,108,1,0.009259259259259259,1380,1,2,1772,213,1559,0,2950
gpt-5.5,low,codegraph-impact,36,0,0.0,436,0,0,0,0,0,0,405
gpt-5.5,low,codegraph-skill,135,0,0.0,1547,0,0,0,0,0,0,652
gpt-5.5,low,observational-memory-gpt54mini-low,108,1,0.009259259259259259,1237,1,2,1772,213,1559,0,2950
gpt-5.5,low,om-orchestration-only,108,0,0.0,1174,0,0,0,0,0,0,433
gpt-5.5,low,pi-check,108,0,0.0,1377,0,0,0,0,0,0,813
gpt-5.5,low,pi-codex-goal,108,2,0.018518518518518517,1610,2,4,3544,426,3118,0,2950
gpt-5.5,low,pi-dynamic-workflows,36,0,0.0,13,0,0,0,0,0,0,143
