task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
abs-module-cache-flags,7,5,0.7142857142857143,204,5,5,3075,535,2540,0,2615
abs-stepped-slices,7,0,0.0,191,0,0,0,0,0,0,323
actionlint-action-pinning-lint,182,1,0.005494505494505495,3225,1,1,5189,105,5084,0,7189
adaptix-name-mapping-aliases,239,0,0.0,5788,0,0,0,0,0,0,909
aiomonitor-task-snapshots-diff,7,0,0.0,212,0,0,0,0,0,0,323
anko-default-function-arguments,41,0,0.0,757,0,0,0,0,0,0,1071
anko-typed-variable-bindings,20,0,0.0,432,0,0,0,0,0,0,347
arcane-drift-detection-baselines,8,0,0.0,323,0,0,0,0,0,0,1536
arktype-json-schema-refs-dependencies,7,0,0.0,242,0,0,0,0,0,0,218
awilix-async-container-initialization,41,0,0.0,545,0,0,0,0,0,0,1946
bandit-incremental-cache-control,7,0,0.0,160,0,0,0,0,0,0,323
bandit-interprocedural-taint-checks,7,0,0.0,118,0,0,0,0,0,0,323
bandit-structured-nosec-directives,20,0,0.0,276,0,0,0,0,0,0,323
boa-hierarchical-evaluation-cancellation,41,1,0.024390243902439025,906,1,1,2315,109,2206,0,4315
cattrs-partial-structuring-recovery,41,0,0.0,540,0,0,0,0,0,0,1963
clack-async-autocomplete-options,20,0,0.0,344,0,0,0,0,0,0,323
claude-code-by-agents-recursive-delegation,239,1,0.0041841004184100415,2826,1,1,262,105,157,0,2262
cliffy-config-file-parsing,7,0,0.0,214,0,0,0,0,0,0,323
csstree-shorthand-expansion-compression,20,0,0.0,355,0,0,0,0,0,0,1305
dasel-html-document-format,7,0,0.0,153,0,0,0,0,0,0,323
dateutil-rfc5545-timezone-interop,251,2,0.00796812749003984,2774,5,5,19059,534,18525,0,15996
drizzle-orm-window-function-builders,162,0,0.0,3163,0,0,0,0,0,0,1091
dynamodb-toolbox-conditional-attribute-requirements,162,0,0.0,6012,0,0,0,0,0,0,909
dynamodb-toolbox-lazy-recursive-schemas,40,0,0.0,1845,0,0,0,0,0,0,1956
effect-sse-httpapi-streaming,20,0,0.0,898,0,0,0,0,0,0,315
eicrud-keyset-pagination-cursor,161,0,0.0,2289,0,0,0,0,0,0,909
etree-xml-diff-patch,166,0,0.0,1035,0,0,0,0,0,0,1832
expr-try-catch-errors,6,0,0.0,223,0,0,0,0,0,0,209
fastapi-deprecation-response-headers,159,0,0.0,3085,0,0,0,0,0,0,909
fastapi-implicit-head-options,40,0,0.0,727,0,0,0,0,0,0,1969
fd-deterministic-multi-key-sorting,164,67,0.40853658536585363,2296,69,138,122316,14697,107619,0,2953
geo-shapeindex-serialization,6,0,0.0,165,0,0,0,0,0,0,854
go-critic-doc-link-checker,231,0,0.0,3855,0,0,0,0,0,0,909
go-genai-streamed-function-args,7,0,0.0,224,0,0,0,0,0,0,594
go-git-worktree-merge-conflicts,158,0,0.0,2368,0,0,0,0,0,0,909
goreleaser-retry-publish-auditing,240,1,0.004166666666666667,4270,1,1,867,109,758,0,2867
gql-incremental-graphql-delivery,20,0,0.0,530,0,0,0,0,0,0,1657
happy-dom-abort-pending-body-reads,7,0,0.0,181,0,0,0,0,0,0,205
happy-dom-deterministic-intersectionobserver,158,0,0.0,1610,0,0,0,0,0,0,909
helm-array-merge-strategies,6,0,0.0,188,0,0,0,0,0,0,313
helm-unified-manifest-stream,6,0,0.0,201,0,0,0,0,0,0,382
httpx-deterministic-cookie-store,6,0,0.0,150,0,0,0,0,0,0,197
httpx-multipart-response-parsing,159,0,0.0,1604,0,0,0,0,0,0,909
httpx-streaming-json-iteration,41,0,0.0,412,0,0,0,0,0,0,1971
igel-persist-feature-schema,6,0,0.0,153,0,0,0,0,0,0,688
ink-grid-box-layout,6,0,0.0,145,0,0,0,0,0,0,323
ipython-session-bundle-replay,5,0,0.0,113,0,0,0,0,0,0,381
katex-multicolumn-array-spans,158,0,0.0,2467,0,0,0,0,0,0,909
kcp-go-multiplexed-kcp-streams,5,0,0.0,50,0,0,0,0,0,0,185
kea-atomic-signal-selectors,19,0,0.0,434,0,0,0,0,0,0,233
kgateway-consistent-hash-policy,40,1,0.025,657,2,2,880,218,662,0,2440
kombu-single-active-consumer-priority,19,0,0.0,457,0,0,0,0,0,0,115
kombu-virtual-queue-dead-lettering,6,0,0.0,133,0,0,0,0,0,0,115
koota-composite-trait-aspects,6,0,0.0,238,0,0,0,0,0,0,443
koota-deferred-mutation-buffer,19,1,0.05263157894736842,496,1,1,241,107,134,0,2241
koota-entity-snapshot-rollback,5,0,0.0,122,0,0,0,0,0,0,123
koota-pair-relation-tracking,5,0,0.0,192,0,0,0,0,0,0,218
koota-query-predicates,159,0,0.0,4132,0,0,0,0,0,0,909
kysely-window-grouping-helpers,6,0,0.0,227,0,0,0,0,0,0,224
langchain-request-coalescing,256,0,0.0,3565,0,0,0,0,0,0,909
mashumaro-flattened-dataclass-fields,180,0,0.0,2697,0,0,0,0,0,0,1957
meriyah-explicit-resource-declarations,157,1,0.006369426751592357,3460,1,1,5944,107,5837,0,7944
mnamer-daemon-watch-lifecycle,5,0,0.0,106,0,0,0,0,0,0,394
mobly-grouped-test-barriers,233,0,0.0,3219,0,0,0,0,0,0,909
narwhals-rolling-window-suite,6,0,0.0,212,0,0,0,0,0,0,139
