model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
deepseek-v4-flash,high,advisor,abs-module-cache-flags,0,results/deepseek-v4-flash/high/advisor/abs-module-cache-flags/rep0/session/2026-06-26T05-44-16-907Z_019f0275-1b0b-775f-b397-4b449ff76a4b.jsonl,29,27,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,advisor,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/advisor/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T07-20-25-914Z_019f02cd-223a-7152-88ff-e2b4a31f149f.jsonl,12,11,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,advisor,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/advisor/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T07-20-25-914Z_019f02cd-223a-7152-88ff-e2b4a31f149f.jsonl,12,11,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,advisor,goreleaser-retry-publish-auditing,0,results/deepseek-v4-flash/high/advisor/goreleaser-retry-publish-auditing/rep0/session/2026-06-26T07-42-49-823Z_019f02e1-a3df-7c6b-b741-290b09a2d0a4.jsonl,105,104,/app/internal/pipe/blob/upload.go,,,215,214,2867,1,867,107
deepseek-v4-flash,high,advisor,tengo-callable-instance-isolation,0,results/deepseek-v4-flash/high/advisor/tengo-callable-instance-isolation/rep0/session/2026-06-26T09-43-36-256Z_019f0350-3640-79b2-876a-ffca324167eb.jsonl,73,72,/app/stdlib/source_modules.go,,30,7,6,4092,1,2092,103
deepseek-v4-flash,high,baseline-preamble-orchestration,abs-module-cache-flags,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-24T22-09-01-667Z_019efbad-f2e3-70e7-a920-298ce24a6aa3.jsonl,19,17,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,baseline-preamble-orchestration,koota-deferred-mutation-buffer,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/koota-deferred-mutation-buffer/rep0/session/2026-06-25T05-46-09-314Z_019efd50-7622-7905-992c-f6a9284f4953.jsonl,94,93,/app/packages/core/src/deferred/deferred.ts,,80,43,42,2241,1,241,105
deepseek-v4-flash,high,ponytail-extension,abs-module-cache-flags,0,results/deepseek-v4-flash/high/ponytail-extension/abs-module-cache-flags/rep0/session/2026-06-25T03-30-19-944Z_019efcd4-1ca8-7286-895d-3a59d977ba89.jsonl,35,33,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,ponytail-extension,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/ponytail-extension/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-33-256Z_019efd09-6a68-7e83-ad2f-aafc1c5c4e2c.jsonl,18,15,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,ponytail-extension,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/ponytail-extension/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-33-256Z_019efd09-6a68-7e83-ad2f-aafc1c5c4e2c.jsonl,18,15,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,ponytail-extension,kgateway-consistent-hash-policy,0,results/deepseek-v4-flash/high/ponytail-extension/kgateway-consistent-hash-policy/rep0/session/2026-06-25T05-33-46-297Z_019efd45-1fb9-7eec-910a-42d7c0aba6ba.jsonl,87,86,/app/pkg/kgateway/extensions2/plugins/trafficpolicy/merge.go,410,100,430,20,2440,1,440,107
deepseek-v4-flash,high,ponytail-extension,kgateway-consistent-hash-policy,0,results/deepseek-v4-flash/high/ponytail-extension/kgateway-consistent-hash-policy/rep0/session/2026-06-25T05-33-46-297Z_019efd45-1fb9-7eec-910a-42d7c0aba6ba.jsonl,89,88,/app/pkg/kgateway/extensions2/plugins/trafficpolicy/merge.go,414,35,430,16,2440,1,440,107
