task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
abs-module-cache-flags,3,3,1.0,104,3,3,1845,321,1524,0,2615
abs-stepped-slices,3,0,0.0,68,0,0,0,0,0,0,213
actionlint-action-pinning-lint,3,0,0.0,123,0,0,0,0,0,0,674
adaptix-name-mapping-aliases,3,0,0.0,118,0,0,0,0,0,0,138
aiomonitor-task-snapshots-diff,3,0,0.0,85,0,0,0,0,0,0,252
anko-default-function-arguments,3,0,0.0,63,0,0,0,0,0,0,349
anko-typed-variable-bindings,3,0,0.0,77,0,0,0,0,0,0,347
arcane-drift-detection-baselines,3,0,0.0,133,0,0,0,0,0,0,500
arktype-json-schema-refs-dependencies,3,0,0.0,112,0,0,0,0,0,0,218
awilix-async-container-initialization,3,0,0.0,74,0,0,0,0,0,0,138
bandit-incremental-cache-control,3,0,0.0,63,0,0,0,0,0,0,120
bandit-interprocedural-taint-checks,3,0,0.0,61,0,0,0,0,0,0,120
bandit-structured-nosec-directives,3,0,0.0,58,0,0,0,0,0,0,122
boa-hierarchical-evaluation-cancellation,3,0,0.0,90,0,0,0,0,0,0,188
cattrs-partial-structuring-recovery,3,0,0.0,93,0,0,0,0,0,0,160
clack-async-autocomplete-options,3,0,0.0,78,0,0,0,0,0,0,119
claude-code-by-agents-recursive-delegation,3,0,0.0,69,0,0,0,0,0,0,349
cliffy-config-file-parsing,3,0,0.0,63,0,0,0,0,0,0,272
csstree-shorthand-expansion-compression,3,0,0.0,81,0,0,0,0,0,0,1305
dasel-html-document-format,3,0,0.0,66,0,0,0,0,0,0,168
dateutil-rfc5545-timezone-interop,3,0,0.0,64,0,0,0,0,0,0,100
drizzle-orm-window-function-builders,3,0,0.0,187,0,0,0,0,0,0,219
dynamodb-toolbox-conditional-attribute-requirements,3,0,0.0,234,0,0,0,0,0,0,139
dynamodb-toolbox-lazy-recursive-schemas,3,0,0.0,228,0,0,0,0,0,0,164
effect-sse-httpapi-streaming,3,0,0.0,143,0,0,0,0,0,0,145
eicrud-keyset-pagination-cursor,3,0,0.0,123,0,0,0,0,0,0,396
etree-xml-diff-patch,3,0,0.0,36,0,0,0,0,0,0,115
expr-try-catch-errors,3,0,0.0,96,0,0,0,0,0,0,209
fastapi-deprecation-response-headers,3,0,0.0,104,0,0,0,0,0,0,206
fastapi-implicit-head-options,3,0,0.0,58,0,0,0,0,0,0,206
fd-deterministic-multi-key-sorting,3,3,1.0,91,3,6,5316,639,4677,0,2950
geo-shapeindex-serialization,3,0,0.0,86,0,0,0,0,0,0,854
go-critic-doc-link-checker,3,0,0.0,77,0,0,0,0,0,0,137
go-genai-streamed-function-args,3,0,0.0,107,0,0,0,0,0,0,594
go-git-worktree-merge-conflicts,3,0,0.0,102,0,0,0,0,0,0,155
goreleaser-retry-publish-auditing,3,1,0.3333333333333333,96,1,1,867,109,758,0,2867
