model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,abs-module-cache-flags,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-26T05-34-18-554Z_019f026b-f9ba-70bc-9c4b-dbd059e4da12.jsonl,14,12,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,10,8,/app/src/main.rs,,,57,56,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,10,8,/app/src/main.rs,,,58,57,2822,1,822,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,62,61,/app/src/main.rs,57,40,58,1,2950,1,950,105
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-27T01-47-04-007Z_019f06c2-49c7-703f-9fb2-51015dfdb8f0.jsonl,62,61,/app/src/main.rs,57,40,59,2,2822,1,822,105
deepseek-v4-flash,high,baseline-preamble-orchestration,abs-module-cache-flags,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0/session/2026-06-24T22-09-01-667Z_019efbad-f2e3-70e7-a920-298ce24a6aa3.jsonl,19,17,/app/evaluator/stdlib.go,,,82,81,2615,1,615,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,57,56,2950,1,950,105
deepseek-v4-flash,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-25T04-28-31-849Z_019efd09-64e9-7344-81fa-189f412b2568.jsonl,18,15,/app/src/main.rs,,,58,57,2822,1,822,105
deepseek-v4-flash,high,baseline-preamble-orchestration,koota-deferred-mutation-buffer,0,results/deepseek-v4-flash/high/baseline-preamble-orchestration/koota-deferred-mutation-buffer/rep0/session/2026-06-25T05-46-09-314Z_019efd50-7622-7905-992c-f6a9284f4953.jsonl,94,93,/app/packages/core/src/deferred/deferred.ts,,80,43,42,2241,1,241,105
gpt-5.3-codex-spark,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.3-codex-spark/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T14-26-43-825Z_019f0453-6bf1-762c-9bee-14bfd9135def.jsonl,22,21,src/main.rs,,,57,56,2950,1,950,105
gpt-5.3-codex-spark,high,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.3-codex-spark/high/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T14-26-43-825Z_019f0453-6bf1-762c-9bee-14bfd9135def.jsonl,22,21,src/main.rs,,,58,57,2822,1,822,105
gpt-5.5,low,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/low/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-29T19-48-17-117Z_019f14ec-e45d-7083-8398-3091d40cca2d.jsonl,36,35,src/main.rs,1,140,57,56,2950,1,950,105
gpt-5.5,low,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/low/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-29T19-48-17-117Z_019f14ec-e45d-7083-8398-3091d40cca2d.jsonl,36,35,src/main.rs,1,140,58,57,2822,1,822,105
gpt-5.5,medium,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T19-21-42-473Z_019f0561-7b49-7a55-adcc-680050932a60.jsonl,28,27,src/main.rs,1,140,57,56,2950,1,950,105
gpt-5.5,medium,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-26T19-21-42-473Z_019f0561-7b49-7a55-adcc-680050932a60.jsonl,28,27,src/main.rs,1,140,58,57,2822,1,822,105
gpt-5.5,medium,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/medium/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-27T00-53-42-291Z_019f0691-6f13-74e9-9981-7819c55b09f7.jsonl,20,19,src/main.rs,1,480,57,56,2950,1,950,105
gpt-5.5,medium,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/medium/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-27T00-53-42-291Z_019f0691-6f13-74e9-9981-7819c55b09f7.jsonl,20,19,src/main.rs,1,480,58,57,2822,1,822,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-30T21-51-20-677Z_019f1a83-ea64-7fc5-b9d0-e4cdd80a8561.jsonl,26,25,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep0/session/2026-06-30T21-51-20-677Z_019f1a83-ea64-7fc5-b9d0-e4cdd80a8561.jsonl,26,25,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-30T21-54-01-152Z_019f1a86-5d40-79b6-a384-754b8aeebd4d.jsonl,24,23,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,1,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep1/session/2026-06-30T21-54-01-152Z_019f1a86-5d40-79b6-a384-754b8aeebd4d.jsonl,24,23,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep2/session/2026-06-30T21-56-45-361Z_019f1a88-deb1-7d43-86ac-5502c60d00d7.jsonl,32,31,src/main.rs,1,500,57,56,2950,1,950,105
gpt-5.5,xhigh,baseline-preamble-orchestration,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/xhigh/baseline-preamble-orchestration/fd-deterministic-multi-key-sorting/rep2/session/2026-06-30T21-56-45-361Z_019f1a88-deb1-7d43-86ac-5502c60d00d7.jsonl,32,31,src/main.rs,1,500,58,57,2822,1,822,105
gpt-5.5,xhigh,baseline-preamble-orchestration,obsidian-linter-auto-table-of-contents,1,results/gpt-5.5/xhigh/baseline-preamble-orchestration/obsidian-linter-auto-table-of-contents/rep1/session/2026-06-30T03-09-05-623Z_019f1680-76d7-7416-a687-9da1c2ea7334.jsonl,144,143,docs/docs/settings/heading-rules.md,,140,22,21,3510,1,1510,105
gpt-5.5,xhigh,baseline-preamble-orchestration,obsidian-linter-auto-table-of-contents,1,results/gpt-5.5/xhigh/baseline-preamble-orchestration/obsidian-linter-auto-table-of-contents/rep1/session/2026-06-30T03-09-05-623Z_019f1680-76d7-7416-a687-9da1c2ea7334.jsonl,146,145,docs/rules.md,1000,160,1037,37,3440,1,1440,109
