task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
abs-module-cache-flags,4,2,0.5,115,2,2,1230,214,1016,0,2615
abs-stepped-slices,4,0,0.0,134,0,0,0,0,0,0,213
actionlint-action-pinning-lint,13,0,0.0,376,0,0,0,0,0,0,350
adaptix-name-mapping-aliases,13,0,0.0,364,0,0,0,0,0,0,174
aiomonitor-task-snapshots-diff,4,0,0.0,128,0,0,0,0,0,0,252
anko-default-function-arguments,13,0,0.0,301,0,0,0,0,0,0,349
anko-typed-variable-bindings,13,0,0.0,276,0,0,0,0,0,0,347
arcane-drift-detection-baselines,4,0,0.0,119,0,0,0,0,0,0,500
arktype-json-schema-refs-dependencies,4,0,0.0,142,0,0,0,0,0,0,218
awilix-async-container-initialization,13,0,0.0,244,0,0,0,0,0,0,214
bandit-incremental-cache-control,4,0,0.0,92,0,0,0,0,0,0,196
bandit-interprocedural-taint-checks,4,0,0.0,51,0,0,0,0,0,0,120
bandit-structured-nosec-directives,13,0,0.0,167,0,0,0,0,0,0,122
boa-hierarchical-evaluation-cancellation,13,0,0.0,388,0,0,0,0,0,0,188
cattrs-partial-structuring-recovery,13,0,0.0,250,0,0,0,0,0,0,160
clack-async-autocomplete-options,13,0,0.0,202,0,0,0,0,0,0,293
claude-code-by-agents-recursive-delegation,12,0,0.0,234,0,0,0,0,0,0,878
cliffy-config-file-parsing,4,0,0.0,135,0,0,0,0,0,0,272
csstree-shorthand-expansion-compression,13,0,0.0,217,0,0,0,0,0,0,1305
dasel-html-document-format,4,0,0.0,95,0,0,0,0,0,0,202
dateutil-rfc5545-timezone-interop,14,0,0.0,243,0,0,0,0,0,0,100
drizzle-orm-window-function-builders,12,0,0.0,441,0,0,0,0,0,0,941
dynamodb-toolbox-conditional-attribute-requirements,12,0,0.0,1187,0,0,0,0,0,0,174
dynamodb-toolbox-lazy-recursive-schemas,13,0,0.0,885,0,0,0,0,0,0,208
effect-sse-httpapi-streaming,13,0,0.0,610,0,0,0,0,0,0,315
eicrud-keyset-pagination-cursor,12,0,0.0,341,0,0,0,0,0,0,396
etree-xml-diff-patch,13,0,0.0,119,0,0,0,0,0,0,150
expr-try-catch-errors,4,0,0.0,159,0,0,0,0,0,0,209
fastapi-deprecation-response-headers,12,0,0.0,383,0,0,0,0,0,0,206
fastapi-implicit-head-options,13,0,0.0,307,0,0,0,0,0,0,206
