model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
deepseek-v4-flash-0731,max,baseline-deepseek-v4-flash-0731@1.0.0,dateutil-rfc5545-timezone-interop,1,results/deepseek-v4-flash-0731/max/baseline-deepseek-v4-flash-0731@1.0.0/dateutil-rfc5545-timezone-interop/rep1/session/2026-08-02T10-09-20-961Z_019fc1f3-1441-75d1-8679-8be843f97495.jsonl,82,81,/tmp/test.patch,480,,807,327,2170,1,170,107
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-07T14-21-12-782Z_019f3cf4-52ce-7c91-9bf4-28fafb980dee.jsonl,22,21,src/main.rs,1,470,57,56,2950,1,950,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-07T14-21-12-782Z_019f3cf4-52ce-7c91-9bf4-28fafb980dee.jsonl,22,21,src/main.rs,1,470,58,57,2822,1,822,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-07T14-22-08-830Z_019f3cf5-2dbe-708e-b90b-5542e1171c5d.jsonl,26,25,src/main.rs,1,330,57,56,2950,1,950,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-07T14-22-08-830Z_019f3cf5-2dbe-708e-b90b-5542e1171c5d.jsonl,26,25,src/main.rs,1,330,58,57,2822,1,822,105
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,150,149,/tmp/1123.json,1,300,1,0,15996,1,13996,104
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,152,151,/tmp/files.json,1,200,1,0,4697,1,2697,103
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,166,165,/tmp/pr1219files.json,1,100,1,0,4026,1,2026,103
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,190,189,/tmp/tests_test.patch,1,1200,807,806,2170,1,170,107
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T14-47-46-711Z_019f8f72-6517-71f1-9abd-fb4e28c7aab2.jsonl,15,12,src/main.rs,1,2000,57,56,2950,1,950,105
