model_leaf,thinking,config,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
Laguna-S-2.1-INT4,high,baseline-laguna-s21,15,0,0.0,416,0,0,0,0,0,0,1463
Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-qwen36-27b,36,0,0.0,951,0,0,0,0,0,0,1463
ThinkingCap-Qwen3.6-27B,high,baseline-thinkingcap-qwen36,35,0,0.0,709,0,0,0,0,0,0,1463
ThinkingCap-Qwen3.6-27B,high,baseline-thinkingcap-qwen36-temp06,36,0,0.0,443,0,0,0,0,0,0,1463
deepseek-v4-flash-0731,max,baseline-deepseek-v4-flash-0731@1.0.0,14,1,0.07142857142857142,164,1,1,170,109,61,0,2170
deepseek-v4-flash-0731,max,baseline-openrouter-deepseek-v4-flash-0731@1.0.0,36,0,0.0,558,0,0,0,0,0,0,1463
gemma-4-31b,high,baseline-gemma4-31b@1.0.0,36,0,0.0,248,0,0,0,0,0,0,1463
gpt-5.5,low,baseline,108,0,0.0,1147,0,0,0,0,0,0,424
gpt-5.5,medium,baseline,108,2,0.018518518518518517,1715,2,4,3544,426,3118,0,2950
gpt-5.6-luna,high,baseline@1.0.0,36,0,0.0,685,0,0,0,0,0,0,1463
gpt-5.6-luna,low,baseline@1.0.0,36,0,0.0,124,0,0,0,0,0,0,425
gpt-5.6-luna,max,baseline@1.0.0,36,1,0.027777777777777776,1159,4,4,18889,425,18464,0,15996
gpt-5.6-sol,high,baseline,108,4,0.037037037037037035,2739,4,7,11260,746,10514,0,7944
gpt-5.6-sol,low,baseline,108,2,0.018518518518518517,924,2,4,3544,426,3118,0,2950
gpt-5.6-sol,medium,baseline,108,3,0.027777777777777776,1832,3,6,5316,639,4677,0,2950
ornith-1.0-35b,high,baseline-ornith-35b@1.0.0,36,0,0.0,1146,0,0,0,0,0,0,1463
ornith-1.0-35b,high,baseline-ornith-35b@1.1.0,9,0,0.0,284,0,0,0,0,0,0,1463
qwen-agentworld-35b-a3b,high,baseline-qwen-agentworld-35b@1.0.0,108,4,0.037037037037037035,3467,5,9,52228,958,51270,0,47140
thinkingcap-qwen3.6-27b-awq-int4,high,baseline-thinkingcap-qwen36@1.1.0,108,3,0.027777777777777776,2846,3,6,5316,639,4677,0,2950
