task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
actionlint-action-pinning-lint,21,0,0.0,480,0,0,0,0,0,0,790
adaptix-name-mapping-aliases,48,0,0.0,1283,0,0,0,0,0,0,215
claude-code-by-agents-recursive-delegation,48,0,0.0,728,0,0,0,0,0,0,349
dateutil-rfc5545-timezone-interop,54,2,0.037037037037037035,718,5,5,19059,534,18525,0,15996
drizzle-orm-window-function-builders,21,0,0.0,560,0,0,0,0,0,0,231
dynamodb-toolbox-conditional-attribute-requirements,21,0,0.0,1177,0,0,0,0,0,0,325
eicrud-keyset-pagination-cursor,21,0,0.0,495,0,0,0,0,0,0,396
etree-xml-diff-patch,21,0,0.0,146,0,0,0,0,0,0,1832
fastapi-deprecation-response-headers,21,0,0.0,447,0,0,0,0,0,0,206
fd-deterministic-multi-key-sorting,21,16,0.7619047619047619,385,17,34,30124,3621,26503,0,2950
go-critic-doc-link-checker,48,0,0.0,1012,0,0,0,0,0,0,880
go-git-worktree-merge-conflicts,21,0,0.0,437,0,0,0,0,0,0,239
goreleaser-retry-publish-auditing,48,0,0.0,1110,0,0,0,0,0,0,227
happy-dom-deterministic-intersectionobserver,21,0,0.0,310,0,0,0,0,0,0,245
httpx-multipart-response-parsing,21,0,0.0,297,0,0,0,0,0,0,197
katex-multicolumn-array-spans,21,0,0.0,423,0,0,0,0,0,0,489
koota-query-predicates,21,0,0.0,652,0,0,0,0,0,0,358
langchain-request-coalescing,56,0,0.0,916,0,0,0,0,0,0,761
mashumaro-flattened-dataclass-fields,21,0,0.0,541,0,0,0,0,0,0,462
meriyah-explicit-resource-declarations,21,1,0.047619047619047616,599,1,1,5944,107,5837,0,7944
mobly-grouped-test-barriers,51,0,0.0,822,0,0,0,0,0,0,159
obsidian-linter-link-format-conversion,56,0,0.0,944,0,0,0,0,0,0,1463
participle-grammar-conflict-analysis,54,0,0.0,743,0,0,0,0,0,0,217
pest-character-class-coalescing,21,1,0.047619047619047616,352,1,1,45140,106,45034,0,47140
psd-tools-blend-range-api,21,0,0.0,289,0,0,0,0,0,0,147
scc-bounded-memory-spilling,21,0,0.0,321,0,0,0,0,0,0,466
sql-formatter-bigquery-pipe-formatting,48,0,0.0,1016,0,0,0,0,0,0,426
superjson-error-stack-serialization,54,0,0.0,764,0,0,0,0,0,0,601
tengo-callable-instance-isolation,48,0,0.0,1163,0,0,0,0,0,0,1311
tengo-destructuring-bindings,21,0,0.0,650,0,0,0,0,0,0,122
textual-kitty-key-phases,21,0,0.0,278,0,0,0,0,0,0,390
true-myth-iterable-collection-combinators,21,0,0.0,358,0,0,0,0,0,0,373
updo-policy-alerting,21,0,0.0,312,0,0,0,0,0,0,276
vulture-persistent-analysis-cache,21,0,0.0,266,0,0,0,0,0,0,147
wazero-multi-module-snapshots,21,0,0.0,175,0,0,0,0,0,0,192
yjs-map-conflict-detection,21,0,0.0,388,0,0,0,0,0,0,342
