model_leaf,thinking,config,task,rep,session_path,record_line,call_record_line,path,offset,limit,source_line,result_line_index,line_characters,ordinary_affected,omitted_characters,notice_characters
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-07T14-21-12-782Z_019f3cf4-52ce-7c91-9bf4-28fafb980dee.jsonl,22,21,src/main.rs,1,470,57,56,2950,1,950,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-07T14-21-12-782Z_019f3cf4-52ce-7c91-9bf4-28fafb980dee.jsonl,22,21,src/main.rs,1,470,58,57,2822,1,822,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-07T14-22-08-830Z_019f3cf5-2dbe-708e-b90b-5542e1171c5d.jsonl,26,25,src/main.rs,1,330,57,56,2950,1,950,105
gpt-5.5,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.5/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-07T14-22-08-830Z_019f3cf5-2dbe-708e-b90b-5542e1171c5d.jsonl,26,25,src/main.rs,1,330,58,57,2822,1,822,105
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,150,149,/tmp/1123.json,1,300,1,0,15996,1,13996,104
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,152,151,/tmp/files.json,1,200,1,0,4697,1,2697,103
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,166,165,/tmp/pr1219files.json,1,100,1,0,4026,1,2026,103
gpt-5.6-luna,max,baseline@1.0.0,dateutil-rfc5545-timezone-interop,0,results/gpt-5.6-luna/max/baseline@1.0.0/dateutil-rfc5545-timezone-interop/rep0/session/2026-07-31T18-03-46-661Z_019fb958-b665-786c-95eb-a83d79695811.jsonl,190,189,/tmp/tests_test.patch,1,1200,807,806,2170,1,170,107
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T14-47-46-711Z_019f8f72-6517-71f1-9abd-fb4e28c7aab2.jsonl,15,12,src/main.rs,1,2000,57,56,2950,1,950,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T14-47-46-711Z_019f8f72-6517-71f1-9abd-fb4e28c7aab2.jsonl,15,12,src/main.rs,1,2000,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T14-48-16-294Z_019f8f72-d8a6-726c-ad07-7f97f69c07d6.jsonl,15,13,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T14-48-16-294Z_019f8f72-d8a6-726c-ad07-7f97f69c07d6.jsonl,15,13,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T14-49-42-066Z_019f8f74-27b2-748e-b982-790d12e489c7.jsonl,13,10,src/main.rs,,,57,56,2950,1,950,105
gpt-5.6-sol,high,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/high/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T14-49-42-066Z_019f8f74-27b2-748e-b982-790d12e489c7.jsonl,13,10,src/main.rs,,,58,57,2822,1,822,105
gpt-5.6-sol,high,baseline,meriyah-explicit-resource-declarations,0,results/gpt-5.6-sol/high/baseline/meriyah-explicit-resource-declarations/rep0/session/2026-07-23T14-27-45-988Z_019f8f60-12c4-7c66-9d18-a4b2bd8fd762.jsonl,47,46,src/unicode.ts,1,50,23,22,7944,1,5944,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T06-02-09-196Z_019f8d91-2bac-7bb4-97ec-14c17fc3d07a.jsonl,11,9,src/main.rs,1,300,57,56,2950,1,950,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T06-02-09-196Z_019f8d91-2bac-7bb4-97ec-14c17fc3d07a.jsonl,11,9,src/main.rs,1,300,58,57,2822,1,822,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T06-02-58-680Z_019f8d91-ecf8-7901-895c-6695ee58db86.jsonl,10,7,src/main.rs,,240,57,56,2950,1,950,105
gpt-5.6-sol,low,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/low/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T06-02-58-680Z_019f8d91-ecf8-7901-895c-6695ee58db86.jsonl,10,7,src/main.rs,,240,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T13-39-51-160Z_019f8f34-34f8-72e5-a3ba-2d0c8707f3c1.jsonl,15,13,src/main.rs,1,560,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,0,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep0/session/2026-07-23T13-39-51-160Z_019f8f34-34f8-72e5-a3ba-2d0c8707f3c1.jsonl,15,13,src/main.rs,1,560,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T13-39-51-123Z_019f8f34-34d3-733d-b1b6-250f851c2ea2.jsonl,17,13,src/main.rs,1,520,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,1,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep1/session/2026-07-23T13-39-51-123Z_019f8f34-34d3-733d-b1b6-250f851c2ea2.jsonl,17,13,src/main.rs,1,520,58,57,2822,1,822,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T13-39-51-067Z_019f8f34-349b-7cb1-9ab9-d88798799f29.jsonl,13,11,src/main.rs,1,700,57,56,2950,1,950,105
gpt-5.6-sol,medium,baseline,fd-deterministic-multi-key-sorting,2,results/gpt-5.6-sol/medium/baseline/fd-deterministic-multi-key-sorting/rep2/session/2026-07-23T13-39-51-067Z_019f8f34-349b-7cb1-9ab9-d88798799f29.jsonl,13,11,src/main.rs,1,700,58,57,2822,1,822,105
