task,reps,activated_reps,activation_rate,read_results,ordinary_long_read_results,ordinary_long_lines,omitted_characters,notice_characters,net_characters_saved,censored_first_line_results,max_line_characters
actionlint-action-pinning-lint,15,0,0.0,314,0,0,0,0,0,0,790
adaptix-name-mapping-aliases,24,0,0.0,510,0,0,0,0,0,0,215
claude-code-by-agents-recursive-delegation,24,0,0.0,298,0,0,0,0,0,0,350
dateutil-rfc5545-timezone-interop,24,1,0.041666666666666664,221,4,4,18889,425,18464,0,15996
drizzle-orm-window-function-builders,15,0,0.0,293,0,0,0,0,0,0,231
dynamodb-toolbox-conditional-attribute-requirements,15,0,0.0,727,0,0,0,0,0,0,325
eicrud-keyset-pagination-cursor,15,0,0.0,323,0,0,0,0,0,0,396
etree-xml-diff-patch,15,0,0.0,82,0,0,0,0,0,0,1832
fastapi-deprecation-response-headers,15,0,0.0,258,0,0,0,0,0,0,206
fd-deterministic-multi-key-sorting,15,10,0.6666666666666666,193,10,20,17720,2130,15590,0,2950
go-critic-doc-link-checker,24,0,0.0,392,0,0,0,0,0,0,880
go-git-worktree-merge-conflicts,15,0,0.0,232,0,0,0,0,0,0,239
goreleaser-retry-publish-auditing,24,0,0.0,553,0,0,0,0,0,0,226
happy-dom-deterministic-intersectionobserver,15,0,0.0,191,0,0,0,0,0,0,225
httpx-multipart-response-parsing,15,0,0.0,159,0,0,0,0,0,0,197
katex-multicolumn-array-spans,15,0,0.0,212,0,0,0,0,0,0,489
koota-query-predicates,15,0,0.0,392,0,0,0,0,0,0,358
langchain-request-coalescing,24,0,0.0,267,0,0,0,0,0,0,324
mashumaro-flattened-dataclass-fields,15,0,0.0,232,0,0,0,0,0,0,462
meriyah-explicit-resource-declarations,15,1,0.06666666666666667,338,1,1,5944,107,5837,0,7944
mobly-grouped-test-barriers,24,0,0.0,325,0,0,0,0,0,0,144
obsidian-linter-link-format-conversion,24,0,0.0,385,0,0,0,0,0,0,1463
participle-grammar-conflict-analysis,24,0,0.0,179,0,0,0,0,0,0,217
pest-character-class-coalescing,15,0,0.0,207,0,0,0,0,0,0,173
psd-tools-blend-range-api,15,0,0.0,152,0,0,0,0,0,0,147
scc-bounded-memory-spilling,15,0,0.0,212,0,0,0,0,0,0,466
sql-formatter-bigquery-pipe-formatting,24,0,0.0,436,0,0,0,0,0,0,426
superjson-error-stack-serialization,24,0,0.0,250,0,0,0,0,0,0,604
tengo-callable-instance-isolation,24,0,0.0,562,0,0,0,0,0,0,1311
tengo-destructuring-bindings,15,0,0.0,315,0,0,0,0,0,0,122
textual-kitty-key-phases,15,0,0.0,167,0,0,0,0,0,0,390
true-myth-iterable-collection-combinators,15,0,0.0,212,0,0,0,0,0,0,373
updo-policy-alerting,15,0,0.0,200,0,0,0,0,0,0,276
vulture-persistent-analysis-cache,15,0,0.0,160,0,0,0,0,0,0,147
wazero-multi-module-snapshots,15,0,0.0,113,0,0,0,0,0,0,192
yjs-map-conflict-detection,15,0,0.0,263,0,0,0,0,0,0,325
