cell_id,task,model,thinking_level,config,rep,language,category,reward_binary,reward_partial,total_tokens,turns,tool_calls,agent_wall_s,log_total_tokens,log_turns,log_agent_wall_s,session_bytes,session_malformed_records,session_unresolved_tool_calls,session_orphan_tool_results,terminal_stop_reason,repeated_normalized_tool_actions,repeated_normalized_tool_action_rate,repeated_read_targets,repeated_read_target_rate,repeated_search_actions,repeated_search_action_rate,observable_test_runs,repeated_tests_without_observed_edit,repeated_unchanged_test_failures,test_failure_to_pass_transitions,test_pass_to_failure_transitions,direct_mutation_calls,failed_direct_mutation_calls,direct_mutation_target_revisits,exact_inverse_edit_pairs,strategy_reset_turns,strategy_reset_turn_rate,opaque_top_level_tool_calls,semantic_event_coverage,within_task_token_robust_z,within_task_turn_robust_z
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep0,abs-module-cache-flags,zai/glm-5.2,max,baseline@1.1.0,0,go,enhancement,0,0.5217391304347826,6803441,135,134,947.0,15.732939218552827,4.912654885736052,6.854354502255021,530083,0,0,0,stop,2,0.01492537,27,0.77142857,0,0.0,2,0,0,0,0,20,0,15,0,1,0.00740741,0,1.0,7.076596256374856,5.008125028526656
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep1,abs-module-cache-flags,zai/glm-5.2,max,baseline@1.1.0,1,go,enhancement,0,0.5217391304347826,4329810,93,109,901.4,15.28103445006529,4.543294782270004,6.805057880743794,412744,0,0,0,stop,2,0.01834862,3,0.42857143,0,0.0,5,0,0,0,0,14,0,7,0,1,0.01075269,0,1.0,6.061346824867589,3.9417117613597967
glm-5.2/max/baseline@1.1.0/abs-module-cache-flags/rep2,abs-module-cache-flags,zai/glm-5.2,max,baseline@1.1.0,2,go,enhancement,1,1.0,6159306,111,125,1053.2,15.633474829181102,4.718498871295094,6.960537464421106,516572,0,0,0,stop,1,0.008,22,0.66666667,0,0.0,17,0,0,0,0,22,2,17,0,0,0.0,0,1.0,6.8531395198973195,4.4475594781135745
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep0,fd-deterministic-multi-key-sorting,zai/glm-5.2,max,baseline@1.1.0,0,rust,feature_request,1,1.0,11689634,136,135,1254.3,16.274213109693044,4.919980925828125,7.135129866824163,636596,0,0,0,stop,2,0.01481481,14,0.51851852,0,0.0,12,0,0,0,0,20,1,10,0,2,0.01470588,0,1.0,3.8004441547274577,2.5735037395546585
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep1,fd-deterministic-multi-key-sorting,zai/glm-5.2,max,baseline@1.1.0,1,rust,feature_request,0,0.993421052631579,7848141,102,110,906.8,15.875787373845501,4.634728988229636,6.811024090022365,583612,0,0,0,stop,1,0.00909091,9,0.36,0,0.0,8,0,0,0,0,17,0,8,0,0,0.0,0,1.0,3.311178069175943,2.0794929523075374
glm-5.2/max/baseline@1.1.0/fd-deterministic-multi-key-sorting/rep2,fd-deterministic-multi-key-sorting,zai/glm-5.2,max,baseline@1.1.0,2,rust,feature_request,1,1.0,10509091,126,133,1147.2,16.167751345210405,4.844187086458591,7.045950777733537,693446,0,0,0,stop,1,0.0075188,17,0.56666667,0,0.0,12,0,0,0,0,29,3,18,0,0,0.0,0,1.0,3.6697092998152256,2.4422409177464903
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep0,actionlint-action-pinning-lint,openai-codex/gpt-5.5,low,baseline,0,go,feature_request,1,1.0,779747,40,42,183.0,13.566726069542105,3.713572066704308,5.214935757608986,198866,0,0,0,stop,1,0.02380952,9,0.5625,0,0.0,4,0,0,0,0,8,1,2,0,0,0.0,0,1.0,-0.4744072578884178,-0.08074526776248127
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep1,actionlint-action-pinning-lint,openai-codex/gpt-5.5,low,baseline,1,go,feature_request,1,1.0,884652,46,45,248.6,13.692950756707049,3.8501476017100584,5.519859636495273,215584,0,0,0,stop,0,0.0,7,0.46666667,0,0.0,3,0,0,0,0,13,1,8,0,0,0.0,0,1.0,-0.3310020263835861,0.22675520784078745
gpt-5.5/low/baseline/actionlint-action-pinning-lint/rep2,actionlint-action-pinning-lint,openai-codex/gpt-5.5,low,baseline,2,go,feature_request,1,1.0,692991,40,42,250.5,13.448773734093864,3.713572066704308,5.527442989539794,195799,0,0,0,stop,0,0.0,9,0.52941176,0,0.0,3,0,0,0,0,10,2,6,1,0,0.0,0,1.0,-0.6084141811885077,-0.08074526776248127
gpt-5.5/low/baseline/adaptix-name-mapping-aliases/rep0,adaptix-name-mapping-aliases,openai-codex/gpt-5.5,low,baseline,0,python,feature_request,0,0.9974838245866283,2083352,63,62,338.2,14.549489172999918,4.1588830833596715,5.826589903917748,400177,0,0,0,stop,5,0.08064516,9,0.45,0,0.0,8,0,0,2,0,21,0,12,0,0,0.0,0,1.0,-0.2287288850076084,-0.029193393951242284
