cell_id,task,model,thinking_level,config,rep,language,category,reward_binary,reward_partial,total_tokens,turns,tool_calls,agent_wall_s,log_total_tokens,log_turns,log_agent_wall_s,session_bytes,session_malformed_records,session_unresolved_tool_calls,session_orphan_tool_results,terminal_stop_reason,repeated_normalized_tool_actions,repeated_normalized_tool_action_rate,repeated_read_targets,repeated_read_target_rate,repeated_search_actions,repeated_search_action_rate,observable_test_runs,repeated_tests_without_observed_edit,repeated_unchanged_test_failures,test_failure_to_pass_transitions,test_pass_to_failure_transitions,direct_mutation_calls,failed_direct_mutation_calls,direct_mutation_target_revisits,exact_inverse_edit_pairs,strategy_reset_turns,strategy_reset_turn_rate,opaque_top_level_tool_calls,semantic_event_coverage,within_task_token_robust_z,within_task_turn_robust_z
Laguna-S-2.1-INT4/high/baseline-laguna-s21/superjson-error-stack-serialization/rep0,superjson-error-stack-serialization,local-vllm/poolside/Laguna-S-2.1-INT4,high,baseline-laguna-s21,0,typescript,feature_request,0,0.923469387755102,6001928,56,68,1534.6,15.607591475522279,4.04305126783455,7.336676463126643,697416,0,0,0,stop,5,0.07352941,12,0.42857143,0,0.0,0,0,0,0,0,11,4,4,0,0,0.0,0,1.0,2.0323187978186383,0.8261119532487208
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/abs-module-cache-flags/rep0,abs-module-cache-flags,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,go,enhancement,0,0.5652173913043478,5262810,70,77,5100.1,15.476175852613766,4.2626798770413155,8.537211481729987,505750,0,7,0,error,9,0.11688312,12,0.54545455,0,0.0,3,0,0,0,0,18,1,13,0,1,0.01428571,0,1.0,2.2925972601595794,1.6184961959849995
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/go-genai-streamed-function-args/rep0,go-genai-streamed-function-args,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,go,feature_request,0,0.9264705882352942,8192716,118,121,3316.4,15.91875614684545,4.77912349311153,8.106936622571942,608886,0,0,0,stop,10,0.08264463,27,0.675,0,0.0,16,0,0,1,0,30,1,24,0,0,0.0,0,1.0,1.7203599757086805,4.961273061190603
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/happy-dom-deterministic-intersectionobserver/rep0,happy-dom-deterministic-intersectionobserver,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,typescript,feature_request,0,0.391304347826087,436686,36,48,2469.4,12.986971970310611,3.6109179126442243,7.8121353598304575,113853,0,6,0,error,4,0.08333333,0,0.0,0,0.0,1,0,0,0,0,2,0,0,0,0,0.0,0,1.0,0.1230796298684523,0.6744907594765952
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/httpx-streaming-json-iteration/rep0,httpx-streaming-json-iteration,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,python,feature_request,0,0.9847883597883598,7180565,107,111,4137.5,15.786888768001045,4.68213122712422,8.32808868232545,503152,0,2,0,stop,5,0.04504505,17,0.70833333,0,0.0,11,1,0,0,0,9,7,6,0,2,0.01869159,0,1.0,4.558659297099837,4.083652236306167
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/kcp-go-multiplexed-kcp-streams/rep0,kcp-go-multiplexed-kcp-streams,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,go,feature_request,0,0.2857142857142857,108060,9,14,1673.5,11.59045116147332,2.302585092994046,7.423269892234259,132876,0,4,0,error,3,0.21428571,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0,1.0,-2.320281489761991,-3.473725573286964
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/kombu-virtual-queue-dead-lettering/rep0,kombu-virtual-queue-dead-lettering,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,python,feature_request,0,0.9905913978494624,3571000,85,91,4442.8,15.08835650661015,4.454347296253507,8.399265145246337,396929,0,7,0,error,6,0.06593407,16,0.61538462,0,0.0,8,0,0,0,0,13,5,10,0,1,0.01176471,0,1.0,6.97424078844115,2.7156029574403595
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/superjson-error-stack-serialization/rep0,superjson-error-stack-serialization,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,typescript,feature_request,0,0.9081632653061225,3500524,78,86,3001.4,15.068423515210768,4.3694478524670215,8.007167247820812,355976,0,2,0,stop,11,0.12790698,16,0.51612903,0,0.0,8,1,0,1,1,25,4,17,0,0,0.0,0,1.0,1.568439767263898,1.4500862816031792
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-preamble-orchestration/wasmi-trap-coredumps/rep0,wasmi-trap-coredumps,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-preamble-orchestration,0,rust,feature_request,0,0.7625,13548201,137,141,4701.7,16.421764402758456,4.927253685157205,8.455892090839633,719517,0,3,0,stop,13,0.09219858,17,0.425,0,0.0,17,1,0,0,0,34,0,24,2,1,0.00729927,0,1.0,2.7752610539673324,3.3589427828622336
Qwen3.6-27B-AWQ-BF16-INT4/high/baseline-qwen36-27b/superjson-error-stack-serialization/rep0,superjson-error-stack-serialization,local-vllm/cyankiwi/Qwen3.6-27B-AWQ-BF16-INT4,high,baseline-qwen36-27b,0,typescript,feature_request,0,0.8826530612244898,4160654,76,83,997.2,15.24118307176627,4.343805421853684,6.905953657035509,412761,0,0,0,stop,3,0.03614458,3,0.21428571,0,0.0,7,1,0,0,0,41,1,30,1,4,0.05263158,0,1.0,1.717075334495549,1.4010654916419436
