task,rep,title,difficulty,language,pass_rate,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_f2p_passed,baseline_f2p_total,baseline_p2p_passed,baseline_p2p_total,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,baseline_agent_timed_out,baseline_agent_exit,baseline_verifier_exit,pi-fabric_reward_binary,pi-fabric_reward_partial,pi-fabric_f2p,pi-fabric_p2p,pi-fabric_f2p_passed,pi-fabric_f2p_total,pi-fabric_p2p_passed,pi-fabric_p2p_total,pi-fabric_combined_total_tokens,pi-fabric_combined_cost_usd,pi-fabric_agent_wall_s,pi-fabric_turns,pi-fabric_tool_calls,pi-fabric_patch_bytes,pi-fabric_agent_timed_out,pi-fabric_agent_exit,pi-fabric_verifier_exit,pi-fabric-pr10@0.28.11_reward_binary,pi-fabric-pr10@0.28.11_reward_partial,pi-fabric-pr10@0.28.11_f2p,pi-fabric-pr10@0.28.11_p2p,pi-fabric-pr10@0.28.11_f2p_passed,pi-fabric-pr10@0.28.11_f2p_total,pi-fabric-pr10@0.28.11_p2p_passed,pi-fabric-pr10@0.28.11_p2p_total,pi-fabric-pr10@0.28.11_combined_total_tokens,pi-fabric-pr10@0.28.11_combined_cost_usd,pi-fabric-pr10@0.28.11_agent_wall_s,pi-fabric-pr10@0.28.11_turns,pi-fabric-pr10@0.28.11_tool_calls,pi-fabric-pr10@0.28.11_patch_bytes,pi-fabric-pr10@0.28.11_agent_timed_out,pi-fabric-pr10@0.28.11_agent_exit,pi-fabric-pr10@0.28.11_verifier_exit,baseline_session_affected,pi-fabric_session_affected,pi-fabric-pr10@0.28.11_session_affected
updo-policy-alerting,0,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,1,1.0,1.0,1.0,17,17,123,123,232751,0.49411,185.8,17,21,16638,False,0,0,0,0.9285714285714286,0.4117647058823529,1.0,7,17,123,123,428306,0.716233,262.0,15,14,26304,False,0,0,0,0.9928571428571429,0.9411764705882353,1.0,16,17,123,123,301967,0.649308,238.6,15,14,26805,False,0,0,False,False,False
updo-policy-alerting,1,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,1,1.0,1.0,1.0,17,17,123,123,346609,0.651679,235.1,20,23,22253,False,0,0,1,1.0,1.0,1.0,17,17,123,123,376702,0.609179,247.2,16,15,23435,False,0,0,0,0.9928571428571429,0.9411764705882353,1.0,16,17,123,123,254307,0.52134,187.6,13,12,24428,False,0,0,False,False,False
updo-policy-alerting,2,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,0,0.9857142857142858,0.8823529411764706,1.0,15,17,123,123,215284,0.472036,197.5,16,19,14760,False,0,0,0,0.9285714285714286,0.4117647058823529,1.0,7,17,123,123,818195,1.114191,385.4,24,23,31502,False,0,0,1,1.0,1.0,1.0,17,17,123,123,722683,1.01031,346.8,22,21,25525,False,0,0,False,False,False
superjson-error-stack-serialization,0,Add error stack serialization to SuperJSON,hard,typescript,16,1,1.0,1.0,1.0,80,80,116,116,196510,0.491655,180.2,19,22,14321,False,0,0,1,1.0,1.0,1.0,80,80,116,116,538571,0.751224,213.0,22,21,18630,False,0,0,0,0.9948979591836735,0.9875,1.0,79,80,116,116,247138,0.480391,193.8,13,12,15864,False,0,0,False,False,False
superjson-error-stack-serialization,1,Add error stack serialization to SuperJSON,hard,typescript,16,1,1.0,1.0,1.0,80,80,116,116,182046,0.474677,165.2,16,19,14137,False,0,0,1,1.0,1.0,1.0,80,80,116,116,191976,0.472538,199.4,13,12,16322,False,0,0,0,0.9897959183673469,0.975,1.0,78,80,116,116,229233,0.478186,222.5,14,13,18696,False,0,0,False,False,False
superjson-error-stack-serialization,2,Add error stack serialization to SuperJSON,hard,typescript,16,0,0.9948979591836735,0.9875,1.0,79,80,116,116,159904,0.371775,177.3,14,17,15775,False,0,0,0,0.9438775510204082,0.8625,1.0,69,80,116,116,331075,0.561331,218.3,16,15,16362,False,0,0,0,0.9948979591836735,0.9875,1.0,79,80,116,116,179451,0.443222,195.6,11,10,18794,False,0,0,False,False,False
meriyah-explicit-resource-declarations,0,Add explicit resource management declarations to the parser,hard,typescript,20,1,1.0,1.0,1.0,49,49,51469,51469,680346,0.880599,264.3,30,35,9057,False,0,0,0,0.9999029465429559,0.9183673469387755,0.9999805708290427,45,49,51468,51469,1104170,1.254679,327.4,29,28,12202,False,0,0,0,0.9966807717690904,0.9591836734693877,0.9967164701082205,47,49,51300,51469,850684,0.970849,271.7,26,25,14224,False,0,0,False,False,False
meriyah-explicit-resource-declarations,1,Add explicit resource management declarations to the parser,hard,typescript,20,0,0.9999611786171824,0.9591836734693877,1.0,47,49,51469,51469,770351,0.844869,276.4,27,36,15277,False,0,0,0,0.9999805893085911,0.9795918367346939,1.0,48,49,51469,51469,897286,1.041965,284.2,22,21,15981,False,0,0,0,0.9998058930859117,0.9183673469387755,0.9998834249742563,45,49,51463,51469,791366,0.894267,271.9,29,28,14168,False,0,0,False,False,False
meriyah-explicit-resource-declarations,2,Add explicit resource management declarations to the parser,hard,typescript,20,0,0.9999611786171824,0.9591836734693877,1.0,47,49,51469,51469,890782,0.917112,273.2,37,42,11689,False,0,0,0,0.9999223572343647,0.9591836734693877,0.9999611416580855,47,49,51467,51469,1161977,1.227007,297.3,23,22,12784,False,0,0,0,0.999883535851547,0.8979591836734694,0.9999805708290427,44,49,51468,51469,950562,1.032215,255.9,24,23,20690,False,0,0,False,False,False
pest-character-class-coalescing,0,Coalesce qualifying choices into character classes,hard,rust,21,0,0.9887005649717514,0.9711538461538461,0.996,101,104,249,250,497849,0.650227,220.5,21,26,13420,False,0,0,0,0.9887005649717514,0.9711538461538461,0.996,101,104,249,250,1560563,1.419065,687.2,35,34,17157,False,0,0,0,0.9915254237288136,0.9711538461538461,1.0,101,104,250,250,526693,0.774237,243.1,20,19,15325,False,0,0,False,False,False
