task,rep,title,difficulty,language,pass_rate,delivery,baseline_reward_binary,baseline_reward_partial,baseline_f2p,baseline_p2p,baseline_combined_total_tokens,baseline_combined_cost_usd,baseline_agent_wall_s,baseline_turns,baseline_tool_calls,baseline_patch_bytes,pi_fabric_reward_binary,pi_fabric_reward_partial,pi_fabric_f2p,pi_fabric_p2p,pi_fabric_combined_total_tokens,pi_fabric_combined_cost_usd,pi_fabric_agent_wall_s,pi_fabric_turns,pi_fabric_tool_calls,pi_fabric_patch_bytes,delta_reward_binary,delta_reward_partial,delta_f2p,delta_p2p,delta_combined_total_tokens,delta_combined_cost_usd,delta_agent_wall_s,delta_turns,delta_tool_calls,delta_patch_bytes
updo-policy-alerting,0,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,delivered,1,1.0,1.0,1.0,232751,0.49411,185.8,17,21,16638,0,0.9285714285714286,0.4117647058823529,1.0,428306,0.716233,262.0,15,14,26304,-1.0,-0.0714285714285714,-0.5882352941176471,0.0,195555.0,0.22212300000000001,76.19999999999999,-2.0,-7.0,9666.0
updo-policy-alerting,1,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,delivered,1,1.0,1.0,1.0,346609,0.651679,235.1,20,23,22253,1,1.0,1.0,1.0,376702,0.609179,247.2,16,15,23435,0.0,0.0,0.0,0.0,30093.0,-0.04249999999999998,12.099999999999994,-4.0,-8.0,1182.0
updo-policy-alerting,2,"Add policy-based alerting for failures, latency, and SSL expiry",hard,go,4,delivered,0,0.9857142857142858,0.8823529411764706,1.0,215284,0.472036,197.5,16,19,14760,0,0.9285714285714286,0.4117647058823529,1.0,818195,1.114191,385.4,24,23,31502,0.0,-0.05714285714285716,-0.47058823529411764,0.0,602911.0,0.6421549999999999,187.89999999999998,8.0,4.0,16742.0
superjson-error-stack-serialization,0,Add error stack serialization to SuperJSON,hard,typescript,16,delivered,1,1.0,1.0,1.0,196510,0.491655,180.2,19,22,14321,1,1.0,1.0,1.0,538571,0.751224,213.0,22,21,18630,0.0,0.0,0.0,0.0,342061.0,0.259569,32.80000000000001,3.0,-1.0,4309.0
superjson-error-stack-serialization,1,Add error stack serialization to SuperJSON,hard,typescript,16,delivered,1,1.0,1.0,1.0,182046,0.474677,165.2,16,19,14137,1,1.0,1.0,1.0,191976,0.472538,199.4,13,12,16322,0.0,0.0,0.0,0.0,9930.0,-0.002139000000000002,34.20000000000002,-3.0,-7.0,2185.0
superjson-error-stack-serialization,2,Add error stack serialization to SuperJSON,hard,typescript,16,delivered,0,0.9948979591836735,0.9875,1.0,159904,0.371775,177.3,14,17,15775,0,0.9438775510204082,0.8625,1.0,331075,0.561331,218.3,16,15,16362,0.0,-0.05102040816326536,-0.125,0.0,171171.0,0.189556,41.0,2.0,-2.0,587.0
meriyah-explicit-resource-declarations,0,Add explicit resource management declarations to the parser,hard,typescript,20,delivered,1,1.0,1.0,1.0,680346,0.880599,264.3,30,35,9057,0,0.9999029465429559,0.9183673469387755,0.9999805708290427,1104170,1.254679,327.4,29,28,12202,-1.0,-9.705345704413837e-05,-0.08163265306122447,-1.942917095731911e-05,423824.0,0.3740800000000001,63.099999999999966,-1.0,-7.0,3145.0
meriyah-explicit-resource-declarations,1,Add explicit resource management declarations to the parser,hard,typescript,20,delivered,0,0.9999611786171824,0.9591836734693877,1.0,770351,0.844869,276.4,27,36,15277,0,0.9999805893085911,0.9795918367346939,1.0,897286,1.041965,284.2,22,21,15981,0.0,1.941069140876106e-05,0.020408163265306145,0.0,126935.0,0.19709600000000005,7.800000000000011,-5.0,-15.0,704.0
meriyah-explicit-resource-declarations,2,Add explicit resource management declarations to the parser,hard,typescript,20,delivered,0,0.9999611786171824,0.9591836734693877,1.0,890782,0.917112,273.2,37,42,11689,0,0.9999223572343647,0.9591836734693877,0.9999611416580855,1161977,1.227007,297.3,23,22,12784,0.0,-3.882138281763314e-05,0.0,-3.8858341914527195e-05,271195.0,0.3098949999999999,24.100000000000023,-14.0,-20.0,1095.0
pest-character-class-coalescing,0,Coalesce qualifying choices into character classes,hard,rust,21,delivered,0,0.9887005649717514,0.9711538461538461,0.996,497849,0.650227,220.5,21,26,13420,0,0.9887005649717514,0.9711538461538461,0.996,1560563,1.419065,687.2,35,34,17157,0.0,0.0,0.0,0.0,1062714.0,0.768838,466.70000000000005,14.0,8.0,3737.0
pest-character-class-coalescing,1,Coalesce qualifying choices into character classes,hard,rust,21,delivered,0,0.9971751412429378,0.9903846153846154,1.0,1194654,1.358246,376.8,41,44,14928,0,0.9915254237288136,0.9711538461538461,1.0,882838,0.98904,360.2,27,26,16183,0.0,-0.005649717514124242,-0.019230769230769273,0.0,-311816.0,-0.36920600000000003,-16.600000000000023,-14.0,-18.0,1255.0
pest-character-class-coalescing,2,Coalesce qualifying choices into character classes,hard,rust,21,delivered,1,1.0,1.0,1.0,1349511,1.496243,458.5,37,44,15259,0,0.9915254237288136,0.9711538461538461,1.0,987928,1.181402,298.3,22,21,15632,-1.0,-0.008474576271186418,-0.028846153846153855,0.0,-361583.0,-0.3148409999999999,-160.2,-15.0,-23.0,373.0
katex-multicolumn-array-spans,0,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,delivered,0,0.9884559884559885,0.9148936170212766,1.0,873872,0.895937,221.1,31,34,17355,0,0.9927849927849928,0.9468085106382979,1.0,1490504,1.578306,427.3,37,36,16763,0.0,0.0043290043290042934,0.03191489361702127,0.0,616632.0,0.682369,206.20000000000002,6.0,2.0,-592.0
katex-multicolumn-array-spans,1,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,delivered,0,0.9971139971139971,0.9787234042553191,1.0,419539,0.550759,174.7,22,27,12603,0,0.9971139971139971,0.9787234042553191,1.0,1023138,1.177951,393.9,36,35,15367,0.0,0.0,0.0,0.0,603599.0,0.627192,219.2,14.0,8.0,2764.0
katex-multicolumn-array-spans,2,Add `\multicolumn` column spans to array-like environments,hard,javascript,24,delivered,0,0.9783549783549783,0.8404255319148937,1.0,1008302,1.290298,311.7,42,47,15886,0,0.9956709956709957,0.9680851063829787,1.0,956027,1.121695,358.8,31,30,13102,0.0,0.017316017316017396,0.12765957446808507,0.0,-52275.0,-0.16860299999999984,47.10000000000002,-11.0,-17.0,-2784.0
vulture-persistent-analysis-cache,0,Add a persistent analysis cache to Vulture,hard,python,24,delivered,0,0.9968652037617555,0.9583333333333334,1.0,224260,0.479357,143.5,19,21,14853,0,0.987460815047022,1.0,0.9864406779661017,468120,0.74446,298.2,21,20,15432,0.0,-0.00940438871473348,0.04166666666666663,-0.013559322033898313,243860.0,0.26510300000000003,154.7,2.0,-1.0,579.0
vulture-persistent-analysis-cache,1,Add a persistent analysis cache to Vulture,hard,python,24,delivered,1,1.0,1.0,1.0,323542,0.653808,164.4,20,26,15579,1,1.0,1.0,1.0,420579,0.7688,275.4,21,20,18655,0.0,0.0,0.0,0.0,97037.0,0.1149920000000001,110.99999999999997,1.0,-6.0,3076.0
vulture-persistent-analysis-cache,2,Add a persistent analysis cache to Vulture,hard,python,24,delivered,0,0.987460815047022,1.0,0.9864406779661017,258608,0.427233,153.6,20,22,14277,1,1.0,1.0,1.0,455940,0.756023,299.1,21,20,17833,1.0,0.01253918495297801,0.0,0.013559322033898313,197332.0,0.32879,145.50000000000003,1.0,-2.0,3556.0
obsidian-linter-link-format-conversion,0,Add link format conversion between wiki and markdown syntax,hard,typescript,27,delivered,0,0.9991603694374476,0.9833333333333333,1.0,501438,0.709271,151.9,22,37,10082,0,0.9991603694374476,0.9833333333333333,1.0,656432,0.78564,253.2,24,23,10487,0.0,0.0,0.0,0.0,154994.0,0.07636900000000002,101.29999999999998,2.0,-14.0,405.0
obsidian-linter-link-format-conversion,1,Add link format conversion between wiki and markdown syntax,hard,typescript,27,delivered,0,0.998320738874895,0.9666666666666667,1.0,720260,0.779773,203.0,22,33,11011,0,0.9991603694374476,0.9833333333333333,1.0,549011,0.677429,212.5,22,21,9663,0.0,0.0008396305625525402,0.016666666666666607,0.0,-171249.0,-0.1023440000000001,9.5,0.0,-12.0,-1348.0
obsidian-linter-link-format-conversion,2,Add link format conversion between wiki and markdown syntax,hard,typescript,27,delivered,0,0.998320738874895,0.9666666666666667,1.0,612092,0.683684,219.6,24,31,9960,0,0.998320738874895,0.9666666666666667,1.0,816380,0.927958,232.9,24,23,12063,0.0,0.0,0.0,0.0,204288.0,0.244274,13.300000000000011,0.0,-8.0,2103.0
happy-dom-deterministic-intersectionobserver,0,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,delivered,1,1.0,1.0,1.0,77226,0.230119,105.2,12,17,10159,1,1.0,1.0,1.0,389618,0.579625,195.8,16,15,12016,0.0,0.0,0.0,0.0,312392.0,0.349506,90.60000000000001,4.0,-2.0,1857.0
happy-dom-deterministic-intersectionobserver,1,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,delivered,1,1.0,1.0,1.0,172655,0.400451,142.5,17,25,9858,0,0.8695652173913043,0.7857142857142857,1.0,177357,0.481862,174.2,17,16,10639,-1.0,-0.13043478260869568,-0.2142857142857143,0.0,4702.0,0.08141100000000001,31.69999999999999,0.0,-9.0,781.0
happy-dom-deterministic-intersectionobserver,2,Implement a deterministic IntersectionObserver in Happy DOM,hard,typescript,28,delivered,1,1.0,1.0,1.0,176519,0.363104,144.5,16,24,9501,1,1.0,1.0,1.0,206516,0.409925,133.7,11,10,10235,0.0,0.0,0.0,0.0,29997.0,0.046821,-10.800000000000011,-5.0,-14.0,734.0
koota-query-predicates,0,Add value-based query predicates to Koota,hard,typescript,28,delivered,0,0.9813953488372092,0.9069767441860465,1.0,1338907,1.306434,283.1,45,55,22265,0,0.9906976744186047,0.9534883720930233,1.0,1551875,1.569748,367.4,36,35,32980,0.0,0.009302325581395432,0.04651162790697683,0.0,212968.0,0.2633139999999998,84.29999999999995,-9.0,-20.0,10715.0
koota-query-predicates,1,Add value-based query predicates to Koota,hard,typescript,28,delivered,-1,0.0,,,123057,0.240698,57.4,9,21,0,0,0.9534883720930233,0.7674418604651163,1.0,1321836,1.393562,332.4,33,32,32561,1.0,0.9534883720930233,,,1198779.0,1.1528639999999999,275.0,24.0,11.0,32561.0
koota-query-predicates,2,Add value-based query predicates to Koota,hard,typescript,28,delivered,0,0.9813953488372092,0.9069767441860465,1.0,1460283,1.385543,323.4,43,57,32017,0,0.958139534883721,0.7906976744186046,1.0,1038550,1.159666,312.8,33,32,29799,0.0,-0.023255813953488302,-0.11627906976744184,0.0,-421733.0,-0.22587699999999988,-10.599999999999966,-10.0,-25.0,-2218.0
participle-grammar-conflict-analysis,0,Add build-time grammar conflict analysis to participle,hard,go,29,delivered,0,0.9959016393442623,0.989010989010989,1.0,206664,0.382664,159.0,14,17,12444,0,0.9959016393442623,0.989010989010989,1.0,273293,0.52753,185.5,13,12,13371,0.0,0.0,0.0,0.0,66629.0,0.14486600000000005,26.5,-1.0,-5.0,927.0
participle-grammar-conflict-analysis,1,Add build-time grammar conflict analysis to participle,hard,go,29,delivered,0,0.6844262295081968,0.15384615384615385,1.0,177634,0.399664,186.9,14,17,13124,0,0.9959016393442623,0.989010989010989,1.0,324064,0.549589,189.7,14,13,13854,0.0,0.3114754098360656,0.8351648351648352,0.0,146430.0,0.14992499999999997,2.799999999999983,0.0,-4.0,730.0
participle-grammar-conflict-analysis,2,Add build-time grammar conflict analysis to participle,hard,go,29,delivered,0,0.9959016393442623,0.989010989010989,1.0,209217,0.426038,138.8,15,20,12022,0,0.9959016393442623,0.989010989010989,1.0,294916,0.469999,136.3,13,12,11605,0.0,0.0,0.0,0.0,85699.0,0.04396100000000003,-2.5,-2.0,-8.0,-417.0
dateutil-rfc5545-timezone-interop,0,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,delivered,0,0.9995242626070409,0.9850746268656716,1.0,326648,0.579118,175.4,24,26,13794,0,0.9990485252140818,0.9701492537313433,1.0,1339981,1.52538,401.7,41,40,11519,0.0,-0.0004757373929590303,-0.01492537313432829,0.0,1013333.0,0.9462619999999999,226.29999999999998,17.0,14.0,-2275.0
dateutil-rfc5545-timezone-interop,1,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,delivered,0,0.9995242626070409,0.9850746268656716,1.0,324642,0.486919,161.2,18,19,13714,0,0.9990485252140818,0.9701492537313433,1.0,571510,0.749091,239.6,23,22,14339,0.0,-0.0004757373929590303,-0.01492537313432829,0.0,246868.0,0.26217199999999996,78.4,5.0,3.0,625.0
dateutil-rfc5545-timezone-interop,2,Add RFC 5545 timezone interoperability to dateutil recurrence parsing,hard,python,31,delivered,0,0.9990485252140818,0.9701492537313433,1.0,234532,0.502338,195.4,15,16,12780,0,0.9995242626070409,0.9850746268656716,1.0,750920,0.996613,313.0,27,26,13826,0.0,0.0004757373929590303,0.01492537313432829,0.0,516388.0,0.494275,117.6,12.0,10.0,1046.0
mashumaro-flattened-dataclass-fields,0,Add flattened dataclass fields to Mashumaro field options,hard,python,32,delivered,0,0.9999002659574469,0.9545454545454546,1.0,296942,0.50534,152.0,26,27,11320,0,0.9999002659574469,0.9545454545454546,1.0,947916,1.160068,318.0,24,23,19613,0.0,0.0,0.0,0.0,650974.0,0.6547280000000001,166.0,-2.0,-4.0,8293.0
